Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Mike Miller,20,ORL,75.0,75.0,124,0.605,82,29.1,11.9,4.0,1.7,0.6,0.2,.436,.407,.711,5.3,.106
Kenyon Martin,23,NJN,36.0,36.0,124,0.290,68,33.4,12.0,7.4,1.9,1.1,1.7,.445,.091,.630,2.1,.044
Marc Jackson,26,GSW,7.0,7.0,124,0.056,48,29.4,13.2,7.5,1.2,0.7,0.6,.467,.217,.802,2.6,.089
Darius Miles,19,LAC,3.0,3.0,124,0.024,81,26.3,9.4,5.9,1.2,0.6,1.5,.505,.053,.521,3.0,.068
Morris Peterson,23,TOR,3.0,3.0,124,0.024,80,22.6,9.3,3.2,1.3,0.8,0.3,.431,.382,.717,3.6,.096
