Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Garnett,MIN,41:00,17,24,0,0,3,3,1,8,9,3,5,1,4,3,37,.708,,1.000
Tim Duncan,SAS,40:00,8,18,0,0,3,3,5,10,15,4,1,0,3,2,19,.444,,1.000
Kobe Bryant,LAL,36:00,8,17,3,5,3,6,2,5,7,6,3,2,5,5,22,.471,.600,.500
Steve Francis,HOU,32:00,9,12,2,3,0,0,1,1,2,9,0,0,3,1,20,.750,.667,
Yao Ming,HOU,17:00,1,1,0,0,0,0,0,2,2,0,0,0,0,1,2,1.000,,
Shaquille O'Neal,LAL,26:00,8,14,0,0,3,5,3,10,13,1,2,1,3,3,19,.571,,.600
Shawn Marion,PHO,23:00,4,9,0,1,0,0,5,2,7,4,3,1,0,1,8,.444,.000,
Dirk Nowitzki,DAL,16:00,4,8,1,4,0,0,0,1,1,1,0,0,2,1,9,.500,.250,
Steve Nash,DAL,16:00,1,3,0,2,0,1,2,3,5,3,1,0,4,1,2,.333,.000,.000
Gary Payton,SEA,15:00,4,6,0,1,0,0,1,0,1,2,0,0,3,3,8,.667,.000,
Stephon Marbury,PHO,15:00,1,3,0,2,2,2,0,1,1,6,0,0,2,0,4,.333,.000,1.000
Peja Stojakovic,SAC,13:00,2,7,1,4,0,0,0,3,3,1,1,0,1,0,5,.286,.250,
Allen Iverson,PHI,41:00,13,23,1,3,8,9,3,2,5,7,5,0,6,2,35,.565,.333,.889
Tracy McGrady,ORL,36:00,10,17,4,7,5,6,1,4,5,2,0,0,1,3,29,.588,.571,.833
Michael Jordan,WAS,36:00,9,27,0,2,2,2,2,3,5,2,2,0,2,3,20,.333,.000,1.000
Jermaine O'Neal,IND,33:00,3,10,0,0,4,6,4,6,10,0,2,4,2,2,10,.300,,.667
Ben Wallace,DET,24:00,1,2,0,0,0,2,4,2,6,0,2,2,2,1,2,.500,,.000
Jason Kidd,NJN,33:00,4,9,1,4,2,2,1,4,5,10,5,0,2,0,11,.444,.250,1.000
Vince Carter,TOR,25:00,4,9,1,1,0,0,1,0,1,2,0,0,1,1,9,.444,1.000,
Paul Pierce,BOS,18:00,4,11,0,5,0,0,0,2,2,3,4,0,2,1,8,.364,.000,
Brad Miller,IND,17:00,2,4,0,0,1,2,3,3,6,3,0,0,2,2,5,.500,,.500
Jamal Mashburn,NOH,14:00,4,7,2,2,0,0,0,4,4,2,2,0,0,0,10,.571,1.000,
Antoine Walker,BOS,9:00,2,4,1,3,1,2,0,1,1,0,0,0,1,0,6,.500,.333,.500
Zydrunas Ilgauskas,CLE,4:00,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,.000,,
Chris Webber,SAC,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
