Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
James Harden,HOU,26:36,11,16,7,12,0,0,3,5,8,8,2,0,4,0,29,.688,.583,
Stephen Curry,GSW,26:36,6,16,3,10,0,0,4,5,9,5,1,0,5,1,15,.375,.300,
Marc Gasol,MEM,24:55,3,6,0,1,0,0,2,8,10,2,2,0,1,1,6,.500,.000,
Klay Thompson,GSW,19:43,2,11,1,9,2,2,1,3,4,6,0,0,0,0,7,.182,.111,1.000
LaMarcus Aldridge,POR,18:08,7,11,4,4,0,0,1,1,2,0,0,0,1,0,18,.636,1.000,
Chris Paul,LAC,26:46,6,13,0,3,0,0,1,5,6,15,2,0,2,0,12,.462,.000,
Russell Westbrook,OKC,25:33,16,28,5,9,4,4,3,2,5,1,3,0,1,0,41,.571,.556,1.000
DeMarcus Cousins,SAC,18:06,6,7,0,0,2,3,4,3,7,0,0,0,1,1,14,.857,,.667
Damian Lillard,POR,16:28,4,12,3,9,0,0,2,0,2,2,1,0,4,0,11,.333,.333,
Tim Duncan,SAS,15:14,1,2,0,0,0,0,1,8,9,2,0,0,0,0,2,.500,,
Dirk Nowitzki,DAL,12:00,2,5,1,2,0,0,2,3,5,0,2,0,0,0,5,.400,.500,
Kevin Durant,OKC,9:55,1,6,1,6,0,0,0,3,3,1,1,0,2,0,3,.167,.167,
LeBron James,CLE,31:45,11,21,4,12,4,5,1,4,5,7,2,0,4,1,30,.524,.333,.800
Carmelo Anthony,NYK,30:16,6,20,2,13,0,0,3,4,7,0,1,1,1,2,14,.300,.154,
John Wall,WAS,29:17,9,16,1,4,0,0,0,3,3,7,2,0,4,1,19,.563,.250,
Pau Gasol,CHI,25:44,5,7,0,0,0,0,4,8,12,2,1,1,0,0,10,.714,,
Kyle Lowry,TOR,25:35,4,13,2,11,0,0,1,2,3,8,4,0,1,0,10,.308,.182,
Kyrie Irving,CLE,19:08,4,9,2,6,1,1,2,4,6,5,0,0,1,0,11,.444,.333,1.000
Kyle Korver,ATL,15:35,7,13,7,12,0,0,0,1,1,2,0,0,0,1,21,.538,.583,
Paul Millsap,ATL,15:35,2,6,1,3,0,0,1,5,6,3,2,0,2,0,5,.333,.333,
Al Horford,ATL,13:30,4,6,0,0,0,0,3,4,7,2,0,0,1,1,8,.667,,
Jeff Teague,ATL,13:27,6,9,2,2,0,0,0,1,1,2,2,0,1,0,14,.667,1.000,
Chris Bosh,MIA,10:55,4,6,2,4,0,0,1,2,3,1,2,0,1,0,10,.667,.500,
Jimmy Butler,CHI,9:13,3,4,0,1,0,0,1,0,1,1,2,0,2,0,6,.750,.000,
Dwyane Wade,MIA,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kobe Bryant,LAL,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Anthony Davis,NOP,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Blake Griffin,LAC,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
