Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tim Duncan,SAS,22:23,2,7,0,1,0,0,4,5,9,1,1,1,4,1,4,.286,.000,
Carmelo Anthony,DEN,21:38,8,17,0,0,2,3,5,2,7,1,0,0,2,0,18,.471,,.667
Allen Iverson,DEN,20:44,3,7,0,0,1,2,1,1,2,6,4,1,6,0,7,.429,,.500
Yao Ming,HOU,13:17,2,5,0,2,2,2,1,4,5,1,0,0,1,0,6,.400,.000,1.000
Kobe Bryant,LAL,2:52,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,
Brandon Roy,POR,28:34,8,10,2,3,0,0,1,8,9,5,1,1,0,2,18,.800,.667,
Chris Paul,NOH,27:16,7,14,2,6,0,0,2,1,3,14,4,0,2,5,16,.500,.333,
Dirk Nowitzki,DAL,25:41,5,14,1,4,2,2,1,3,4,2,0,0,2,0,13,.357,.250,1.000
Amar'e Stoudemire,PHO,23:07,8,11,1,2,1,3,0,5,5,0,1,1,1,2,18,.727,.500,.333
Steve Nash,PHO,19:42,4,8,0,1,0,0,0,0,0,6,0,1,1,3,8,.500,.000,
Carlos Boozer,UTA,18:30,7,15,0,0,0,2,4,6,10,0,0,0,1,0,14,.467,,.000
David West,NOH,16:16,3,6,0,0,0,0,2,2,4,1,0,0,1,1,6,.500,,
Dwight Howard,ORL,30:33,7,7,0,0,2,3,5,4,9,3,3,1,1,4,16,1.000,,.667
LeBron James,CLE,30:15,12,22,2,7,1,1,1,7,8,9,2,2,4,3,27,.545,.286,1.000
Jason Kidd,NJN,25:05,1,2,0,1,0,0,0,4,4,10,4,0,1,0,2,.500,.000,
Dwyane Wade,MIA,21:48,7,12,0,1,0,2,1,3,4,3,0,1,2,1,14,.583,.000,.000
Chris Bosh,TOR,21:32,7,15,0,0,0,2,2,5,7,1,0,0,1,1,14,.467,,.000
Ray Allen,BOS,18:54,10,14,5,9,3,5,0,2,2,1,2,0,0,0,28,.714,.556,.600
Chauncey Billups,DET,18:07,3,10,0,6,0,1,1,0,1,4,0,0,1,1,6,.300,.000,.000
Richard Hamilton,DET,18:00,4,9,1,1,0,0,0,0,0,2,0,0,0,0,9,.444,1.000,
Rasheed Wallace,DET,17:37,1,5,1,5,0,0,2,3,5,0,1,2,1,2,3,.200,.200,
Joe Johnson,ATL,13:20,1,2,1,1,0,0,0,0,0,2,1,0,1,1,3,.500,1.000,
Paul Pierce,BOS,12:37,5,9,0,3,0,0,0,4,4,2,0,0,2,0,10,.556,.000,
Antawn Jamison,WAS,12:12,1,3,0,2,0,0,0,1,1,0,0,1,2,0,2,.333,.000,
Caron Butler,WAS,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kevin Garnett,BOS,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
