Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Cliff Alexander,"03/28/16, POR vs. SAC",20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0
Justin Anderson,"01/11/18, PHI vs. BOS",22,4,194,2620,373,892,122,417,189,242,123,511,131,86,62,119,233,1057,.418,.293,.781,13.5,5.4,2.6,0.7
Thanasis Antetokounmpo,"01/29/16, NYK vs. PHO",23,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,.750,.000,,3.0,3.0,0.5,0.0
Keith Appling,"01/18/16, ORL @ ATL",23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2
Nemanja Bjelica,"01/1/17, MIN vs. POR",27,4,243,4843,624,1361,254,658,169,224,241,1028,349,154,98,220,578,1671,.458,.386,.754,19.9,6.9,4.2,1.4
Devin Booker,"01/12/16, PHO @ IND",19,4,249,8131,1791,4139,481,1348,1082,1275,121,833,998,201,62,758,766,5145,.433,.357,.849,32.7,20.7,3.3,4.0
Anthony Brown,"01/1/16, LAL vs. PHI",23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7
Willie Cauley-Stein,"01/1/19, SAC vs. POR",22,4,266,6355,1129,2137,4,18,431,694,478,1654,428,242,208,290,638,2693,.528,.222,.621,23.9,10.1,6.2,1.6
Rakeem Christmas,"01/29/17, IND vs. HOU",24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1
Coty Clarke,"03/15/16, BOS @ IND",23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0
Pat Connaughton,"01/1/18, POR @ CHI",23,4,187,2519,291,686,126,368,63,78,83,360,196,46,39,87,186,771,.424,.342,.808,13.5,4.1,1.9,1.0
Branden Dawson,"01/2/16, LAC vs. PHI",22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0
Bryce Dejean-Jones,"01/21/16, NOP vs. DET",23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1
Sam Dekker,"01/10/17, HOU vs. CHO",21,4,186,2880,425,877,81,285,93,154,179,578,145,94,37,89,186,1024,.485,.284,.604,15.5,5.5,3.1,0.8
Duje Dukan,"04/13/16, SAC @ HOU",24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0
Jarell Eddie,"01/11/16, WAS @ CHI",24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,.302,.292,.941,6.4,2.6,0.9,0.1
Cristiano Felicio,"01/10/17, CHI @ WAS",23,4,184,2645,332,573,0,8,156,232,262,730,137,52,43,114,272,820,.579,.000,.672,14.4,4.5,4.0,0.7
Jerian Grant,"01/1/16, NYK @ CHI",23,4,257,4755,558,1366,159,504,322,415,87,507,769,197,30,264,387,1597,.408,.315,.776,18.5,6.2,2.0,3.0
Montrezl Harrell,"01/1/19, LAC vs. PHI",22,4,227,4149,970,1527,3,23,405,661,339,950,243,117,180,204,483,2348,.635,.130,.613,18.3,10.3,4.2,1.1
Aaron Harrison,"01/13/16, CHO vs. ATL",21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,.261,.218,.613,9.8,2.3,1.2,0.5
Mario Hezonja,"01/1/16, ORL @ WAS",20,4,263,4866,703,1690,231,715,227,284,108,758,321,192,69,293,406,1864,.416,.323,.799,18.5,7.1,2.9,1.2
Darrun Hilliard,"01/10/17, DET @ SAC",22,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295,.377,.304,.747,9.4,3.2,0.9,0.8
Rondae Hollis-Jefferson,"01/1/18, BRK vs. ORL",21,4,218,5264,789,1776,41,174,571,767,294,1301,440,218,130,312,465,2190,.444,.236,.744,24.1,10.0,6.0,2.0
Richaun Holmes,"01/1/16, PHI @ LAL",22,4,204,3433,633,1107,39,152,238,341,290,874,193,111,183,149,450,1543,.572,.257,.698,16.8,7.6,4.3,0.9
Marcelo Huertas,"01/10/16, LAL vs. UTA",32,2,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,.409,.250,.783,14.6,3.9,1.5,3.1
Josh Huestis,"01/10/18, OKC @ MIN",24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,.346,.312,.240,14.1,2.5,2.4,0.3
R.J. Hunter,"01/15/16, BOS vs. PHO",22,3,44,369,43,119,22,78,8,9,2,43,16,17,4,13,36,116,.361,.282,.889,8.4,2.6,1.0,0.4
Damien Inglis,"01/10/16, MIL @ NYK",20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,.351,.231,.875,7.8,1.8,1.6,0.5
Stanley Johnson,"01/1/17, DET @ MIA",19,4,265,5862,689,1860,221,767,266,348,151,912,391,252,62,317,554,1865,.370,.288,.764,22.1,7.0,3.4,1.5
Nikola Jokic,"01/1/19, DEN vs. NYK",20,4,279,7814,1695,3231,241,688,802,960,736,2619,1400,301,201,644,779,4433,.525,.350,.835,28.0,15.9,9.4,5.0
Tyus Jones,"01/1/17, MIN vs. POR",19,4,222,3687,371,902,109,329,164,201,46,318,666,228,17,157,232,1015,.411,.331,.816,16.6,4.6,1.4,3.0
Frank Kaminsky,"01/1/16, CHO @ TOR",22,4,259,5768,889,2140,303,873,403,533,191,1019,415,125,101,218,385,2484,.415,.347,.756,22.3,9.6,3.9,1.6
Sasha Kaun,"01/15/16, CLE @ HOU",30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,.529,,.455,3.8,0.9,1.0,0.1
Kevon Looney,"01/10/18, GSW vs. LAC",19,4,176,2470,326,554,5,26,111,188,268,659,167,80,118,84,317,768,.588,.192,.590,14.0,4.4,3.7,0.9
Trey Lyles,"01/1/19, DEN vs. NYK",20,4,274,4866,794,1840,238,711,282,401,201,1089,287,107,92,245,402,2108,.432,.335,.703,17.8,7.7,4.0,1.0
