Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant,LAL,30:00,9,17,1,2,0,0,2,2,4,7,1,0,3,3,19,.529,.500,
Jason Kidd,PHO,30:00,4,6,3,4,0,0,0,4,4,2,5,0,5,3,11,.667,.750,
Chris Webber,SAC,29:00,6,14,0,1,2,4,4,5,9,3,1,0,1,2,14,.429,.000,.500
Tim Duncan,SAS,28:00,5,11,0,0,4,4,4,10,14,1,2,1,2,1,14,.455,,1.000
Kevin Garnett,MIN,27:00,7,12,0,0,0,0,1,3,4,4,1,3,2,0,14,.583,,
Rasheed Wallace,POR,21:00,1,7,0,1,0,0,1,3,4,2,1,0,2,0,2,.143,.000,
Michael Finley,DAL,19:00,5,15,0,2,2,2,2,1,3,5,0,0,1,0,12,.333,.000,1.000
Gary Payton,SEA,18:00,0,5,0,0,0,0,2,2,4,5,2,0,1,2,0,.000,,
Antonio McDyess,DEN,15:00,4,9,0,0,0,0,3,5,8,2,1,0,0,2,8,.444,,
David Robinson,SAS,10:00,3,5,0,0,2,4,2,2,4,0,0,0,1,3,8,.600,,.500
Vlade Divac,SAC,9:00,4,6,0,1,0,0,1,2,3,1,2,0,1,0,8,.667,.000,
Karl Malone,UTA,4:00,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,,
Allen Iverson,PHI,27:00,9,21,1,1,6,6,0,2,2,5,4,0,4,0,25,.429,1.000,1.000
Vince Carter,TOR,24:00,7,18,1,4,1,1,1,2,3,4,1,1,3,1,16,.389,.250,1.000
Tracy McGrady,ORL,21:00,1,4,0,1,0,0,1,0,1,0,2,1,4,0,2,.250,.000,
Antonio Davis,TOR,20:00,4,11,0,0,0,0,7,2,9,0,1,1,0,0,8,.364,,
Anthony Mason,MIA,20:00,0,3,0,0,0,0,2,2,4,1,1,0,2,2,0,.000,,
Dikembe Mutombo,ATL,28:00,2,2,0,0,2,2,3,19,22,0,2,3,2,5,6,1.000,,1.000
Ray Allen,MIL,19:00,7,15,1,7,0,0,1,2,3,2,1,1,1,0,15,.467,.143,
Stephon Marbury,NJN,18:00,5,9,2,3,0,2,0,0,0,4,0,0,3,2,12,.556,.667,.000
Glenn Robinson,MIL,18:00,4,7,0,0,0,0,1,3,4,1,1,1,0,0,8,.571,,
Latrell Sprewell,NYK,15:00,3,6,0,1,1,3,1,0,1,4,0,0,1,1,7,.500,.000,.333
Jerry Stackhouse,DET,15:00,3,8,1,1,0,2,2,0,2,2,0,0,0,1,7,.375,1.000,.000
Allan Houston,NYK,15:00,2,5,1,2,0,0,0,3,3,3,0,0,1,0,5,.400,.500,
Grant Hill,ORL,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Alonzo Mourning,MIA,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Theo Ratliff,PHI,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Shaquille O'Neal,LAL,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
