Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Quincy Acy,"01/1/18, BRK vs. ORL",22,7,337,5392,583,1314,183,523,293,386,309,1179,217,140,135,219,665,1642,.444,.350,.759,16.0,4.9,3.5,0.6
Josh Akognon,"04/10/13, DAL vs. PHO",26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3
Harrison Barnes,"01/10/14, GSW vs. BOS",20,7,511,15617,2580,5788,603,1624,1150,1447,519,2488,776,366,103,600,881,6913,.446,.371,.795,30.6,13.5,4.9,1.5
Will Barton,"01/1/13, POR @ NYK",22,7,408,9332,1580,3633,420,1224,713,903,277,1582,950,295,161,542,611,4293,.435,.343,.790,22.9,10.5,3.9,2.3
Aron Baynes,"01/1/17, DET @ MIA",26,7,410,6142,890,1783,20,76,419,520,619,1793,288,85,197,337,861,2219,.499,.263,.806,15.0,5.4,4.4,0.7
Kent Bazemore,"01/1/17, ATL vs. SAS",23,7,454,9348,1416,3334,467,1314,642,889,155,1368,862,464,217,668,845,3941,.425,.355,.722,20.6,8.7,3.0,1.9
Bradley Beal,"01/1/13, WAS vs. DAL",19,7,458,15677,3280,7305,994,2566,1316,1656,366,1778,1639,501,173,965,1001,8870,.449,.387,.795,34.2,19.4,3.9,3.6
Patrick Beverley,"01/1/19, LAC vs. PHI",24,7,356,10066,1138,2775,572,1521,383,500,413,1477,1200,424,151,466,1114,3231,.410,.376,.766,28.3,9.1,4.1,3.4
Victor Claver,"01/1/13, POR @ NYK",24,3,80,1072,100,251,34,116,24,41,43,178,56,30,16,58,103,258,.398,.293,.585,13.4,3.2,2.2,0.7
Chris Copeland,"01/1/13, NYK vs. POR",28,4,171,2111,366,858,154,422,112,149,65,272,107,32,30,129,237,998,.427,.365,.752,12.3,5.8,1.6,0.6
Jae Crowder,"01/1/13, DAL @ WAS",22,7,516,12450,1673,3941,678,1995,797,1025,371,1986,724,499,163,438,1019,4821,.425,.340,.778,24.1,9.3,3.8,1.4
Jared Cunningham,"01/10/16, CLE @ PHI",21,4,84,605,60,173,19,62,58,86,6,56,39,21,2,32,72,197,.347,.306,.674,7.2,2.3,0.7,0.5
Anthony Davis,"01/1/13, NOH vs. ATL",19,7,451,15777,4053,7850,173,554,2531,3174,1172,4779,943,621,1091,839,1081,10810,.516,.312,.797,35.0,24.0,10.6,2.1
Nando De Colo,"01/12/14, SAS vs. MIN",25,2,119,1414,169,394,49,135,66,79,37,211,203,63,12,116,135,453,.429,.363,.835,11.9,3.8,1.8,1.7
Andre Drummond,"01/1/13, DET vs. SAC",19,7,511,15646,3017,5583,9,61,1045,2417,2435,6905,571,666,786,910,1596,7088,.540,.148,.432,30.6,13.9,13.5,1.1
Kim English,"01/11/13, DET @ MIL",24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,.375,.280,.724,9.9,2.9,0.9,0.6
Festus Ezeli,"01/11/13, GSW vs. POR",23,3,170,2394,275,536,0,0,162,291,292,725,63,48,166,133,328,712,.513,,.557,14.1,4.2,4.3,0.4
Evan Fournier,"01/1/13, DEN vs. LAC",20,7,428,11857,2053,4615,707,1901,884,1103,193,1159,1040,348,40,689,1039,5697,.445,.372,.801,27.7,13.3,2.7,2.4
Joel Freeland,"01/10/13, POR vs. MIA",25,3,151,1821,209,455,0,2,59,81,190,518,65,32,56,74,255,477,.459,.000,.728,12.1,3.2,3.4,0.4
Diante Garrett,"01/10/14, UTA vs. CLE",24,2,90,1197,117,314,39,111,15,22,16,112,151,51,5,91,80,288,.373,.351,.682,13.3,3.2,1.2,1.7
Draymond Green,"01/10/14, GSW vs. BOS",22,7,504,14070,1663,3810,460,1427,809,1142,604,3509,2408,696,544,1014,1407,4595,.436,.322,.708,27.9,9.1,7.0,4.8
Ben Hansbrough,"01/15/13, IND @ CHA",25,1,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,.333,.261,.778,7.1,2.0,0.6,0.8
Maurice Harkless,"01/1/17, POR @ MIN",19,7,447,10235,1284,2710,275,839,386,632,535,1613,389,428,297,391,883,3229,.474,.328,.611,22.9,7.2,3.6,0.9
John Henson,"01/1/18, MIL @ TOR",22,7,405,8152,1343,2490,12,44,464,811,756,2206,442,187,600,460,920,3162,.539,.273,.572,20.1,7.8,5.4,1.1
Justin Holiday,"01/1/18, CHI vs. POR",23,6,329,7241,911,2354,449,1289,330,400,106,915,483,304,124,308,470,2601,.387,.348,.825,22.0,7.9,2.8,1.5
Bernard James,"01/10/13, DAL @ SAC",27,3,92,761,76,153,0,3,51,75,85,212,13,17,61,34,105,203,.497,.000,.680,8.3,2.2,2.3,0.1
John Jenkins,"01/1/13, ATL @ NOH",21,5,145,1850,269,600,95,261,101,119,30,213,116,31,12,86,85,734,.448,.364,.849,12.8,5.1,1.5,0.8
Chris Johnson,"01/10/16, UTA @ LAL",22,4,147,2274,230,587,104,339,86,103,71,295,93,89,31,80,212,650,.392,.307,.835,15.5,4.4,2.0,0.6
Orlando Johnson,"01/1/14, IND @ TOR",23,3,103,1112,117,327,47,151,48,66,33,180,69,20,14,48,86,329,.358,.311,.727,10.8,3.2,1.7,0.7
Darius Johnson-Odom,"03/15/14, PHI vs. MEM",23,2,7,21,0,11,0,4,0,2,1,6,2,1,0,2,3,0,.000,.000,.000,3.0,0.0,0.9,0.3
DeQuan Jones,"01/12/13, ORL @ LAC",22,1,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,.436,.257,.667,12.7,3.7,1.7,0.3
Kevin Jones,"01/11/13, CLE @ DEN",23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,.402,,.600,10.4,3.0,2.4,0.3
Perry Jones,"01/11/14, OKC vs. MIL",21,3,143,1675,195,464,36,123,62,94,46,252,54,36,33,60,135,488,.420,.293,.660,11.7,3.4,1.8,0.4
Terrence Jones,"01/10/14, HOU @ ATL",21,5,232,5557,984,1964,93,311,368,592,395,1330,238,146,270,218,391,2429,.501,.299,.622,24.0,10.5,5.7,1.0
Kris Joseph,"04/10/13, BRK @ BOS",24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,.143,.000,.625,5.4,0.9,0.7,0.1
Michael Kidd-Gilchrist,"01/10/15, CHO @ NYK",19,7,402,10411,1413,2957,17,71,775,1086,678,2307,484,287,293,374,886,3618,.478,.239,.714,25.9,9.0,5.7,1.2
Viacheslav Kravtsov,"01/13/14, PHO @ NYK",25,2,45,283,41,61,0,0,15,45,33,62,10,5,10,20,39,97,.672,,.333,6.3,2.2,1.4,0.2
Doron Lamb,"01/10/14, ORL @ SAC",21,2,100,1272,123,323,50,127,49,70,16,95,75,24,1,53,106,345,.381,.394,.700,12.7,3.5,1.0,0.8
Jeremy Lamb,"01/1/16, CHO @ TOR",20,7,405,8051,1491,3359,392,1163,596,708,202,1428,599,256,132,325,641,3970,.444,.337,.842,19.9,9.8,3.5,1.5
Meyers Leonard,"01/1/17, POR @ MIN",20,7,380,5919,812,1702,264,684,232,279,282,1430,323,69,112,260,828,2120,.477,.386,.832,15.6,5.6,3.8,0.9
Damian Lillard,"01/1/13, POR @ NYK",22,7,520,18870,4039,9314,1414,3837,2697,3040,320,2151,3247,500,162,1445,1058,12189,.434,.369,.887,36.3,23.4,4.1,6.2
Scott Machado,"01/4/13, HOU @ MIL",22,1,6,21,3,6,0,1,2,2,0,1,6,2,0,8,0,8,.500,.000,1.000,3.5,1.3,0.2,1.0
Kendall Marshall,"01/10/14, LAL @ LAC",21,4,160,3083,315,789,128,346,44,72,23,253,779,107,10,285,180,802,.399,.370,.611,19.3,5.0,1.6,4.9
Fab Melo,"02/1/13, BOS vs. ORL",22,1,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,.500,,.250,6.0,1.2,0.5,0.0
Khris Middleton,"01/1/18, MIL @ TOR",21,7,427,13565,2398,5298,693,1778,1086,1244,236,1844,1343,564,86,794,1146,6575,.453,.390,.873,31.8,15.4,4.3,3.1
Darius Miller,"01/1/14, NOP @ MIN",22,5,232,4605,458,1080,284,731,129,151,42,379,281,103,57,142,462,1329,.424,.389,.854,19.8,5.7,1.6,1.2
Quincy Miller,"01/1/14, DEN vs. PHI",20,3,69,934,107,306,33,113,48,68,41,169,37,30,37,54,82,295,.350,.292,.706,13.5,4.3,2.4,0.5
Donatas Motiejunas,"01/10/14, HOU @ ATL",22,5,248,4553,728,1552,121,404,249,415,296,949,268,118,81,284,532,1826,.469,.300,.600,18.4,7.4,3.8,1.1
Arnett Moultrie,"01/26/13, PHI vs. NYK",22,2,59,729,94,172,0,0,22,33,87,180,12,25,14,26,65,210,.547,,.667,12.4,3.6,3.1,0.2
Kevin Murphy,"01/19/13, UTA vs. CLE",22,1,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,.250,.200,,3.1,0.9,0.2,0.1
Andrew Nicholson,"01/1/16, ORL @ WAS",23,5,285,4080,708,1517,87,271,197,255,188,857,126,74,95,212,458,1700,.467,.321,.773,14.3,6.0,3.0,0.4
Kyle O'Quinn,"01/1/16, NYK @ CHI",22,7,426,6229,1009,1952,24,113,348,465,582,1997,567,176,419,424,892,2390,.517,.212,.748,14.6,5.6,4.7,1.3
Tim Ohlbrecht,"03/3/13, HOU vs. DAL",24,1,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,.333,,1.000,4.0,1.0,0.3,0.3
Miles Plumlee,"01/10/14, PHO @ MEM",24,7,346,5658,748,1381,0,0,201,370,547,1562,178,153,256,308,540,1697,.542,,.543,16.4,4.9,4.5,0.5
Pablo Prigioni,"01/1/13, NYK vs. POR",35,4,270,4566,334,786,203,535,75,86,145,505,765,268,6,257,429,946,.425,.379,.872,16.9,3.5,1.9,2.8
Austin Rivers,"01/1/13, NOH vs. ATL",20,7,457,11286,1588,3808,485,1389,604,941,158,949,1114,321,84,552,1022,4265,.417,.349,.642,24.7,9.3,2.1,2.4
Brian Roberts,"01/1/13, NOH vs. ATL",27,5,314,5207,753,1831,217,610,336,370,58,422,721,132,19,272,368,2059,.411,.356,.908,16.6,6.6,1.3,2.3
Thomas Robinson,"01/1/13, SAC @ DET",21,5,313,4204,640,1361,0,6,248,491,542,1507,190,161,111,319,546,1528,.470,.000,.505,13.4,4.9,4.8,0.6
Terrence Ross,"01/1/14, TOR vs. IND",21,7,464,11196,1766,4176,798,2146,359,446,178,1259,482,377,155,403,836,4689,.423,.372,.805,24.1,10.1,2.7,1.0
Robert Sacre,"01/10/14, LAL @ LAC",23,4,189,2745,318,729,0,1,151,225,212,593,126,56,110,102,336,787,.436,.000,.671,14.5,4.2,3.1,0.7
Mike Scott,"01/1/19, LAC vs. PHI",24,7,408,6452,1130,2411,309,870,326,430,282,1250,379,128,50,294,583,2895,.469,.355,.758,15.8,7.1,3.1,0.9
Tornike Shengelia,"01/11/13, BRK vs. PHO",21,2,45,247,23,51,1,8,12,24,13,39,17,6,2,23,29,59,.451,.125,.500,5.5,1.3,0.9,0.4
