Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors,77,18530,3305,6548,.505,876,2227,.393,2429,4321,.562,1285,1578,.814,650,2717,3367,2274,622,591,1194,1513,8771
Houston Rockets,77,18555,2993,6503,.460,1184,3257,.364,1809,3246,.557,1537,1959,.785,701,2649,3350,1672,658,368,1056,1500,8707
New Orleans Pelicans,77,18755,3265,6786,.481,778,2162,.360,2487,4624,.538,1247,1616,.772,664,2734,3398,2031,595,450,1155,1475,8555
Minnesota Timberwolves,78,18820,3199,6696,.478,628,1750,.359,2571,4946,.520,1520,1887,.806,792,2462,3254,1763,651,326,982,1415,8546
Toronto Raptors,76,18365,3138,6642,.472,900,2497,.360,2238,4145,.540,1357,1703,.797,747,2572,3319,1838,584,465,1009,1657,8533
Cleveland Cavaliers,77,18530,3109,6530,.476,914,2476,.369,2195,4054,.541,1377,1766,.780,655,2592,3247,1804,540,296,1057,1442,8509
Denver Nuggets,77,18655,3137,6666,.471,888,2381,.373,2249,4285,.525,1323,1724,.767,849,2573,3422,1929,599,374,1166,1431,8485
Los Angeles Clippers,77,18505,3101,6575,.472,755,2111,.358,2346,4464,.526,1457,1943,.750,769,2603,3372,1712,592,361,1129,1536,8414
Charlotte Hornets,78,18820,3023,6760,.447,765,2096,.365,2258,4664,.484,1576,2120,.743,789,2749,3538,1660,540,354,983,1354,8387
Oklahoma City Thunder,78,18870,3118,6870,.454,828,2341,.354,2290,4529,.506,1313,1847,.711,972,2535,3507,1663,707,397,1095,1576,8377
Philadelphia 76ers,76,18340,3064,6534,.469,825,2255,.366,2239,4279,.523,1323,1751,.756,831,2752,3583,2030,619,381,1277,1693,8276
Los Angeles Lakers,76,18440,3107,6738,.461,755,2208,.342,2352,4530,.519,1254,1771,.708,821,2705,3526,1811,589,364,1196,1608,8223
Washington Wizards,77,18655,3081,6587,.468,759,2038,.372,2322,4549,.510,1300,1678,.775,771,2542,3313,1939,610,337,1120,1638,8221
Milwaukee Bucks,77,18630,3052,6361,.480,682,1908,.357,2370,4453,.532,1416,1814,.781,633,2405,3038,1779,679,419,1064,1662,8202
Brooklyn Nets,77,18655,2937,6692,.439,952,2705,.352,1985,3987,.498,1366,1764,.774,763,2674,3437,1797,475,347,1158,1607,8192
Portland Trail Blazers,77,18555,3030,6690,.453,801,2161,.371,2229,4529,.492,1308,1632,.801,782,2710,3492,1508,536,403,1038,1492,8169
Indiana Pacers,77,18555,3138,6627,.474,693,1885,.368,2445,4742,.516,1168,1496,.781,737,2517,3254,1699,677,320,1027,1436,8137
Phoenix Suns,78,18745,2994,6802,.440,725,2175,.333,2269,4627,.490,1385,1867,.742,811,2617,3428,1646,546,355,1230,1735,8098
New York Knicks,77,18630,3129,6752,.463,619,1772,.349,2510,4980,.504,1173,1488,.788,814,2584,3398,1776,523,390,1143,1583,8050
Utah Jazz,77,18555,2929,6363,.460,829,2271,.365,2100,4092,.513,1295,1652,.784,683,2627,3310,1705,668,390,1132,1501,7982
Atlanta Hawks,77,18505,2938,6573,.447,856,2376,.360,2082,4197,.496,1231,1559,.790,700,2512,3212,1828,601,329,1201,1510,7963
Miami Heat,77,18705,2980,6531,.456,855,2360,.362,2125,4171,.509,1142,1515,.754,708,2615,3323,1750,580,404,1116,1554,7957
Detroit Pistons,77,18580,3003,6689,.449,811,2195,.369,2192,4494,.488,1137,1522,.747,790,2587,3377,1735,589,302,1043,1420,7954
Chicago Bulls,77,18655,2973,6838,.435,848,2395,.354,2125,4443,.478,1134,1490,.761,744,2709,3453,1809,578,277,1070,1484,7928
Boston Celtics,76,18365,2912,6467,.450,887,2333,.380,2025,4134,.490,1210,1566,.773,700,2672,3372,1701,549,345,1056,1520,7921
San Antonio Spurs,77,18505,3003,6556,.458,658,1858,.354,2345,4698,.499,1226,1591,.771,797,2625,3422,1758,581,435,1023,1317,7890
Orlando Magic,76,18290,2955,6526,.453,791,2238,.353,2164,4288,.505,1188,1556,.763,670,2481,3151,1770,582,367,1111,1476,7889
Dallas Mavericks,77,18580,2930,6577,.445,908,2502,.363,2022,4075,.496,1107,1440,.769,609,2559,3168,1737,546,292,957,1491,7875
Sacramento Kings,78,18795,3035,6727,.451,706,1872,.377,2329,4855,.480,959,1299,.738,738,2441,3179,1688,620,325,1076,1556,7735
Memphis Grizzlies,77,18505,2812,6352,.443,708,2014,.352,2104,4338,.485,1278,1630,.784,729,2400,3129,1650,566,377,1147,1809,7610
