Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Gerald Henderson,"01/1/12, CHA @ MIA",22,8,535,13854,2249,5111,249,762,1240,1564,314,1716,1009,358,183,639,930,5987,.440,.327,.793,25.9,11.2,3.2,1.9
Jordan Hill,"01/1/13, LAL vs. PHI",22,8,409,7692,1357,2733,3,22,515,737,879,2389,322,150,272,426,875,3232,.497,.136,.699,18.8,7.9,5.8,0.8
Jrue Holiday,"01/1/13, PHI @ LAL",19,10,638,21127,3894,8607,776,2176,1279,1632,529,2427,4055,940,306,1744,1471,9843,.452,.357,.784,33.1,15.4,3.8,6.4
Lester Hudson,"01/1/11, WAS vs. NOH",25,4,57,594,95,253,28,101,50,62,16,77,71,32,8,56,52,268,.375,.277,.806,10.4,4.7,1.4,1.2
Chris Hunter,"01/11/10, GSW vs. CLE",25,1,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,.502,.000,.754,13.1,4.5,2.8,0.6
Serge Ibaka,"01/1/11, OKC @ SAS",20,10,729,21058,3741,7289,447,1255,1060,1389,1580,5277,515,319,1590,956,2070,8989,.513,.356,.763,28.9,12.3,7.2,0.7
Cedric Jackson,"01/23/10, CLE vs. OKC",23,1,12,74,6,20,1,6,7,12,2,8,14,3,2,11,7,20,.300,.167,.583,6.2,1.7,0.7,1.2
Othyus Jeffers,"01/24/14, SAS @ ATL",24,3,37,442,46,100,1,6,46,69,34,95,22,21,0,21,45,139,.460,.167,.667,11.9,3.8,2.6,0.6
Brandon Jennings,"01/10/10, MIL @ LAL",20,9,555,16844,2750,7099,914,2648,1387,1743,329,1659,3151,679,98,1203,996,7801,.387,.345,.796,30.3,14.1,3.0,5.7
Jonas Jerebko,"01/10/12, DET vs. DAL",22,9,610,11001,1421,3101,381,1051,572,742,748,2465,502,310,144,430,1190,3795,.458,.363,.771,18.0,6.2,4.0,0.8
James Johnson,"01/1/12, TOR @ ORL",22,10,582,12025,1828,3830,273,900,693,996,486,2098,1228,457,524,850,1297,4622,.477,.303,.696,20.7,7.9,3.6,2.1
Oliver Lafayette,"04/14/10, BOS vs. MIL",25,1,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,.500,.500,,22.0,7.0,4.0,2.0
Marcus Landry,"01/1/10, NYK @ ATL",24,1,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,.372,.321,.600,6.2,2.4,1.1,0.0
Ty Lawson,"01/1/11, DEN vs. SAC",22,8,551,16088,2496,5424,473,1319,1512,1964,351,1506,3316,636,52,1159,898,6977,.460,.359,.770,29.2,12.7,2.7,6.0
Wesley Matthews,"01/1/12, POR @ LAC",23,10,700,22828,3304,7751,1506,3937,1525,1848,371,2173,1544,769,141,927,1558,9639,.426,.383,.825,32.6,13.8,3.1,2.2
Eric Maynor,"01/1/11, OKC @ SAS",22,5,267,3896,440,1122,111,317,150,208,67,348,760,111,20,281,296,1141,.392,.350,.721,14.6,4.3,1.3,2.8
Jodie Meeks,"01/1/13, LAL vs. PHI",22,9,531,12006,1644,3930,767,2060,882,1003,147,1108,575,412,35,408,627,4937,.418,.372,.879,22.6,9.3,2.1,1.1
Patty Mills,"01/1/17, SAS @ ATL",21,10,577,10870,1751,4056,844,2156,461,543,181,955,1346,376,46,575,731,4807,.432,.391,.849,18.8,8.3,1.7,2.3
Byron Mullens,"01/1/11, OKC @ SAS",20,5,189,3446,557,1366,111,348,173,245,200,790,153,74,98,187,335,1398,.408,.319,.706,18.2,7.4,4.2,0.8
A.J. Price,"01/1/14, MIN vs. NOP",23,6,261,3929,549,1444,218,690,207,279,68,377,567,125,9,229,237,1523,.380,.316,.742,15.1,5.8,1.4,2.2
DaJuan Summers,"01/11/10, DET @ CHI",22,4,83,820,103,268,29,79,43,67,24,82,29,18,8,37,104,278,.384,.367,.642,9.9,3.3,1.0,0.3
Jermaine Taylor,"01/1/11, SAC @ DEN",23,2,65,786,139,315,19,67,54,74,47,108,48,24,8,65,54,351,.441,.284,.730,12.1,5.4,1.7,0.7
Jeff Teague,"01/1/10, ATL vs. NYK",21,10,701,19425,3155,7088,622,1746,1964,2329,227,1728,4052,850,241,1598,1355,8896,.445,.356,.843,27.7,12.7,2.5,5.8
Garrett Temple,"01/1/13, WAS vs. DAL",23,9,488,9917,1037,2538,422,1186,399,548,189,1035,797,411,147,462,913,2895,.409,.356,.728,20.3,5.9,2.1,1.6
Hasheem Thabeet,"01/1/11, MEM @ UTA",22,5,224,2357,182,321,0,0,119,206,203,595,27,59,184,123,453,483,.567,,.578,10.5,2.2,2.7,0.1
Marcus Thornton,"01/1/11, NOH @ WAS",22,8,483,11299,2124,5003,735,2051,767,924,407,1348,677,405,61,491,739,5750,.425,.358,.830,23.4,11.9,2.8,1.4
Reggie Williams,"01/1/11, GSW @ MIA",23,7,206,3736,599,1313,199,545,201,268,105,493,301,88,13,142,241,1598,.456,.365,.750,18.1,7.8,2.4,1.5
Terrence Williams,"01/10/10, NJN @ SAS",22,4,153,2922,437,1061,58,183,153,232,67,545,364,83,19,222,199,1085,.412,.317,.659,19.1,7.1,3.6,2.4
Sam Young,"01/1/11, MEM @ UTA",24,4,249,3966,560,1266,49,175,267,360,163,573,180,134,57,204,311,1436,.442,.280,.742,15.9,5.8,2.3,0.7
