Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
David Andersen,"01/12/10, HOU @ CHA",29,2,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,.440,.347,.674,12.3,4.9,2.8,0.6
Antonio Anderson,"03/3/10, OKC @ DEN",24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,,,15.0,2.0,1.0,0.0
Jeff Ayres,"01/10/10, POR vs. CLE",22,6,237,2322,287,519,2,5,114,147,196,632,99,37,66,132,360,690,.553,.400,.776,9.8,2.9,2.7,0.4
Rodrigue Beaubois,"01/1/12, DAL @ MIN",21,4,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,.439,.325,.810,15.9,7.1,1.9,2.1
DeJuan Blair,"01/1/11, SAS vs. OKC",20,7,424,7054,1242,2371,0,9,381,627,810,2153,349,316,127,471,1003,2865,.524,.000,.608,16.6,6.8,5.1,0.8
Jon Brockman,"01/1/10, SAC @ LAL",22,3,150,1570,118,242,0,1,84,136,212,472,49,33,9,57,267,320,.488,.000,.618,10.5,2.1,3.1,0.3
Derrick Brown,"01/1/12, CHA @ MIA",22,3,171,2554,354,687,13,41,174,273,167,413,119,89,32,109,208,895,.515,.317,.637,14.9,5.2,2.4,0.7
Chase Budinger,"01/1/15, MIN vs. SAC",21,7,407,7998,1188,2766,413,1172,409,513,238,1240,473,213,65,310,485,3198,.430,.352,.797,19.7,7.9,3.0,1.2
DeMarre Carroll,"01/1/16, TOR vs. CHO",23,10,529,12736,1697,3927,610,1689,780,1057,617,2260,664,502,141,453,1049,4784,.432,.361,.738,24.1,9.0,4.3,1.3
Omri Casspi,"01/1/10, SAC @ LAL",21,10,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,.454,.368,.678,20.3,7.9,4.0,1.1
Earl Clark,"01/1/12, ORL vs. TOR",22,6,261,3630,453,1125,82,250,150,226,195,778,134,83,136,175,323,1138,.403,.328,.664,13.9,4.4,3.0,0.5
Darren Collison,"01/1/13, DAL @ WAS",22,10,684,20097,3154,6695,609,1544,1612,1890,318,1801,3386,785,105,1339,1163,8529,.471,.394,.853,29.4,12.5,2.6,5.0
Dante Cunningham,"01/1/12, MEM @ CHI",22,10,699,14716,1759,3750,213,616,370,571,799,2655,501,453,336,348,1217,4101,.469,.346,.648,21.1,5.9,3.8,0.7
JamesOn Curry,"01/25/10, LAC @ BOS",24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0
Stephen Curry,"01/1/11, GSW @ MIA",21,10,666,22934,5417,11320,2344,5357,2452,2710,470,2971,4445,1155,143,2089,1659,15630,.479,.438,.905,34.4,23.5,4.5,6.7
Austin Daye,"01/1/13, DET vs. SAC",21,6,293,4132,567,1410,188,535,200,257,143,764,212,116,117,204,480,1522,.402,.351,.778,14.1,5.2,2.6,0.7
DeMar DeRozan,"01/1/12, TOR @ ORL",20,10,725,24748,5124,11417,332,1169,3777,4566,553,3052,2389,706,210,1454,1611,14357,.449,.284,.827,34.1,19.8,4.2,3.3
Toney Douglas,"01/10/14, GSW vs. BOS",23,8,394,7511,1093,2705,444,1256,379,460,213,875,889,349,30,410,775,3009,.404,.354,.824,19.1,7.6,2.2,2.3
Wayne Ellington,"01/1/10, MIN vs. ORL",22,10,617,12956,1810,4419,885,2329,437,513,204,1356,668,328,45,412,690,4942,.410,.380,.852,21.0,8.0,2.2,1.1
Tyreke Evans,"01/1/11, SAC @ DEN",20,10,570,17763,3425,7760,477,1485,1792,2359,492,2642,2792,722,215,1451,1267,9119,.441,.321,.760,31.2,16.0,4.6,4.9
Jonny Flynn,"01/1/10, MIN vs. ORL",20,3,163,3738,551,1379,118,349,284,351,44,307,634,122,7,382,179,1504,.400,.338,.809,22.9,9.2,1.9,3.9
Sundiata Gaines,"01/1/11, MIN vs. NJN",23,3,113,1311,182,458,44,146,100,178,46,175,207,83,3,93,100,508,.397,.301,.562,11.6,4.5,1.5,1.8
Alonzo Gee,"01/1/11, CLE @ CHI",22,8,417,9071,1001,2309,186,572,566,751,389,1360,441,379,101,447,792,2754,.434,.325,.754,21.8,6.6,3.3,1.1
Taj Gibson,"01/1/11, CHI vs. CLE",24,10,718,18684,2916,5715,22,103,1170,1659,1698,4617,739,413,799,876,1848,7024,.510,.214,.705,26.0,9.8,6.4,1.0
Trey Gilder,"10/28/09, MEM vs. DET",25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0
Danny Green,"01/1/17, SAS @ ATL",22,10,592,15051,1870,4449,1083,2724,445,544,346,2069,941,582,495,615,1022,5268,.420,.398,.818,25.4,8.9,3.5,1.6
Taylor Griffin,"02/24/10, PHO vs. PHI",23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,.400,.000,.500,4.0,1.3,0.3,0.1
Tyler Hansbrough,"01/1/14, TOR vs. IND",24,7,428,7233,947,2156,3,22,984,1333,745,1808,181,207,91,319,869,2881,.439,.136,.738,16.9,6.7,4.2,0.4
James Harden,"01/1/11, OKC @ SAS",20,10,736,25076,5174,11681,1888,5175,5354,6259,564,3813,4553,1137,364,2652,1897,17590,.443,.365,.855,34.1,23.9,5.2,6.2
