Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Karl-Anthony Towns,20,MIN,130.0,650.0,650,1.000,82,32.0,18.3,10.5,2.0,0.7,1.7,.542,.341,.811,8.3,.151
Kristaps Porzingis,20,NYK,0.0,363.0,650,0.558,72,28.4,14.3,7.3,1.3,0.7,1.9,.421,.333,.838,4.4,.102
Nikola Jokic,20,DEN,0.0,59.0,650,0.091,80,21.7,10.0,7.0,2.4,1.0,0.6,.512,.333,.811,6.7,.185
Devin Booker,19,PHO,0.0,49.0,650,0.075,76,27.7,13.8,2.5,2.6,0.6,0.3,.423,.343,.840,1.9,.043
Jahlil Okafor,20,PHI,0.0,34.0,650,0.052,53,30.0,17.5,7.0,1.2,0.4,1.2,.508,.167,.686,1.2,.037
Justise Winslow,19,MIA,0.0,7.0,650,0.011,78,28.6,6.4,5.2,1.5,0.9,0.3,.422,.276,.684,2.5,.054
Emmanuel Mudiay,19,DEN,0.0,4.0,650,0.006,68,30.4,12.8,3.4,5.5,1.0,0.5,.364,.319,.670,-2.1,-0.049
Myles Turner,19,IND,0.0,3.0,650,0.005,60,22.8,10.3,5.5,0.7,0.4,1.4,.498,.214,.727,3.1,.109
D'Angelo Russell,19,LAL,0.0,1.0,650,0.002,80,28.2,13.2,3.4,3.3,1.2,0.2,.410,.351,.737,0.0,.001
