Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Arron Afflalo,"01/1/11, DEN vs. SAC",22,11,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198,.450,.386,.825,27.3,10.8,2.9,1.8
Blake Ahearn,"03/21/08, MIA vs. WAS",23,3,19,226,21,77,14,47,32,33,1,22,22,7,0,22,27,88,.273,.298,.970,11.9,4.6,1.2,1.2
Lance Allred,"03/17/08, CLE @ ORL",26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0
Morris Almond,"01/10/08, UTA vs. PHO",22,3,38,361,43,113,7,24,26,35,10,46,12,12,4,19,42,119,.381,.292,.743,9.5,3.1,1.2,0.3
Joel Anthony,"01/1/11, MIA vs. GSW",25,10,490,7056,398,776,0,0,268,405,562,1353,99,127,531,227,819,1064,.513,,.662,14.4,2.2,2.8,0.2
Marco Belinelli,"01/1/11, NOH @ WAS",21,12,776,18015,2736,6412,1107,2921,1178,1393,173,1591,1329,467,64,803,1143,7757,.427,.379,.846,23.2,10.0,2.1,1.7
Corey Brewer,"01/1/10, MIN vs. ORL",21,12,790,18386,2649,6236,493,1743,1203,1687,589,2220,1219,999,217,937,1714,6994,.425,.283,.713,23.3,8.9,2.8,1.5
Aaron Brooks,"01/1/13, SAC @ DET",23,10,645,13439,2261,5478,820,2218,917,1095,254,1079,1925,359,87,1000,1217,6259,.413,.370,.837,20.8,9.7,1.7,3.0
Wilson Chandler,"01/1/10, NYK @ ATL",20,11,626,19327,3173,7133,824,2399,1024,1333,751,3382,1156,451,399,890,1699,8194,.445,.343,.768,30.9,13.1,5.4,1.8
Mike Conley,"01/1/11, MEM @ UTA",20,12,770,25114,4052,9191,1043,2780,2162,2644,330,2267,4388,1140,158,1554,1513,11309,.441,.375,.818,32.6,14.7,2.9,5.7
Daequan Cook,"01/10/12, OKC @ MEM",20,6,328,5993,758,2056,442,1232,156,192,75,703,243,120,48,177,478,2114,.369,.359,.813,18.3,6.4,2.1,0.7
Javaris Crittenton,"01/10/09, WAS vs. CHA",20,2,113,1853,229,518,12,52,125,196,84,276,201,59,8,137,148,595,.442,.231,.638,16.4,5.3,2.4,1.8
Jermareo Davidson,"01/10/09, GSW @ POR",23,2,52,433,68,160,0,0,26,45,31,96,14,9,18,22,58,162,.425,,.578,8.3,3.1,1.8,0.3
Glen Davis,"01/1/12, ORL vs. TOR",22,8,514,10865,1614,3611,10,55,873,1247,731,2236,457,357,173,528,1238,4111,.447,.182,.700,21.1,8.0,4.4,0.9
Guillermo Diaz,"01/15/08, LAC vs. PHO",22,1,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600,3.0,0.8,0.3,0.2
Jared Dudley,"01/1/14, LAC vs. CHA",22,12,831,19396,2358,5079,849,2169,922,1263,786,2741,1343,686,160,747,1562,6487,.464,.391,.730,23.3,7.8,3.3,1.6
Kevin Durant,"01/1/11, OKC @ SAS",19,12,823,30450,7593,15466,1529,3996,5628,6368,611,5865,3340,933,915,2596,1564,22343,.491,.383,.884,37.0,27.1,7.1,4.1
Nick Fazekas,"02/13/08, DAL vs. POR",22,1,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,.561,.000,.682,10.3,4.1,3.4,0.4
Kyrylo Fesenko,"01/1/11, UTA vs. MEM",21,5,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,.496,.000,.410,8.2,2.3,2.0,0.3
Thomas Gardner,"01/19/09, ATL vs. TOR",22,2,20,143,18,59,7,35,2,6,3,11,3,4,1,7,8,45,.305,.200,.333,7.2,2.3,0.6,0.2
Marcin Gortat,"01/1/10, ORL @ MIN",23,12,805,20678,3401,6167,3,20,1146,1686,1759,6400,914,383,885,958,1773,7951,.551,.150,.680,25.7,9.9,8.0,1.1
Aaron Gray,"01/1/11, NOH @ WAS",23,7,318,3851,440,864,0,3,186,331,431,1190,207,94,87,265,678,1066,.509,.000,.562,12.1,3.4,3.7,0.7
Jeff Green,"01/1/11, OKC @ SAS",21,11,833,25105,4006,9103,834,2491,2137,2662,798,3792,1326,612,452,1276,1858,10983,.440,.335,.803,30.1,13.2,4.6,1.6
Taurean Green,"01/14/08, POR @ NJN",21,1,17,74,7,25,2,11,11,12,0,10,11,2,0,9,5,27,.280,.182,.917,4.4,1.6,0.6,0.6
Mike Harris,"02/24/10, WAS vs. MEM",24,4,54,496,70,151,0,5,43,55,51,116,12,27,12,30,68,183,.464,.000,.782,9.2,3.4,2.1,0.2
Spencer Hawes,"01/1/10, SAC @ LAL",19,10,684,15541,2451,5363,359,1026,671,937,991,3893,1271,264,652,971,1709,5932,.457,.350,.716,22.7,8.7,5.7,1.9
Al Horford,"01/1/10, ATL vs. NYK",21,12,761,25029,4522,8612,339,919,1328,1768,1654,6423,2428,612,925,1232,1756,10711,.525,.369,.751,32.9,14.1,8.4,3.2
Yi Jianlian,"01/10/10, NJN @ SAS",20,5,272,6038,813,2012,75,225,447,573,379,1339,192,136,184,302,618,2148,.404,.333,.780,22.2,7.9,4.9,0.7
Coby Karl,"01/11/08, LAL vs. MIL",24,2,24,184,20,58,6,24,12,16,7,32,24,7,3,15,18,58,.345,.250,.750,7.7,2.4,1.3,1.0
Carl Landry,"01/1/11, SAC @ DEN",24,9,513,11524,2086,3898,9,30,1360,1732,994,2533,355,216,203,603,1208,5541,.535,.300,.785,22.5,10.8,4.9,0.7
Keith Langford,"12/28/07, SAS vs. TOR",24,1,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,.250,,,5.0,1.0,1.0,0.0
Stephane Lasme,"03/21/08, MIA vs. WAS",25,1,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,,.594,18.9,5.2,3.3,0.2
Acie Law,"01/1/11, GSW @ MIA",23,4,188,2385,263,637,27,115,172,221,33,195,309,83,4,145,193,725,.413,.235,.778,12.7,3.9,1.0,1.6
Ian Mahinmi,"01/1/11, DAL @ MIL",21,11,576,9483,1089,2020,1,20,727,1190,850,2465,307,324,398,554,1511,2906,.539,.050,.611,16.5,5.0,4.3,0.5
Dominic McGuire,"01/10/09, WAS vs. CHA",22,6,342,5348,388,927,3,16,160,243,344,1169,422,154,184,242,501,939,.419,.188,.658,15.6,2.7,3.4,1.2
Josh McRoberts,"01/1/12, LAL @ DEN",20,11,433,8271,914,1972,196,576,309,438,468,1686,901,222,194,381,817,2333,.463,.340,.705,19.1,5.4,3.9,2.1
Jamario Moon,"01/1/11, CLE @ CHI",27,5,286,6451,723,1568,177,538,184,229,201,1227,291,229,236,147,424,1807,.461,.329,.803,22.6,6.3,4.3,1.0
Juan Carlos Navarro,"01/10/08, MEM @ SAC",27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849,25.8,10.9,2.6,2.2
