Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Marcus Camby,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155
Bruce Bowen,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,.384,.589,4.1,.079
Tim Duncan,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230
Shawn Marion,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191
Shane Battier,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,.421,.779,9.0,.144
Ben Wallace,32,CHI,1.0,42.0,650,0.065,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,.200,.408,8.2,.146
Gerald Wallace,24,CHA,3.0,27.0,650,0.042,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,.325,.691,7.7,.141
Metta World Peace,27,SAC,1.0,20.0,650,0.031,70,37.7,18.8,6.5,3.4,2.1,0.6,.440,.358,.740,6.7,.122
Tyson Chandler,24,NOK,0.0,15.0,650,0.023,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150
Jermaine O'Neal,28,IND,1.0,11.0,650,0.017,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,.000,.767,4.7,.091
Emeka Okafor,24,CHA,0.0,10.0,650,0.015,67,34.8,14.4,11.3,1.2,0.9,2.6,.532,,.593,7.1,.147
Tayshaun Prince,26,DET,0.0,10.0,650,0.015,82,36.6,14.3,5.2,2.8,0.6,0.7,.460,.386,.768,8.0,.128
Kevin Garnett,30,MIN,0.0,7.0,650,0.011,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171
Kirk Hinrich,26,CHI,0.0,7.0,650,0.011,80,35.5,16.6,3.4,6.3,1.3,0.3,.448,.415,.835,10.1,.171
Andrei Kirilenko,25,UTA,0.0,7.0,650,0.011,70,29.3,8.3,4.7,2.9,1.1,2.1,.471,.213,.728,4.4,.104
Dwight Howard,21,ORL,1.0,6.0,650,0.009,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154
Quinton Ross,25,LAC,1.0,6.0,650,0.009,81,21.0,5.2,2.3,1.1,0.9,0.4,.467,.200,.782,3.2,.090
Udonis Haslem,26,MIA,1.0,5.0,650,0.008,79,31.4,10.7,8.3,1.2,0.6,0.3,.492,.000,.680,5.1,.099
Josh Howard,26,DAL,0.0,5.0,650,0.008,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173
Luol Deng,21,CHI,0.0,4.0,650,0.006,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176
Caron Butler,26,WAS,0.0,3.0,650,0.005,63,39.3,19.1,7.4,3.7,2.1,0.3,.463,.250,.863,5.3,.103
Josh Smith,21,ATL,0.0,3.0,650,0.005,72,36.8,16.4,8.6,3.3,1.4,2.9,.439,.250,.693,4.4,.079
Raja Bell,30,PHO,0.0,2.0,650,0.003,78,37.4,14.7,3.2,2.5,0.6,0.3,.432,.413,.776,5.8,.095
Kobe Bryant,28,LAL,0.0,1.0,650,0.002,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199
Devin Harris,23,DAL,0.0,1.0,650,0.002,80,26.0,10.2,2.5,3.7,1.2,0.3,.492,.280,.824,6.5,.151
Andre Iguodala,23,PHI,0.0,1.0,650,0.002,76,40.3,18.2,5.7,5.7,2.0,0.4,.447,.310,.820,7.7,.120
Yao Ming,26,HOU,0.0,1.0,650,0.002,48,33.8,25.0,9.4,2.0,0.4,2.0,.516,.000,.862,7.4,.220
Alonzo Mourning,36,MIA,0.0,1.0,650,0.002,77,20.4,8.6,4.5,0.2,0.2,2.3,.560,,.601,3.5,.107
Anthony Parker,31,TOR,0.0,1.0,650,0.002,73,33.4,12.4,3.9,2.1,1.0,0.2,.477,.441,.835,6.5,.127
