Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,82,19955,3430,7167,.479,837,2097,.399,2593,5070,.511,1189,1475,.806,778,2650,3428,2179,549,412,1088,1683,8886
Seattle SuperSonics,82,19830,3077,6711,.459,605,1631,.371,2472,5080,.487,1652,2104,.785,1013,2233,3246,1696,622,306,1208,1933,8411
Washington Wizards,82,19830,2975,6656,.447,497,1394,.357,2478,5262,.471,1889,2496,.757,1035,2344,3379,1523,658,339,1143,1855,8336
Toronto Raptors,82,19955,3013,6639,.454,608,1620,.375,2405,5019,.479,1653,2089,.791,864,2291,3155,1593,529,272,1071,1965,8287
Denver Nuggets,82,19930,3078,6672,.461,350,1076,.325,2728,5596,.487,1721,2312,.744,903,2486,3389,1921,698,463,1216,1863,8227
Miami Heat,82,19755,3039,6355,.478,497,1441,.345,2542,4914,.517,1616,2310,.700,858,2675,3533,1692,522,442,1186,1871,8191
Los Angeles Lakers,82,19855,2992,6607,.453,552,1583,.349,2440,5024,.486,1618,2172,.745,970,2488,3458,1734,628,350,1143,1894,8154
Philadelphia 76ers,82,19905,3001,6546,.458,375,1031,.364,2626,5515,.476,1770,2330,.760,873,2425,3298,1653,651,404,1159,1712,8147
Dallas Mavericks,82,19880,2948,6375,.462,416,1113,.374,2532,5262,.481,1818,2322,.783,1030,2431,3461,1473,593,488,1112,1834,8130
Sacramento Kings,82,19830,2954,6500,.454,494,1408,.351,2460,5092,.483,1704,2173,.784,852,2473,3325,1825,608,299,1199,1672,8106
Golden State Warriors,82,19830,2939,6785,.433,625,1832,.341,2314,4953,.467,1573,2190,.718,980,2485,3465,1694,604,357,1156,1941,8076
Boston Celtics,82,19880,2951,6322,.467,467,1290,.362,2484,5032,.494,1664,2204,.755,813,2432,3245,1716,578,422,1359,2033,8033
Milwaukee Bucks,82,19855,2976,6566,.453,507,1335,.380,2469,5231,.472,1561,2115,.738,929,2448,3377,1769,597,270,1197,1902,8020
Chicago Bulls,82,19905,3004,6737,.446,560,1477,.379,2444,5260,.465,1452,1967,.738,906,2602,3508,1804,508,345,1224,2038,8020
Cleveland Cavaliers,82,19830,2908,6412,.454,497,1465,.339,2411,4947,.487,1689,2318,.729,959,2511,3470,1560,567,392,1137,1733,8002
Atlanta Hawks,82,19880,2946,6496,.454,424,1154,.367,2522,5342,.472,1656,2207,.750,1069,2232,3301,1625,587,394,1284,2054,7972
Los Angeles Clippers,82,19805,2993,6443,.465,290,843,.344,2703,5600,.483,1694,2142,.791,828,2704,3532,1708,534,503,1185,1872,7970
Charlotte Bobcats,82,19905,2961,6843,.433,428,1261,.339,2533,5582,.454,1593,2186,.729,990,2270,3260,1717,822,354,1167,1960,7943
Detroit Pistons,82,19830,2983,6558,.455,557,1451,.384,2426,5107,.475,1418,1950,.727,975,2347,3322,1971,580,490,931,1513,7941
New York Knicks,82,19930,2822,6206,.455,320,884,.362,2502,5322,.470,1878,2587,.726,1034,2360,3394,1468,555,271,1449,2157,7842
San Antonio Spurs,82,19805,2993,6342,.472,524,1362,.385,2469,4980,.496,1327,1891,.702,851,2548,3399,1717,543,467,1126,1714,7837
Orlando Magic,82,19905,2911,6167,.472,299,796,.376,2612,5371,.486,1663,2277,.730,892,2402,3294,1495,532,362,1240,1908,7784
Indiana Pacers,82,19730,2786,6274,.444,536,1536,.349,2250,4738,.475,1591,2158,.737,898,2559,3457,1631,598,409,1254,1821,7699
New Jersey Nets,82,19780,2778,6317,.440,477,1447,.330,2301,4870,.472,1658,2187,.758,822,2539,3361,1884,558,278,1119,1903,7691
New Orleans/Oklahoma City Hornets,82,19805,2831,6428,.440,300,885,.339,2531,5543,.457,1649,2176,.758,918,2379,3297,1519,611,311,1095,1786,7611
Utah Jazz,82,19880,2744,6207,.442,311,925,.336,2433,5282,.461,1774,2466,.719,1071,2380,3451,1772,524,492,1290,2032,7573
Memphis Grizzlies,82,19855,2746,6125,.448,590,1578,.374,2156,4547,.474,1476,2077,.711,834,2379,3213,1586,600,442,1134,1757,7558
Minnesota Timberwolves,82,19855,2888,6340,.456,310,942,.329,2578,5398,.478,1436,1895,.758,811,2422,3233,1716,559,471,1189,1889,7522
Houston Rockets,82,19830,2708,6252,.433,469,1414,.332,2239,4838,.463,1502,1980,.759,849,2565,3414,1580,588,320,1193,1863,7387
Portland Trail Blazers,82,19730,2791,6267,.445,364,1042,.349,2427,5225,.464,1339,1944,.689,886,2203,3089,1490,529,435,1205,1828,7285
