Season,AllNBATeam,Center,Forward1,Forward2,Guard1,Guard2
1997,2nd,Patrick Ewing,Scottie Pippen,Glen Rice,Gary Payton,Mitch Richmond
1997,3rd,Shaquille O'Neal,Vin Baker,Anthony Mason,Anfernee Hardaway,John Stockton
1996,1st,David Robinson,Karl Malone,Scottie Pippen,Anfernee Hardaway,Michael Jordan
1996,2nd,Hakeem Olajuwon,Grant Hill,Shawn Kemp,Gary Payton,John Stockton
1996,3rd,Shaquille O'Neal,Charles Barkley,Juwan Howard,Reggie Miller,Mitch Richmond
1995,1st,David Robinson,Karl Malone,Scottie Pippen,Anfernee Hardaway,John Stockton
1995,2nd,Shaquille O'Neal,Charles Barkley,Shawn Kemp,Gary Payton,Mitch Richmond
1995,3rd,Hakeem Olajuwon,Dennis Rodman,Detlef Schrempf,Clyde Drexler,Reggie Miller
1994,1st,Hakeem Olajuwon,Karl Malone,Scottie Pippen,Latrell Sprewell,John Stockton
1994,2nd,David Robinson,Charles Barkley,Shawn Kemp,Kevin Johnson,Mitch Richmond
1994,3rd,Shaquille O'Neal,Derrick Coleman,Dominique Wilkins,Gary Payton,Mark Price
1993,1st,Hakeem Olajuwon,Charles Barkley,Karl Malone,Michael Jordan,Mark Price
1993,2nd,Patrick Ewing,Larry Johnson,Dominique Wilkins,Joe Dumars,John Stockton
1993,3rd,David Robinson,Derrick Coleman,Scottie Pippen,Tim Hardaway,Drazen Petrovic
1992,1st,David Robinson,Karl Malone,Chris Mullin,Clyde Drexler,Michael Jordan
1992,2nd,Patrick Ewing,Charles Barkley,Scottie Pippen,Tim Hardaway,John Stockton
1992,3rd,Brad Daugherty,Dennis Rodman,Kevin Willis,Kevin Johnson,Mark Price
1991,1st,David Robinson,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1991,2nd,Patrick Ewing,Chris Mullin,Dominique Wilkins,Clyde Drexler,Kevin Johnson
1991,3rd,Hakeem Olajuwon,Bernard King,James Worthy,Joe Dumars,John Stockton
1990,1st,Patrick Ewing,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1990,2nd,Hakeem Olajuwon,Larry Bird,Tom Chambers,Kevin Johnson,John Stockton
1990,3rd,David Robinson,Chris Mullin,James Worthy,Clyde Drexler,Joe Dumars
1989,1st,Hakeem Olajuwon,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1989,2nd,Patrick Ewing,Tom Chambers,Chris Mullin,Kevin Johnson,John Stockton
1989,3rd,Robert Parish,Terry Cummings,Dominique Wilkins,Dale Ellis,Mark Price
1988,1st,Hakeem Olajuwon,Charles Barkley,Larry Bird,Magic Johnson,Michael Jordan
