Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Malcolm Brogdon,24,MIL,64.0,414.0,500,0.828,75,26.4,10.2,2.8,4.2,1.1,0.2,.457,.404,.865,4.1,.100
Dario Saric,22,PHI,13.0,266.0,500,0.532,81,26.3,12.8,6.3,2.2,0.7,0.4,.411,.311,.782,1.0,.023
Joel Embiid,22,PHI,23.0,177.0,500,0.354,31,25.4,20.2,7.8,2.1,0.9,2.5,.466,.367,.783,1.9,.117
Buddy Hield,23,TOT,0.0,21.0,500,0.042,82,23.0,10.6,3.3,1.5,0.5,0.1,.426,.391,.842,1.3,.032
Willy Hernangomez,22,NYK,0.0,8.0,500,0.016,72,18.4,8.2,7.0,1.3,0.6,0.5,.529,.267,.728,3.4,.123
Jamal Murray,19,DEN,0.0,8.0,500,0.016,82,21.5,9.9,2.6,2.1,0.6,0.3,.404,.334,.883,1.3,.037
Marquese Chriss,19,PHO,0.0,3.0,500,0.006,82,21.3,9.2,4.2,0.7,0.8,0.9,.449,.321,.624,1.8,.050
Jaylen Brown,20,BOS,0.0,1.0,500,0.002,78,17.2,6.6,2.8,0.8,0.4,0.2,.454,.341,.685,1.5,.053
Yogi Ferrell,23,TOT,0.0,1.0,500,0.002,46,26.0,10.0,2.4,3.7,0.9,0.2,.406,.386,.831,1.8,.072
Rodney McGruder,25,MIA,0.0,1.0,500,0.002,78,25.2,6.4,3.3,1.6,0.6,0.2,.413,.332,.620,2.9,.072
