Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Malik Allen,"01/1/03, MIA @ ATL",23,10,478,7262,1039,2365,3,16,253,325,466,1353,228,130,220,320,897,2334,.439,.188,.778,15.2,4.9,2.8,0.5
Chris Andersen,"01/1/11, DEN vs. SAC",23,15,695,12273,1336,2512,15,68,1068,1632,1176,3493,337,312,991,513,1342,3755,.532,.221,.654,17.7,5.4,5.0,0.5
Gilbert Arenas,"01/10/03, GSW @ WAS",20,11,552,19351,3722,8850,1079,3077,2879,3584,444,2168,2909,884,134,1744,1683,11402,.421,.351,.803,35.1,20.7,3.9,5.3
Brandon Armstrong,"01/10/02, NJN vs. LAC",21,3,108,699,101,287,25,75,12,20,22,63,24,22,4,37,83,239,.352,.333,.600,6.5,2.2,0.6,0.2
Carlos Arroyo,"01/1/11, MIA vs. GSW",22,9,569,10651,1431,3269,137,405,771,956,210,965,1761,290,26,680,874,3770,.438,.338,.806,18.7,6.6,1.7,3.1
Mengke Bateer,"01/17/03, SAS vs. ATL",26,3,46,494,61,156,5,15,29,39,39,114,27,11,5,40,118,156,.391,.333,.744,10.7,3.4,2.5,0.6
Shane Battier,"01/1/05, MEM @ MIN",23,13,977,30004,2982,6819,1250,3254,1194,1606,1273,4082,1717,988,906,878,2208,8408,.437,.384,.743,30.7,8.6,4.2,1.8
Charlie Bell,"01/10/07, MIL vs. TOR",22,7,376,9368,1192,2891,438,1213,382,497,180,814,857,303,31,362,750,3204,.412,.361,.769,24.9,8.5,2.2,2.3
Ruben Boumtje-Boumtje,"01/1/02, POR @ LAC",23,3,44,276,14,38,0,0,15,27,22,57,6,4,17,14,40,43,.368,,.556,6.3,1.0,1.3,0.1
Michael Bradley,"01/1/03, TOR @ NYK",22,5,173,2016,218,457,2,14,45,88,223,591,93,25,47,113,200,483,.477,.143,.511,11.7,2.8,3.4,0.5
Jamison Brewer,"01/15/03, IND vs. MIA",21,4,54,468,35,94,8,32,11,28,15,50,56,19,2,32,34,89,.372,.250,.393,8.7,1.6,0.9,1.0
