Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dikembe Mutombo,34,TOT,48.0,48.0,123,0.390,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151
Kevin Garnett,24,MIN,26.0,26.0,123,0.211,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176
Tim Duncan,24,SAS,14.0,14.0,123,0.114,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200
Doug Christie,30,SAC,9.0,9.0,123,0.073,81,36.3,12.3,4.4,3.6,2.3,0.6,.395,.376,.897,8.7,.141
David Robinson,35,SAS,6.0,6.0,123,0.049,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246
Ben Wallace,26,DET,6.0,6.0,123,0.049,80,34.5,6.4,13.2,1.5,1.3,2.3,.490,.250,.336,7.0,.121
Theo Ratliff,27,PHI,4.0,4.0,123,0.033,50,36.0,12.4,8.3,1.2,0.6,3.7,.499,,.760,5.2,.138
Bruce Bowen,29,MIA,2.0,2.0,123,0.016,82,32.7,7.6,3.0,1.6,1.0,0.6,.363,.336,.609,4.2,.075
Anthony Mason,34,MIA,2.0,2.0,123,0.016,80,40.7,16.1,9.6,3.1,1.0,0.3,.482,,.781,11.6,.171
Shaquille O'Neal,28,LAL,2.0,2.0,123,0.016,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245
Kobe Bryant,22,LAL,1.0,1.0,123,0.008,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196
Allen Iverson,25,PHI,1.0,1.0,123,0.008,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190
Jason Kidd,27,PHO,1.0,1.0,123,0.008,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150
Shawn Marion,22,PHO,1.0,1.0,123,0.008,79,36.2,17.3,10.7,2.0,1.7,1.4,.480,.256,.810,11.7,.196
