Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dallas Mavericks,82,19780,3161,6982,.453,636,1668,.381,2525,5314,.475,1486,1793,.829,912,2544,3456,1837,665,449,949,1730,8444
Golden State Warriors,82,19755,3061,6941,.441,425,1235,.344,2636,5706,.462,1853,2382,.778,1284,2546,3830,1712,594,506,1295,1786,8400
Sacramento Kings,82,19830,3242,6990,.464,491,1288,.381,2751,5702,.482,1367,1832,.746,900,2751,3651,2034,736,457,1192,1666,8342
Los Angeles Lakers,82,19930,3091,6856,.451,486,1367,.356,2605,5489,.475,1562,2129,.734,1078,2554,3632,1909,639,470,1192,1874,8230
Milwaukee Bucks,82,19905,3045,6670,.457,585,1526,.383,2460,5144,.478,1483,1911,.776,876,2367,3243,1823,622,344,1044,1820,8158
Orlando Magic,82,19805,2947,6763,.436,568,1590,.357,2379,5173,.460,1616,2079,.777,958,2392,3350,1676,696,300,1177,1888,8078
Minnesota Timberwolves,82,19805,3172,6809,.466,296,804,.368,2876,6005,.479,1406,1826,.770,959,2614,3573,2070,553,433,1124,1704,8046
Memphis Grizzlies,82,19930,3049,6743,.452,467,1279,.365,2582,5464,.473,1430,1936,.739,943,2466,3409,1892,651,500,1262,1678,7995
Philadelphia 76ers,82,19855,2975,6640,.448,245,787,.311,2730,5853,.466,1746,2253,.775,1042,2415,3457,1771,844,284,1212,1804,7941
Indiana Pacers,82,19905,2911,6608,.441,379,1119,.339,2532,5489,.461,1739,2271,.766,1004,2622,3626,1910,696,443,1210,1811,7940
New York Knicks,82,19855,2967,6725,.441,606,1582,.383,2361,5143,.459,1320,1620,.815,842,2376,3218,1800,579,255,1149,1888,7860
San Antonio Spurs,82,19830,2908,6297,.462,449,1270,.354,2459,5027,.489,1591,2194,.725,939,2556,3495,1636,629,529,1295,1672,7856
Phoenix Suns,82,19805,3005,6776,.443,394,1149,.343,2611,5627,.464,1430,1928,.742,1049,2440,3489,1719,665,404,1208,1801,7834
New Jersey Nets,82,19755,2906,6585,.441,346,1041,.332,2560,5544,.462,1662,2195,.757,991,2528,3519,1887,717,374,1212,1772,7820
Portland Trail Blazers,82,19855,2987,6491,.460,379,1150,.330,2608,5341,.488,1450,1947,.745,992,2378,3370,1860,725,316,1248,1634,7803
Chicago Bulls,82,19930,2991,6714,.445,349,997,.350,2642,5717,.462,1455,2014,.722,985,2541,3526,1782,605,461,1388,2028,7786
Utah Jazz,82,19780,2894,6189,.468,224,641,.349,2670,5548,.481,1750,2349,.745,1021,2381,3402,2103,708,467,1374,1837,7762
Atlanta Hawks,82,19905,2859,6434,.444,402,1141,.352,2457,5293,.464,1594,2011,.793,937,2558,3495,1679,611,473,1367,1783,7714
New Orleans Hornets,82,19905,2914,6695,.435,404,1075,.376,2510,5620,.447,1467,1910,.768,1097,2475,3572,1807,656,394,1212,1769,7699
Los Angeles Clippers,82,19755,2835,6490,.437,390,1178,.331,2445,5312,.460,1633,2177,.750,1008,2462,3470,1605,574,461,1291,1784,7693
Houston Rockets,82,19930,2840,6461,.440,439,1267,.346,2401,5194,.462,1569,2044,.768,1024,2564,3588,1506,594,493,1276,1602,7688
Boston Celtics,82,19830,2700,6509,.415,719,2155,.334,1981,4354,.455,1480,1994,.742,849,2471,3320,1575,720,303,1147,1758,7599
Seattle SuperSonics,82,19855,2887,6599,.437,456,1291,.353,2431,5308,.458,1325,1780,.744,963,2385,3348,1775,679,295,1085,1712,7555
Washington Wizards,82,19830,2816,6394,.440,253,811,.312,2563,5583,.459,1617,2077,.779,917,2395,3312,1612,621,390,1095,1644,7502
Cleveland Cavaliers,82,19830,2850,6746,.422,293,896,.327,2557,5850,.437,1502,2012,.747,1118,2542,3660,1712,636,521,1501,1864,7495
Detroit Pistons,82,19905,2700,6277,.430,533,1488,.358,2167,4789,.452,1559,2021,.771,883,2445,3328,1620,556,468,1104,1748,7492
Toronto Raptors,82,19805,2847,6664,.427,409,1193,.343,2438,5471,.446,1350,1879,.718,1023,2355,3378,1583,609,392,1181,1761,7453
Miami Heat,82,19830,2688,6517,.412,348,1100,.316,2340,5417,.432,1292,1689,.765,948,2464,3412,1501,592,324,1167,1856,7016
Denver Nuggets,82,19730,2689,6544,.411,229,824,.278,2460,5720,.430,1294,1850,.699,1112,2363,3475,1737,712,422,1514,2056,6901
