Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,82,19755,3373,6695,.504,553,1445,.383,2820,5250,.537,1675,2251,.744,900,2520,3420,1905,589,420,1288,1691,8974
Golden State Warriors,82,19880,3231,7055,.458,550,1475,.373,2681,5580,.480,1893,2392,.791,953,2492,3445,1711,638,527,1201,1842,8905
Los Angeles Lakers,82,19780,3307,6981,.474,547,1516,.361,2760,5465,.505,1607,2087,.770,1015,2587,3602,1908,718,420,1103,1698,8768
New York Knicks,82,19805,3157,7091,.445,823,2284,.360,2334,4807,.486,1490,1900,.784,911,2545,3456,1738,610,204,1174,1672,8627
Indiana Pacers,82,19830,3220,7080,.455,652,1725,.378,2568,5355,.480,1525,1890,.807,924,2661,3585,1775,573,434,1189,1895,8617
Denver Nuggets,82,19730,3058,6510,.470,548,1477,.371,2510,5033,.499,1891,2487,.760,905,2507,3412,1820,710,492,1257,1874,8555
Utah Jazz,82,19880,3143,6623,.475,392,1122,.349,2751,5501,.500,1814,2352,.771,940,2423,3363,2024,719,374,1210,1830,8492
Chicago Bulls,82,19930,3126,6846,.457,493,1293,.381,2633,5553,.474,1633,2052,.796,970,2481,3451,1732,615,453,1192,1709,8378
Dallas Mavericks,82,19805,3128,6770,.462,571,1632,.350,2557,5138,.498,1516,1852,.819,909,2595,3504,1779,591,429,1043,1600,8343
Orlando Magic,82,19730,2929,6416,.457,817,2147,.381,2112,4269,.495,1611,2253,.715,819,2728,3547,1593,570,439,1142,1664,8286
Boston Celtics,82,19880,3075,6333,.486,538,1355,.397,2537,4978,.510,1587,2075,.765,869,2586,3455,1862,621,387,1280,1897,8275
Sacramento Kings,82,19905,2990,6685,.447,586,1594,.368,2404,5091,.472,1682,2107,.798,840,2366,3206,1619,569,349,1266,1910,8248
Cleveland Cavaliers,82,19780,3022,6454,.468,656,1670,.393,2366,4784,.495,1523,2012,.757,886,2574,3460,1663,593,435,1045,1663,8223
Portland Trail Blazers,82,19830,3018,6494,.465,596,1555,.383,2422,4939,.490,1521,1988,.765,1060,2360,3420,1667,550,402,1055,1671,8153
Milwaukee Bucks,82,19780,3009,6755,.445,511,1408,.363,2498,5347,.467,1613,2067,.780,973,2367,3340,1802,609,308,1154,1986,8142
Toronto Raptors,82,19805,3054,6673,.458,479,1289,.372,2575,5384,.478,1534,1861,.824,802,2513,3315,1835,523,390,1098,1593,8121
Houston Rockets,82,19805,2959,6526,.453,621,1656,.375,2338,4870,.480,1531,1903,.805,862,2662,3524,1662,548,355,1158,1553,8070
Miami Heat,82,19955,3034,6646,.457,582,1631,.357,2452,5015,.489,1411,1871,.754,828,2411,3239,1671,651,451,1026,1696,8061
Atlanta Hawks,82,19705,2956,6451,.458,597,1633,.366,2359,4818,.490,1537,2085,.737,870,2412,3282,1657,603,376,1048,1610,8046
New Jersey Nets,82,19830,2925,6536,.448,652,1735,.376,2273,4801,.473,1542,1980,.779,850,2415,3265,1636,559,391,1075,1838,8044
Minnesota Timberwolves,82,19805,2986,6766,.441,543,1539,.353,2443,5227,.467,1504,1957,.769,975,2442,3417,1674,512,322,1165,1785,8019
Philadelphia 76ers,82,19755,2997,6532,.459,341,1072,.318,2656,5460,.486,1652,2216,.745,1039,2336,3375,1647,658,415,1157,1650,7987
San Antonio Spurs,82,19905,3042,6534,.466,625,1620,.386,2417,4914,.492,1249,1641,.761,728,2638,3366,1736,474,329,963,1546,7958
Oklahoma City Thunder,82,19805,2999,6716,.447,328,949,.346,2671,5767,.463,1626,2069,.786,999,2497,3496,1663,608,371,1330,1655,7952
Washington Wizards,82,19705,2994,6655,.450,395,1198,.330,2599,5457,.476,1494,1948,.767,956,2330,3286,1641,619,365,1146,1679,7877
New Orleans Hornets,82,19755,2911,6366,.457,556,1526,.364,2355,4840,.487,1479,1833,.807,802,2453,3255,1609,593,338,1029,1665,7857
Los Angeles Clippers,82,19880,2955,6696,.441,535,1513,.354,2420,5183,.467,1354,1839,.736,890,2377,3267,1723,572,482,1221,1650,7799
Detroit Pistons,82,19905,2981,6559,.454,377,1079,.349,2604,5480,.475,1388,1849,.751,949,2448,3397,1689,493,377,973,1712,7727
Memphis Grizzlies,82,19805,2865,6311,.454,398,1106,.360,2467,5205,.474,1570,2077,.756,847,2337,3184,1423,615,385,1252,1777,7698
Charlotte Bobcats,82,19930,2866,6299,.455,490,1339,.366,2376,4960,.479,1455,1965,.740,886,2366,3252,1741,580,397,1279,1754,7677
