Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Durant,OKC,37:23,14,25,3,8,5,7,3,4,7,3,3,0,2,0,36,.560,.375,.714
Kobe Bryant,LAL,34:48,9,17,2,5,7,8,0,1,1,1,2,0,1,2,27,.529,.400,.875
Blake Griffin,LAC,31:26,9,12,1,2,3,6,3,5,8,3,2,0,1,3,22,.750,.500,.500
Chris Paul,LAC,30:57,3,7,2,5,0,0,0,5,5,12,1,0,2,1,8,.429,.400,
Andrew Bynum,LAL,5:31,0,3,0,1,0,0,1,2,3,1,1,1,0,0,0,.000,.000,
Russell Westbrook,OKC,27:31,10,17,1,4,0,2,5,0,5,2,2,0,1,3,21,.588,.250,.000
Kevin Love,MIN,18:24,7,12,2,4,1,3,2,5,7,1,3,0,1,0,17,.583,.500,.333
Dirk Nowitzki,DAL,13:44,3,8,1,5,0,0,2,2,4,1,0,0,0,1,7,.375,.200,
Marc Gasol,MEM,13:32,2,5,0,0,0,0,1,2,3,0,0,0,1,2,4,.400,,
Tony Parker,SAS,12:16,3,5,0,0,0,0,1,1,2,4,0,0,1,0,6,.600,,
LaMarcus Aldridge,POR,9:48,2,5,0,0,0,0,0,1,1,1,0,0,0,0,4,.400,,
Steve Nash,PHO,4:40,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,,,
Dwyane Wade,MIA,32:54,11,15,0,1,2,2,3,7,10,10,2,0,4,4,24,.733,.000,1.000
LeBron James,MIA,32:09,15,23,6,8,0,0,0,6,6,7,0,0,4,2,36,.652,.750,
Dwight Howard,ORL,31:10,4,9,0,4,1,2,5,5,10,3,0,1,1,4,9,.444,.000,.500
Carmelo Anthony,NYK,30:20,7,15,0,3,5,7,4,5,9,0,2,0,0,0,19,.467,.000,.714
Derrick Rose,CHI,18:17,6,8,2,2,0,0,1,0,1,3,0,0,2,1,14,.750,1.000,
Chris Bosh,MIA,20:08,3,9,1,2,0,0,1,1,2,1,2,1,1,2,7,.333,.500,
Deron Williams,NJN,18:08,8,11,4,7,0,0,1,2,3,4,1,0,0,2,20,.727,.571,
Rajon Rondo,BOS,15:34,1,3,0,0,0,0,0,2,2,8,0,0,4,1,2,.333,,
Andre Iguodala,PHI,14:11,6,7,0,1,0,0,1,3,4,2,1,1,1,0,12,.857,.000,
Paul Pierce,BOS,11:07,1,8,1,4,0,0,1,1,2,0,0,1,2,1,3,.125,.250,
Roy Hibbert,IND,10:11,1,3,0,0,1,1,1,2,3,1,0,0,0,0,3,.333,,1.000
Luol Deng,CHI,5:51,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,,
Joe Johnson,ATL,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
