Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Bam Adebayo,"01/10/18, MIA @ IND",20,2,120,2497,327,612,1,16,234,323,222,723,203,69,81,137,269,889,.534,.063,.724,20.8,7.4,6.0,1.7
Jarrett Allen,"01/1/18, BRK vs. ORL",19,2,124,2831,456,781,10,47,244,324,276,839,129,60,166,153,263,1166,.584,.213,.753,22.8,9.4,6.8,1.0
Kadeem Allen,"01/28/19, NYK @ CHO",25,2,22,199,13,41,1,15,15,17,6,24,28,4,3,12,26,42,.317,.067,.882,9.0,1.9,1.1,1.3
Ike Anigbogu,"01/14/18, IND @ PHO",19,2,14,36,4,12,0,0,5,6,6,12,1,1,4,3,1,13,.333,,.833,2.6,0.9,0.9,0.1
OG Anunoby,"01/1/18, TOR vs. MIL",20,2,117,2348,284,622,119,338,56,102,76,309,84,80,25,74,221,743,.457,.352,.549,20.1,6.4,2.6,0.7
Ryan Arcidiacono,"01/11/19, CHI @ GSW",23,2,76,1607,120,284,69,192,50,56,15,144,216,64,2,57,133,359,.423,.359,.893,21.1,4.7,1.9,2.8
Jamel Artis,"03/22/18, ORL vs. PHI",25,1,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77,.392,.276,.583,18.6,5.1,2.5,1.2
Dwayne Bacon,"01/11/19, CHO @ POR",22,2,77,969,116,275,24,67,30,37,7,163,55,19,3,35,73,286,.422,.358,.811,12.6,3.7,2.1,0.7
Lonzo Ball,"01/11/18, LAL vs. SAS",20,2,99,3203,388,1020,165,523,52,119,123,611,631,157,62,239,231,993,.380,.315,.437,32.4,10.0,6.2,6.4
Jordan Bell,"01/10/18, GSW vs. LAC",23,2,103,1311,174,296,0,5,44,65,94,322,157,50,91,74,146,392,.588,.000,.677,12.7,3.8,3.1,1.5
Khem Birch,"01/12/19, ORL vs. BOS",25,2,63,772,89,167,0,1,57,80,86,234,46,22,32,25,75,235,.533,.000,.713,12.3,3.7,3.7,0.7
Jabari Bird,"03/18/18, BOS @ NOP",23,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,.577,.429,.462,8.8,3.0,1.5,0.6
Antonio Blakeney,"01/11/19, CHI @ GSW",21,2,59,892,173,427,47,122,68,95,10,98,42,17,9,36,45,461,.405,.385,.716,15.1,7.8,1.7,0.7
Bogdan Bogdanovic,"01/1/19, SAC vs. POR",25,2,118,3294,566,1292,207,554,181,218,49,365,422,111,23,198,250,1520,.438,.374,.830,27.9,12.9,3.1,3.6
Chris Boucher,"01/11/19, TOR vs. BRK",25,2,17,90,21,47,9,24,11,13,11,29,0,3,16,2,16,62,.447,.375,.846,5.3,3.6,1.7,0.0
Tony Bradley,"03/7/18, UTA @ IND",20,2,10,38,3,14,0,1,2,2,6,14,1,0,0,1,2,8,.214,.000,1.000,3.8,0.8,1.4,0.1
Dillon Brooks,"01/10/18, MEM vs. NOP",22,2,100,2680,389,894,109,304,146,196,58,288,151,83,21,143,283,1033,.435,.359,.745,26.8,10.3,2.9,1.5
Sterling Brown,"01/1/19, MIL vs. DET",22,2,94,1413,168,392,69,189,36,43,48,258,76,46,18,52,136,441,.429,.365,.837,15.0,4.7,2.7,0.8
Thomas Bryant,"01/11/19, WAS vs. MIL",20,2,57,873,167,265,15,46,62,79,60,254,50,16,33,34,69,411,.630,.326,.785,15.3,7.2,4.5,0.9
Alex Caruso,"01/1/18, LAL @ MIN",23,2,42,582,52,120,14,44,22,34,16,66,76,23,12,42,55,140,.433,.318,.647,13.9,3.3,1.6,1.8
Tyler Cavanaugh,"01/10/18, ATL @ DEN",23,2,46,535,69,158,32,92,19,23,46,131,27,9,4,15,61,189,.437,.348,.826,11.6,4.1,2.8,0.6
Gian Clavell,"10/20/17, DAL vs. SAC",24,1,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20,.333,.400,1.000,9.1,2.9,1.0,0.4
Antonius Cleveland,"04/10/18, ATL vs. PHI",23,1,17,123,8,21,3,4,4,6,3,14,2,7,5,7,23,23,.381,.750,.667,7.2,1.4,0.8,0.1
John Collins,"01/10/18, ATL @ DEN",20,2,110,2866,599,1031,50,139,239,331,312,899,177,58,94,183,335,1487,.581,.360,.722,26.1,13.5,8.2,1.6
Zach Collins,"01/1/18, POR @ CHI",20,2,118,2014,252,575,65,199,94,126,119,446,104,36,73,111,268,663,.438,.327,.746,17.1,5.6,3.8,0.9
