Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Kyle Collinsworth,"01/16/18, DAL @ DEN",26,1,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101,.384,.235,.525,15.0,3.2,3.3,1.8
Charles Cooke,"02/12/18, NOP @ DET",23,1,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6,.143,.125,.500,2.9,0.5,0.2,0.1
Matt Costello,"01/11/18, SAS @ LAL",24,1,4,32,2,4,0,0,0,0,1,9,2,2,2,1,7,4,.500,,,8.0,1.0,2.3,0.5
Torrey Craig,"01/1/19, DEN vs. NYK",27,2,86,1708,177,396,55,187,54,85,110,323,73,39,45,58,180,463,.447,.294,.635,19.9,5.4,3.8,0.8
Tyler Dorsey,"01/10/18, ATL @ DEN",21,2,83,1225,176,471,82,238,61,89,26,173,96,24,6,47,83,495,.374,.345,.685,14.8,6.0,2.1,1.2
Damyean Dotson,"01/1/19, NYK @ DEN",23,2,87,1548,225,512,84,232,50,72,33,235,88,50,7,48,112,584,.439,.362,.694,17.8,6.7,2.7,1.0
Milton Doyle,"01/10/18, BRK vs. DET",24,1,10,125,13,47,4,23,4,8,3,18,10,6,2,2,13,34,.277,.174,.500,12.5,3.4,1.8,1.0
PJ Dozier,"01/2/19, BOS vs. MIN",21,2,6,13,4,8,1,2,0,0,2,5,0,0,0,1,2,9,.500,.500,,2.2,1.5,0.8,0.0
Jawun Evans,"01/10/18, LAC @ GSW",21,2,53,828,91,263,15,56,38,49,10,94,109,39,6,48,104,235,.346,.268,.776,15.6,4.4,1.8,2.1
Terrance Ferguson,"01/10/18, OKC @ MIN",19,2,105,1803,174,408,99,272,25,35,40,128,51,49,21,36,212,472,.426,.364,.714,17.2,4.5,1.2,0.5
De'Aaron Fox,"01/1/19, SAC vs. POR",20,2,124,3633,646,1488,102,304,341,468,64,391,687,158,46,329,296,1735,.434,.336,.729,29.3,14.0,3.2,5.5
Markelle Fultz,"03/26/18, PHI vs. DEN",19,2,33,680,110,266,4,15,31,58,37,113,112,29,9,42,74,255,.414,.267,.534,20.6,7.7,3.4,3.4
Josh Gray,"02/10/18, PHO vs. DEN",24,1,5,86,11,41,3,13,7,11,2,10,12,8,2,7,8,32,.268,.231,.636,17.2,6.4,2.0,2.4
Daniel Hamilton,"01/11/19, ATL @ PHI",22,2,25,232,28,71,10,28,3,6,10,52,30,7,1,18,21,69,.394,.357,.500,9.3,2.8,2.1,1.2
Shaquille Harrison,"01/11/19, CHI @ GSW",24,2,67,1151,148,346,22,84,74,112,24,176,126,77,23,54,113,392,.428,.262,.661,17.2,5.9,2.6,1.9
Josh Hart,"01/1/18, LAL @ MIN",22,2,116,2878,340,776,159,435,115,166,71,475,160,103,50,100,229,954,.438,.366,.693,24.8,8.2,4.1,1.4
Nigel Hayes,"01/21/18, LAL vs. NYK",23,1,9,122,11,33,4,16,1,3,4,22,6,2,3,2,8,27,.333,.250,.333,13.6,3.0,2.4,0.7
Reggie Hearn,"02/5/18, DET vs. POR",26,1,3,7,1,2,1,2,0,0,0,0,0,0,0,0,0,3,.500,.500,,2.3,1.0,0.0,0.0
Myke Henry,"01/20/18, MEM @ NOP",25,1,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,.376,.328,.600,18.9,5.4,1.9,1.1
Isaiah Hicks,"02/12/18, NYK @ PHI",23,1,18,240,33,72,2,9,12,18,10,41,16,2,4,16,45,80,.458,.222,.667,13.3,4.4,2.3,0.9
John Holland,"02/11/18, CLE @ BOS",29,2,25,175,17,59,11,36,9,13,6,24,5,7,2,8,10,54,.288,.306,.692,7.0,2.2,1.0,0.2
Vince Hunter,"12/1/17, MEM vs. SAS",23,1,4,7,3,5,0,0,0,0,2,3,0,0,1,1,0,6,.600,,,1.8,1.5,0.8,0.0
Andre Ingram,"04/10/18, LAL vs. HOU",32,1,2,64,8,17,5,9,3,3,1,6,7,3,3,3,3,24,.471,.556,1.000,32.0,12.0,3.0,3.5
Jonathan Isaac,"01/12/19, ORL vs. BOS",20,2,74,1743,194,486,52,178,94,114,72,350,68,71,85,78,143,534,.399,.292,.825,23.6,7.2,4.7,0.9
Wesley Iwundu,"01/1/18, ORL @ BRK",23,2,101,1674,156,377,22,86,81,105,53,225,88,49,22,54,151,415,.414,.256,.771,16.6,4.1,2.2,0.9
Aaron Jackson,"04/11/18, HOU @ SAC",31,1,1,35,3,9,1,4,1,2,2,3,1,0,0,1,4,8,.333,.250,.500,35.0,8.0,3.0,1.0
Josh Jackson,"01/12/19, PHO vs. DEN",20,2,131,3229,603,1455,98,355,269,419,136,579,241,132,71,269,357,1573,.414,.276,.642,24.6,12.0,4.4,1.8
Justin Jackson,"01/1/19, SAC vs. POR",22,2,119,2581,310,712,112,343,67,86,52,332,142,51,26,62,148,799,.435,.327,.779,21.7,6.7,2.8,1.2
Mike James,"01/30/18, NOP vs. SAC",27,1,36,687,123,321,26,98,64,84,13,90,126,28,7,49,48,336,.383,.265,.762,19.1,9.3,2.5,3.5
Dakari Johnson,"01/10/18, OKC @ MIN",22,1,31,161,22,39,0,0,11,20,16,34,8,6,8,3,27,55,.564,,.550,5.2,1.8,1.1,0.3
Omari Johnson,"04/11/18, MEM @ OKC",28,1,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,.429,.333,,18.8,5.5,2.8,1.8
Jalen Jones,"01/11/19, CLE @ HOU",24,2,32,395,52,130,20,54,31,46,24,72,11,14,3,15,49,155,.400,.370,.674,12.3,4.8,2.3,0.3
Luke Kennard,"01/1/19, DET @ MIL",21,2,106,2128,308,708,124,315,84,102,26,268,166,57,19,97,129,824,.435,.394,.824,20.1,7.8,2.5,1.6
Maxi Kleber,"01/10/18, DAL @ CHO",26,2,119,2106,254,541,86,265,83,108,126,424,86,51,105,60,200,677,.470,.325,.769,17.7,5.7,3.6,0.7
Furkan Korkmaz,"01/1/19, PHI @ LAC",20,2,56,675,94,244,49,148,31,40,15,107,51,28,3,25,65,268,.385,.331,.775,12.1,4.8,1.9,0.9
Luke Kornet,"01/1/19, NYK @ DEN",22,2,45,712,110,267,68,173,27,34,26,128,58,20,31,26,47,315,.412,.393,.794,15.8,7.0,2.8,1.3
Kyle Kuzma,"01/1/18, LAL @ MIN",22,2,126,4007,816,1789,250,731,279,380,130,766,261,82,52,243,271,2161,.456,.342,.734,31.8,17.2,6.1,2.1
T.J. Leaf,"01/10/18, IND vs. MIA",20,2,84,711,109,220,22,61,18,30,46,139,23,9,10,20,66,258,.495,.361,.600,8.5,3.1,1.7,0.3
Damion Lee,"01/28/19, GSW @ IND",25,2,32,606,92,215,29,93,33,42,15,103,32,27,1,22,44,246,.428,.312,.786,18.9,7.7,3.2,1.0
Walt Lemon,"02/23/18, NOP vs. MIA",25,1,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17,.438,1.000,.667,7.0,3.4,0.4,1.0
Tyler Lydon,"01/10/19, DEN vs. LAC",21,2,21,81,8,16,4,10,1,3,5,14,4,2,0,4,9,21,.500,.400,.333,3.9,1.0,0.7,0.2
Josh Magette,"01/20/18, ATL vs. CHI",28,1,18,216,15,46,8,22,8,8,2,19,57,8,1,9,16,46,.326,.364,1.000,12.0,2.6,1.1,3.2
Lauri Markkanen,"01/1/18, CHI vs. POR",20,2,98,2967,562,1299,219,595,215,253,112,749,109,63,63,130,170,1558,.433,.368,.850,30.3,15.9,7.6,1.1
Frank Mason,"01/10/19, SAC vs. DET",23,2,85,1367,199,516,40,132,127,163,34,166,228,50,14,94,98,565,.386,.303,.779,16.1,6.6,2.0,2.7
Mangok Mathiang,"03/22/18, CHO vs. MEM",25,1,4,20,4,7,0,0,0,1,3,10,0,1,0,0,5,8,.571,,.000,5.0,2.0,2.5,0.0
Erik McCree,"02/5/18, UTA @ NOP",24,1,4,8,0,2,0,1,0,0,0,1,0,1,0,1,0,0,.000,.000,,2.0,0.0,0.3,0.0
Trey McKinney-Jones,"02/23/18, IND vs. ATL",27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
Alfonzo McKinnie,"01/11/19, GSW vs. CHI",25,2,57,687,99,204,31,88,17,32,57,168,17,11,11,23,91,246,.485,.352,.531,12.1,4.3,2.9,0.3
Malcolm Miller,"01/11/18, TOR vs. CLE",24,1,15,126,13,28,8,21,4,4,4,15,3,1,2,5,10,38,.464,.381,1.000,8.4,2.5,1.0,0.2
Donovan Mitchell,"01/1/19, UTA @ TOR",21,2,129,4296,1003,2330,296,886,434,542,86,488,493,195,45,354,347,2736,.430,.334,.801,33.3,21.2,3.8,3.8
Naz Mitrou-Long,"01/11/19, UTA vs. LAL",24,2,11,40,3,9,2,7,0,0,0,2,4,0,0,3,5,8,.333,.286,,3.6,0.7,0.2,0.4
Malik Monk,"01/10/18, CHO vs. DAL",19,2,112,1773,332,871,166,483,108,122,17,153,183,47,22,115,131,938,.381,.344,.885,15.8,8.4,1.4,1.6
Ben Moore,"01/24/18, IND vs. PHO",22,1,2,9,0,0,0,0,0,0,0,1,1,0,0,0,4,0,,,,4.5,0.0,0.5,0.5
Jaylen Morris,"02/28/18, ATL vs. IND",22,2,10,127,17,42,3,13,1,2,2,21,11,4,1,7,3,38,.405,.231,.500,12.7,3.8,2.1,1.1
Monte Morris,"01/1/19, DEN vs. NYK",22,2,55,1322,226,460,64,145,40,50,23,140,212,52,2,36,61,556,.491,.441,.800,24.0,10.1,2.5,3.9
Johnathan Motley,"01/10/19, LAC @ DEN",22,2,24,265,63,122,1,8,31,54,27,77,12,6,4,19,32,158,.516,.125,.574,11.0,6.6,3.2,0.5
Abdel Nader,"01/10/19, OKC @ SAS",24,2,81,841,100,257,38,106,35,54,19,129,35,22,12,47,80,273,.389,.358,.648,10.4,3.4,1.6,0.4
Frank Ntilikina,"01/1/19, NYK @ DEN",19,2,119,2578,276,775,82,267,70,96,47,259,366,95,32,185,281,704,.356,.307,.729,21.7,5.9,2.2,3.1
Royce O'Neale,"01/1/19, UTA @ TOR",24,2,123,2137,216,492,79,213,85,109,42,415,166,72,32,103,208,596,.439,.371,.780,17.4,4.8,3.4,1.3
Semi Ojeleye,"01/10/19, BOS @ MIA",23,2,111,1542,112,300,59,190,39,61,53,220,32,27,6,37,118,322,.373,.311,.639,13.9,2.9,2.0,0.3
Cedi Osman,"01/11/18, CLE @ TOR",22,2,112,2280,324,738,110,328,123,174,48,356,156,61,12,117,211,881,.439,.335,.707,20.4,7.9,3.2,1.4
Marcus Paige,"03/22/18, CHO vs. MEM",24,1,5,28,4,14,2,8,2,2,0,4,3,0,0,0,0,12,.286,.250,1.000,5.6,2.4,0.8,0.6
Justin Patton,"04/1/18, MIN vs. UTA",20,1,1,4,1,2,0,0,0,0,0,0,0,1,0,0,1,2,.500,,,4.0,2.0,0.0,0.0
Brandon Paul,"01/11/18, SAS @ LAL",26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147,.433,.278,.512,9.0,2.3,1.1,0.6
London Perrantes,"02/9/18, CLE @ ATL",23,1,14,66,2,13,0,3,3,5,1,4,5,2,1,1,6,7,.154,.000,.600,4.7,0.5,0.3,0.4
Alec Peters,"01/12/18, PHO vs. HOU",22,1,20,225,28,74,18,58,8,10,8,37,12,2,2,4,13,82,.378,.310,.800,11.3,4.1,1.9,0.6
Jacob Pullen,"11/20/17, PHI vs. UTA",28,1,3,6,1,2,0,1,0,0,0,0,0,0,0,1,0,2,.500,.000,,2.0,0.7,0.0,0.0
Rodney Purvis,"03/10/18, ORL @ LAC",23,1,16,290,35,107,13,52,13,15,1,27,17,3,3,10,26,96,.327,.250,.867,18.1,6.0,1.7,1.1
Zhou Qi,"03/25/18, HOU vs. ATL",22,2,19,125,7,33,2,19,8,12,6,22,2,2,14,10,14,24,.212,.105,.667,6.6,1.3,1.2,0.1
Ivan Rabb,"01/14/19, MEM @ HOU",20,2,60,724,125,219,0,2,45,60,78,227,47,14,17,52,79,295,.571,.000,.750,12.1,4.9,3.8,0.8
Xavier Rathan-Mayes,"03/10/18, MEM @ DAL",23,1,5,118,12,42,1,14,4,9,0,5,18,6,3,11,18,29,.286,.071,.444,23.6,5.8,1.0,3.6
Davon Reed,"01/14/18, PHO vs. IND",22,2,27,257,23,79,12,39,8,12,2,40,15,10,2,11,18,66,.291,.308,.667,9.5,2.4,1.5,0.6
Devin Robinson,"01/8/19, WAS @ PHI",22,2,5,45,9,16,0,0,3,6,4,12,2,4,1,0,4,21,.563,,.500,9.0,4.2,2.4,0.4
Ben Simmons,"01/1/19, PHI @ LAC",21,2,133,4484,900,1617,0,12,360,629,263,1149,1080,208,110,457,342,2160,.557,.000,.572,33.7,16.2,8.6,8.1
Kobi Simmons,"01/2/18, MEM @ LAC",20,2,33,645,80,189,11,39,25,25,14,50,68,18,5,44,61,196,.423,.282,1.000,19.5,5.9,1.5,2.1
Dennis Smith,"01/10/18, DAL @ CHO",20,2,102,2983,564,1390,149,467,193,279,68,360,502,112,30,296,237,1470,.406,.319,.692,29.2,14.4,3.5,4.9
Edmond Sumner,"01/11/19, IND @ NYK",22,2,14,107,9,33,1,13,3,7,5,17,5,6,3,6,17,22,.273,.077,.429,7.6,1.6,1.2,0.4
Caleb Swanigan,"01/24/19, POR @ PHO",20,2,45,334,38,104,2,13,18,25,28,106,21,9,3,34,59,96,.365,.154,.720,7.4,2.1,2.4,0.5
Jayson Tatum,"01/10/19, BOS @ MIA",19,2,133,4077,715,1540,190,470,346,414,102,728,226,136,101,191,282,1966,.464,.404,.836,30.7,14.8,5.5,1.7
Milos Teodosic,"01/11/18, LAC @ SAC",30,2,60,1284,168,400,98,259,43,53,19,142,241,26,6,118,130,477,.420,.378,.811,21.4,8.0,2.4,4.0
Daniel Theis,"01/10/19, BOS @ MIA",25,2,102,1518,221,406,36,101,104,139,149,430,98,43,71,77,262,582,.544,.356,.748,14.9,5.7,4.2,1.0
Sindarius Thornwell,"01/1/19, LAC vs. PHI",23,2,109,1345,113,266,25,72,74,109,35,169,78,53,27,67,154,325,.425,.347,.679,12.3,3.0,1.6,0.7
Tyrone Wallace,"01/1/19, LAC vs. PHI",23,2,71,1260,174,396,12,54,80,117,37,169,93,43,20,64,137,440,.439,.222,.684,17.7,6.2,2.4,1.3
Derrick Walton,"01/20/18, MIA @ CHO",22,1,16,147,8,25,7,17,6,6,2,16,16,7,3,2,7,29,.320,.412,1.000,9.2,1.8,1.0,1.0
Jameel Warney,"03/11/18, DAL vs. HOU",24,1,3,27,7,12,0,0,3,5,4,9,0,0,0,1,2,17,.583,,.600,9.0,5.7,3.0,0.0
James Webb,"01/27/18, BRK @ MIN",24,1,10,120,6,24,4,19,0,0,8,24,4,1,0,4,10,16,.250,.211,,12.0,1.6,2.4,0.4
Andrew White,"02/14/18, ATL @ DET",24,1,15,209,25,73,18,49,1,4,4,34,6,3,1,8,12,69,.342,.367,.250,13.9,4.6,2.3,0.4
Derrick White,"01/10/19, SAS vs. OKC",23,2,62,1277,183,367,39,100,81,107,27,180,172,49,26,73,103,486,.499,.390,.757,20.6,7.8,2.9,2.8
Jacob Wiley,"10/29/17, BRK vs. DEN",23,1,5,33,1,4,1,2,1,2,2,11,2,1,0,0,4,4,.250,.500,.500,6.6,0.8,2.2,0.4
C.J. Williams,"01/10/18, LAC @ GSW",27,2,46,772,94,213,23,85,13,16,13,60,48,32,13,24,74,224,.441,.271,.813,16.8,4.9,1.3,1.0
Matt Williams,"12/23/17, MIA vs. NOP",24,1,3,11,2,6,1,5,0,0,0,1,0,0,0,1,1,5,.333,.200,,3.7,1.7,0.3,0.0
D.J. Wilson,"01/1/19, MIL vs. DET",21,2,45,488,64,128,26,58,10,22,22,116,25,13,16,15,54,164,.500,.448,.455,10.8,3.6,2.6,0.6
Jamil Wilson,"11/20/17, LAC @ NYK",27,1,15,274,38,81,27,63,2,4,3,32,10,5,8,8,34,105,.469,.429,.500,18.3,7.0,2.1,0.7
Guerschon Yabusele,"01/10/19, BOS @ MIA",22,2,62,399,47,108,16,54,24,34,32,85,28,11,12,23,50,134,.435,.296,.706,6.4,2.2,1.4,0.5
Ante Zizic,"01/11/19, CLE @ HOU",21,2,69,799,149,257,0,0,74,102,84,245,29,11,27,43,94,372,.580,,.725,11.6,5.4,3.6,0.4
