Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Robert Archibald,22,2,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,.283,,.429,7.5,1.2,1.6,0.4
Maceo Baston,27,4,105,831,106,172,3,8,71,96,56,175,26,24,43,54,140,286,.616,.375,.740,7.9,2.7,1.7,0.2
Mike Batiste,25,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7
Lonny Baxter,24,4,162,1884,247,530,1,5,142,216,178,477,40,37,59,108,324,637,.466,.200,.657,11.6,3.9,2.9,0.2
Carlos Boozer,21,13,861,26901,5847,11221,1,14,2281,3158,2037,8192,1928,765,346,1824,2612,13976,.521,.071,.722,31.2,16.2,9.5,2.2
J.R. Bremer,22,2,100,1946,214,622,120,360,98,131,27,181,215,56,7,83,112,646,.344,.333,.748,19.5,6.5,1.8,2.2
Devin Brown,24,8,465,9022,1174,2927,300,888,704,907,336,1288,679,263,58,505,747,3352,.401,.338,.776,19.4,7.2,2.8,1.5
Pat Burke,29,3,127,1293,199,488,9,36,61,92,90,266,44,28,40,87,180,468,.408,.250,.663,10.2,3.7,2.1,0.3
Caron Butler,22,14,881,28333,4596,10592,746,2144,2492,2942,1103,4387,2007,1163,216,1594,2129,12430,.434,.348,.847,32.2,14.1,5.0,2.3
Rasual Butler,23,13,809,17219,2293,5686,911,2520,595,796,297,1934,658,288,408,528,1132,6092,.403,.362,.747,21.3,7.5,2.4,0.8
Dan Dickau,24,6,300,4617,608,1517,179,525,350,421,75,405,752,164,11,324,514,1745,.401,.341,.831,15.4,5.8,1.4,2.5
Juan Dixon,24,7,436,8509,1400,3393,331,972,547,657,155,816,775,341,34,552,733,3678,.413,.341,.833,19.5,8.4,1.9,1.8
Mike Dunleavy,22,15,986,27340,3935,8926,1304,3460,1874,2333,698,4211,2185,719,324,1369,1986,11048,.441,.377,.803,27.7,11.2,4.3,2.2
Melvin Ely,24,9,375,6005,783,1702,0,3,426,682,448,1215,261,99,209,392,765,1992,.460,.000,.625,16.0,5.3,3.2,0.7
Reggie Evans,22,13,809,15572,1107,2379,1,11,1074,2036,1984,5765,458,566,115,897,1895,3289,.465,.091,.528,19.2,4.1,7.1,0.6
Dan Gadzuric,24,10,527,7793,1049,2100,0,8,367,737,910,2326,196,242,448,357,1250,2465,.500,.000,.498,14.8,4.7,4.4,0.4
Manu Ginobili,25,16,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043,.447,.369,.827,25.4,13.3,3.5,3.8
Gordan Giricek,25,6,384,8824,1424,3225,289,786,533,648,167,941,584,222,47,517,749,3670,.442,.368,.823,23.0,9.6,2.5,1.5
Drew Gooden,21,14,790,20127,3432,7435,88,342,1701,2239,1878,5618,896,544,474,1158,1957,8653,.462,.257,.760,25.5,11.0,7.1,1.1
Marcus Haislip,22,4,89,854,125,286,7,20,54,82,51,131,16,15,34,39,100,311,.437,.350,.659,9.6,3.5,1.5,0.2
Adam Harrington,22,1,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,.297,.357,.750,5.8,1.6,0.4,0.6
Junior Harrington,22,3,140,3096,290,782,20,73,133,193,69,381,428,126,25,250,401,733,.371,.274,.689,22.1,5.2,2.7,3.1
Juaquin Hawkins,29,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,.385,.417,.500,11.8,2.3,1.3,0.8
Nene Hilario,20,16,923,24691,4115,7505,7,50,2521,3817,1654,5705,1693,1023,706,1677,2847,10758,.548,.140,.660,26.8,11.7,6.2,1.8
Nate Huffman,27,1,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,.360,,.625,10.9,3.3,3.3,0.7
Ryan Humphrey,23,3,85,772,78,227,0,3,41,76,86,189,18,20,19,48,113,197,.344,.000,.539,9.1,2.3,2.2,0.2
Casey Jacobsen,21,4,287,5320,476,1210,209,594,327,425,118,516,304,121,24,210,372,1488,.393,.352,.769,18.5,5.2,1.8,1.1
Marko Jaric,24,7,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,.404,.344,.730,25.2,7.1,2.7,3.6
Chris Jefferies,22,2,72,861,102,266,35,96,42,63,21,88,29,23,23,64,92,281,.383,.365,.667,12.0,3.9,1.2,0.4
Jared Jeffries,21,11,629,13579,1163,2728,73,292,604,1036,1166,2563,798,435,323,674,1529,3003,.426,.250,.583,21.6,4.8,4.1,1.3
Ken Johnson,24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,,.333,9.8,2.0,2.0,0.0
Fred Jones,23,7,430,10299,1090,2651,346,979,680,841,157,958,990,336,115,511,831,3206,.411,.353,.809,24.0,7.5,2.2,2.3
Sean Lampley,23,2,45,550,69,149,0,4,65,94,28,94,33,7,4,28,45,203,.463,.000,.691,12.2,4.5,2.1,0.7
Tito Maddox,21,1,9,35,3,12,0,3,5,8,1,7,5,3,1,3,4,11,.250,.000,.625,3.9,1.2,0.8,0.6
Roger Mason,22,10,518,9147,1196,2933,594,1549,303,350,78,897,677,189,75,370,709,3289,.408,.383,.866,17.7,6.3,1.7,1.3
Yao Ming,22,8,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,.524,.200,.833,32.5,19.0,9.2,1.6
Ronald Murray,23,8,487,11077,1806,4360,328,1079,877,1210,192,1006,1096,404,100,742,795,4817,.414,.304,.725,22.7,9.9,2.1,2.3
Bostjan Nachbar,22,6,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,.406,.375,.784,17.8,7.1,2.6,0.9
Mehmet Okur,23,10,634,18429,3028,6615,596,1590,1909,2396,1261,4436,1089,329,453,991,1815,8561,.458,.375,.797,29.1,13.5,7.0,1.7
Chris Owens,23,1,1,6,2,3,0,0,0,0,1,1,0,0,0,1,0,4,.667,,,6.0,4.0,1.0,0.0
Jannero Pargo,23,11,499,7449,1228,3140,400,1124,319,369,112,701,986,250,28,560,648,3175,.391,.356,.864,14.9,6.4,1.4,2.0
Smush Parker,21,5,274,7069,908,2129,289,838,364,514,119,659,791,336,44,496,606,2469,.426,.345,.708,25.8,9.0,2.4,2.9
Tayshaun Prince,22,14,1017,31576,4583,10082,569,1550,1537,2033,1125,4332,2406,571,500,1064,1251,11272,.455,.367,.756,31.0,11.1,4.3,2.4
Igor Rakocevic,24,1,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,.379,.417,.806,5.8,1.9,0.4,0.8
Efthimi Rentzias,27,1,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,.339,.500,.889,4.1,1.5,0.7,0.2
Antoine Rigaudeau,31,1,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,.229,.200,,8.3,1.5,0.7,0.5
Guy Rucker,25,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,1.3,0.0,0.3,0.3
Kareem Rush,22,7,346,5956,876,2189,288,805,173,246,104,572,353,150,74,298,459,2213,.400,.358,.703,17.2,6.4,1.7,1.0
John Salmons,23,13,895,23672,3007,6979,726,1986,1552,1942,435,2603,2183,756,239,1185,1667,8292,.431,.366,.799,26.4,9.3,2.9,2.4
Jamal Sampson,19,5,72,631,53,108,0,1,36,67,80,242,26,9,32,33,91,142,.491,.000,.537,8.8,2.0,3.4,0.4
Predrag Savovic,26,1,27,256,29,93,4,26,21,29,9,25,22,14,1,21,33,83,.312,.154,.724,9.5,3.1,0.9,0.8
Paul Shirley,25,3,18,121,15,38,0,1,3,7,9,19,7,1,1,10,12,33,.395,.000,.429,6.7,1.8,1.1,0.4
Tamar Slay,22,3,66,517,73,202,13,49,14,26,24,70,31,26,4,39,71,173,.361,.265,.538,7.8,2.6,1.1,0.5
Amar'e Stoudemire,20,14,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,.537,.236,.761,31.0,18.9,7.8,1.2
Cezary Trybanski,23,2,22,101,5,24,0,0,5,12,6,15,1,1,7,10,16,15,.208,,.417,4.6,0.7,0.7,0.0
Nikoloz Tskitishvili,19,4,172,1946,190,626,43,183,84,115,109,307,114,46,50,126,227,507,.304,.235,.730,11.3,2.9,1.8,0.7
Dajuan Wagner,19,4,103,2202,354,967,92,287,164,213,29,142,195,69,14,136,212,964,.366,.321,.770,21.4,9.4,1.4,1.9
Jiri Welsch,23,4,247,4596,516,1280,118,344,369,491,120,602,375,187,15,262,394,1519,.403,.343,.752,18.6,6.1,2.4,1.5
Chris Wilcox,20,11,628,12474,2101,3884,0,18,948,1474,970,3076,455,322,246,705,1517,5150,.541,.000,.643,19.9,8.2,4.9,0.7
Mike Wilks,23,7,233,2240,217,540,34,106,123,166,57,228,271,82,10,117,215,591,.402,.321,.741,9.6,2.5,1.0,1.2
Frank Williams,22,3,86,952,92,261,24,80,45,54,13,77,166,34,11,83,87,253,.352,.300,.833,11.1,2.9,0.9,1.9
Jay Williams,21,1,75,1961,273,685,65,202,103,161,27,195,350,86,17,171,179,714,.399,.322,.640,26.1,9.5,2.6,4.7
Qyntel Woods,21,4,167,2060,281,621,35,98,94,156,107,385,105,71,28,138,226,691,.452,.357,.603,12.3,4.1,2.3,0.6
Vincent Yarbrough,21,1,59,1381,168,428,21,78,49,62,36,162,130,57,33,81,145,406,.393,.269,.790,23.4,6.9,2.7,2.2
