Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Zendon Hamilton,25,6,134,1560,176,400,0,0,233,353,184,464,33,39,28,108,215,585,.440,,.660,11.6,4.4,3.5,0.2
Jason Hart,22,9,341,5289,614,1473,64,203,331,420,76,567,774,253,34,275,528,1623,.417,.315,.788,15.5,4.8,1.7,2.3
Donnell Harvey,20,5,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,.460,.100,.659,16.2,5.6,4.0,0.8
Eddie House,22,11,717,12405,2078,5077,817,2096,383,450,164,1223,1112,470,58,569,927,5356,.409,.390,.851,17.3,7.5,1.7,1.6
Marc Jackson,26,7,387,7572,1194,2680,7,31,843,1036,630,1655,311,147,102,467,775,3238,.446,.226,.814,19.6,8.4,4.3,0.8
Stephen Jackson,22,14,858,27398,4604,11112,1252,3763,2516,3154,674,3328,2634,1109,317,2141,2043,12976,.414,.333,.798,31.9,15.1,3.9,3.1
DerMarr Johnson,20,7,344,5930,770,1872,274,815,307,389,192,769,304,198,149,349,598,2121,.411,.336,.789,17.2,6.2,2.2,0.9
Garth Joseph,27,1,4,16,1,5,0,0,0,2,2,2,1,0,1,2,1,2,.200,,.000,4.0,0.5,0.5,0.3
Dan Langhi,23,4,133,1253,172,440,11,38,38,62,54,199,39,30,12,35,106,393,.391,.289,.613,9.4,3.0,1.5,0.3
Art Long,28,3,98,1220,148,323,2,3,47,97,130,319,48,27,42,85,220,345,.458,.667,.485,12.4,3.5,3.3,0.5
Mark Madsen,25,9,453,5335,381,834,1,16,212,402,559,1157,181,116,102,206,866,975,.457,.063,.527,11.8,2.2,2.6,0.4
Jamaal Magloire,22,12,680,14621,1763,3675,0,7,1391,2176,1418,4408,386,224,603,998,1792,4917,.480,.000,.639,21.5,7.2,6.5,0.6
Kenyon Martin,23,15,757,23134,3875,8031,66,282,1509,2398,1312,5159,1439,893,864,1318,2498,9325,.483,.234,.629,30.6,12.3,6.8,1.9
Desmond Mason,23,10,643,19641,2931,6535,66,254,1839,2485,804,2863,1049,441,230,1032,1432,7767,.449,.260,.740,30.5,12.1,4.5,1.6
Dan McClintock,23,1,6,58,9,18,0,0,0,5,10,17,1,0,2,3,11,18,.500,,.000,9.7,3.0,2.8,0.2
Paul McPherson,22,1,55,595,109,216,2,12,42,58,40,79,38,25,4,47,80,262,.505,.167,.724,10.8,4.8,1.4,0.7
Stanislav Medvedenko,21,7,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,.450,.154,.740,12.7,5.3,2.8,0.5
Chris Mihm,21,8,436,8758,1253,2731,3,13,753,1069,865,2302,223,128,444,535,1264,3262,.459,.231,.704,20.1,7.5,5.3,0.5
Darius Miles,19,7,446,11730,1874,3973,22,131,737,1250,575,2190,840,384,495,892,1023,4507,.472,.168,.590,26.3,10.1,4.9,1.9
Mike Miller,20,17,1032,27812,4016,8747,1590,3910,1351,1757,632,4376,2666,573,229,1561,2043,10973,.459,.407,.769,26.9,10.6,4.2,2.6
Jerome Moiso,22,5,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,.489,.000,.593,9.6,2.7,2.7,0.3
Hanno Mottola,24,2,155,2360,292,661,1,16,130,166,130,442,75,31,28,137,337,715,.442,.063,.783,15.2,4.6,2.9,0.5
Mamadou N'Diaye,25,5,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,.427,.000,.736,12.4,3.8,3.3,0.1
Lee Nailon,25,6,306,5820,1121,2366,1,9,379,482,379,936,298,133,53,320,596,2622,.474,.111,.786,19.0,8.6,3.1,1.0
Eduardo Najera,24,12,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,.481,.311,.671,18.1,4.9,3.7,0.8
Ira Newble,26,8,380,7645,782,1753,85,249,281,361,403,1114,342,204,105,289,695,1930,.446,.341,.778,20.1,5.1,2.9,0.9
Olumide Oyedeji,19,3,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,.495,,.659,6.3,1.4,2.1,0.1
Andy Panko,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
Mike Penberthy,26,2,56,863,93,224,55,139,31,35,10,65,73,24,2,34,57,272,.415,.396,.886,15.4,4.9,1.2,1.3
Morris Peterson,23,11,711,19366,2747,6567,1009,2702,1125,1456,569,2483,1090,639,136,716,1606,7628,.418,.373,.773,27.2,10.7,3.5,1.5
Chris Porter,22,1,51,1147,173,445,0,5,94,141,89,189,61,45,6,59,111,440,.389,.000,.667,22.5,8.6,3.7,1.2
Lavor Postell,22,3,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,.335,.250,.795,7.3,3.2,0.7,0.2
Joel Przybilla,21,13,592,11733,896,1624,0,3,501,900,1112,3665,256,157,836,574,1604,2293,.552,.000,.557,19.8,3.9,6.2,0.4
Michael Redd,21,12,629,20104,4207,9405,1045,2751,2513,2998,622,2411,1338,579,66,963,1002,11972,.447,.380,.838,32.0,19.0,3.8,2.1
Quentin Richardson,20,13,783,20785,2923,7360,1167,3288,1019,1420,933,3666,1138,607,148,868,1529,8032,.397,.355,.718,26.5,10.3,4.7,1.5
Terrance Roberson,24,1,3,13,0,2,0,1,0,0,0,1,1,0,0,2,3,0,.000,.000,,4.3,0.0,0.3,0.3
Jamal Robinson,27,1,6,72,3,22,0,2,0,0,3,11,2,6,0,3,7,6,.136,.000,,12.0,1.0,1.8,0.3
Soumaila Samake,22,2,47,303,28,72,0,0,12,26,32,76,5,2,19,6,36,68,.389,,.462,6.4,1.4,1.6,0.1
Pepe Sanchez,23,2,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,.273,.000,1.000,4.9,0.5,0.6,1.3
Daniel Santiago,24,4,122,1418,153,326,0,0,111,162,76,260,38,39,47,85,231,417,.469,,.685,11.6,3.4,2.1,0.3
Jabari Smith,23,4,108,1063,125,303,1,8,78,113,49,178,66,37,26,54,166,329,.413,.125,.690,9.8,3.0,1.6,0.6
Mike Smith,24,1,17,180,19,59,3,18,10,16,10,22,10,5,3,7,8,51,.322,.167,.625,10.6,3.0,1.3,0.6
DeShawn Stevenson,19,13,824,18396,2238,5515,550,1617,904,1296,410,1832,1355,423,134,814,1140,5930,.406,.340,.698,22.3,7.2,2.2,1.6
Stromile Swift,21,9,547,10804,1713,3623,2,27,1154,1650,885,2535,275,354,683,690,1357,4582,.473,.074,.699,19.8,8.4,4.6,0.5
Dragan Tarlac,27,1,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,.394,,.758,13.9,2.4,2.8,0.7
Jake Tsakalidis,21,7,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,.490,.000,.657,15.9,4.8,3.9,0.3
Hedo Turkoglu,21,15,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,.426,.384,.784,26.8,11.1,4.0,2.8
David Vanterpool,27,1,22,411,46,110,0,6,30,50,15,37,66,23,3,37,44,122,.418,.000,.600,18.7,5.5,1.7,3.0
Jake Voskuhl,23,9,450,6443,673,1381,1,3,467,654,562,1539,237,148,166,340,1166,1814,.487,.333,.714,14.3,4.0,3.4,0.5
Ruben Wolkowyski,27,2,41,329,27,83,0,3,26,38,12,47,4,6,18,13,41,80,.325,.000,.684,8.0,2.0,1.1,0.1
Wang Zhizhi,23,5,137,1256,213,511,70,182,108,147,56,231,39,25,35,68,155,604,.417,.385,.735,9.2,4.4,1.7,0.3
