Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Courtney Alexander,23,3,187,4067,655,1552,41,121,339,417,124,409,227,111,18,203,377,1690,.422,.339,.813,21.7,9.0,2.2,1.2
Dalibor Bagaric,20,3,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,.361,.000,.559,10.2,2.6,2.5,0.4
Erick Barkley,22,2,27,266,32,90,4,15,9,10,5,21,40,19,1,17,31,77,.356,.267,.900,9.9,2.9,0.8,1.5
Raja Bell,24,12,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,.434,.406,.799,28.1,9.9,2.8,1.7
Mark Blount,25,9,605,13981,2020,4011,37,103,864,1195,895,2784,513,327,508,933,1554,4941,.504,.359,.723,23.1,8.2,4.6,0.8
Brian Cardinal,23,12,456,6477,664,1628,243,653,537,624,286,1050,465,295,69,330,890,2108,.408,.372,.861,14.2,4.6,2.3,1.0
Mateen Cleaves,23,6,167,1863,233,599,12,45,131,180,33,175,310,67,5,201,213,609,.389,.267,.728,11.2,3.6,1.0,1.9
Jason Collier,23,5,151,2178,338,743,7,20,158,214,175,443,51,36,32,120,295,841,.455,.350,.738,14.4,5.6,2.9,0.3
Sean Colson,25,1,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,.250,.200,.500,3.4,1.2,0.5,0.8
Jamal Crawford,20,18,1262,37777,6576,16025,2153,6175,3601,4176,458,2863,4309,1146,259,2377,1932,18906,.410,.349,.862,29.9,15.0,2.3,3.4
Keyon Dooling,20,13,728,14134,1810,4356,446,1277,1001,1253,132,964,1601,463,75,803,1221,5067,.416,.349,.799,19.4,7.0,1.3,2.2
Khalid El-Amin,21,1,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,.370,.333,.778,18.7,6.3,1.6,2.9
Marcus Fizer,22,6,289,6032,1103,2536,21,110,555,803,375,1340,352,134,81,428,648,2782,.435,.191,.691,20.9,9.6,4.6,1.2
Ruben Garces,27,1,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,.318,,.250,5.6,1.2,2.2,0.4
Eddie Gill,22,7,187,2033,179,496,63,197,150,177,28,207,217,104,14,139,209,571,.361,.320,.847,10.9,3.1,1.1,1.2
Steve Goodrich,24,2,21,183,9,28,1,3,5,9,8,26,11,3,3,11,24,24,.321,.333,.556,8.7,1.1,1.2,0.5
A.J. Guyton,22,3,80,1246,166,440,73,193,37,45,22,80,147,20,12,62,58,442,.377,.378,.822,15.6,5.5,1.0,1.8
