Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Kyle Alexander,"Aug 6, '20, MIA @ MIL",23,1,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,.500,,,6.5,1.0,1.5,0.0
Nickeil Alexander-Walker,"Oct 22, '19, NOP @ TOR",21,1,47,591,98,266,46,133,25,37,9,84,89,17,8,54,57,267,.368,.346,.676,12.6,5.7,1.8,1.9
RJ Barrett,"Oct 23, '19, NYK @ SAS",19,1,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,.402,.320,.614,30.4,14.3,5.0,2.6
Darius Bazley,"Oct 23, '19, OKC @ UTA",19,1,61,1130,125,317,49,141,43,62,30,246,41,23,41,45,55,342,.394,.348,.694,18.5,5.6,4.0,0.7
Goga Bitadze,"Oct 26, '19, IND @ CLE",20,1,54,471,70,150,8,42,24,33,25,106,23,10,37,28,65,172,.467,.190,.727,8.7,3.2,2.0,0.4
Bol Bol,"Aug 1, '20, DEN vs. MIA",20,1,7,87,14,28,4,9,8,10,5,19,6,2,6,10,11,40,.500,.444,.800,12.4,5.7,2.7,0.9
Marques Bolden,"Feb 1, '20, CLE vs. GSW",21,1,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,,,,3.0,0.0,2.0,0.0
Jordan Bone,"Nov 4, '19, DET @ WAS",22,1,10,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12,.250,.200,,5.3,1.2,0.4,0.8
Brian Bowen,"Nov 12, '19, IND vs. OKC",21,1,6,31,3,10,0,2,0,0,1,7,0,0,1,1,3,6,.300,.000,,5.2,1.0,1.2,0.0
Ky Bowman,"Oct 24, '19, GSW vs. LAC",22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,.417,.308,.829,22.6,7.4,2.7,2.9
Jarrell Brantley,"Oct 25, '19, UTA @ LAL",23,1,9,96,10,28,3,13,1,2,2,20,11,3,5,7,7,24,.357,.231,.500,10.7,2.7,2.2,1.2
Ignas Brazdeikis,"Nov 3, '19, NYK vs. SAC",21,1,9,53,6,22,1,9,4,5,2,5,4,0,1,2,3,17,.273,.111,.800,5.9,1.9,0.6,0.4
Oshae Brissett,"Nov 18, '19, TOR vs. CHO",21,1,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,.361,.200,.800,7.1,1.9,1.4,0.4
Charlie Brown,"Nov 6, '19, ATL vs. CHI",22,1,10,40,6,19,3,9,5,5,2,4,2,2,2,3,3,20,.316,.333,1.000,4.0,2.0,0.4,0.2
Moses Brown,"Nov 10, '19, POR vs. ATL",20,1,9,33,4,10,0,0,3,8,3,14,1,1,1,3,7,11,.400,,.375,3.7,1.2,1.6,0.1
Devontae Cacok,"Aug 13, '20, LAL vs. SAC",23,1,1,9,3,6,0,0,0,0,2,5,1,0,0,0,0,6,.500,,,9.0,6.0,5.0,1.0
Vlatko Čančar,"Oct 31, '19, DEN @ NOP",22,1,14,45,6,15,1,6,4,4,5,10,3,1,1,3,7,17,.400,.167,1.000,3.2,1.2,0.7,0.2
Zylan Cheatham,"Nov 16, '19, NOP @ MIA",24,1,4,51,6,9,0,1,0,0,3,9,3,1,1,4,10,12,.667,.000,,12.8,3.0,2.3,0.8
Brandon Clarke,"Oct 23, '19, MEM @ MIA",23,1,58,1300,296,479,23,64,85,112,92,345,81,32,48,55,100,700,.618,.359,.759,22.4,12.1,5.9,1.4
Nicolas Claxton,"Nov 8, '19, BRK @ POR",20,1,15,187,27,48,1,7,11,21,19,44,16,1,8,9,14,66,.563,.143,.524,12.5,4.4,2.9,1.1
Chris Clemons,"Nov 3, '19, HOU @ MIA",22,1,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,.401,.346,.909,8.8,4.9,0.9,0.8
Amir Coffey,"Dec 31, '19, LAC @ SAC",22,1,18,159,23,54,6,19,6,11,4,16,14,5,2,8,20,58,.426,.316,.545,8.8,3.2,0.9,0.8
Tyler Cook,"Oct 26, '19, CLE vs. IND",22,1,13,54,8,12,0,0,7,8,6,14,1,3,0,3,5,23,.667,,.875,4.2,1.8,1.1,0.1
