Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Alexis Ajinca,"01/1/11, DAL @ MIL",20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,.503,.286,.797,13.3,5.3,3.9,0.5
Joe Alexander,"01/12/09, MIL @ WAS",22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,.410,.340,.698,11.1,4.2,1.8,0.7
Ryan Anderson,"01/1/10, ORL @ MIN",20,11,637,16711,2751,6517,1322,3480,1165,1364,1243,3397,582,330,217,603,1260,7989,.422,.380,.854,26.2,12.5,5.3,0.9
Darrell Arthur,"01/1/11, MEM @ UTA",20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,.444,.352,.765,17.8,6.5,3.5,0.8
D.J. Augustin,"01/1/12, CHA @ MIA",21,11,778,18608,2457,5986,999,2622,1679,1945,226,1431,3024,465,25,1174,1144,7592,.410,.381,.863,23.9,9.8,1.8,3.9
Nicolas Batum,"01/1/12, POR @ LAC",20,11,744,23482,3141,7205,1193,3336,1354,1612,785,3918,2825,708,476,1394,1310,8829,.436,.358,.840,31.6,11.9,5.3,3.8
Jerryd Bayless,"01/10/09, POR vs. GSW",20,11,567,12142,1681,4072,492,1343,963,1172,171,1207,1616,361,72,810,1174,4817,.413,.366,.822,21.4,8.5,2.1,2.9
Michael Beasley,"01/1/11, MIN vs. NJN",20,11,608,13891,3088,6636,291,833,1101,1450,663,2856,785,345,314,1024,1293,7568,.465,.349,.759,22.8,12.4,4.7,1.3
Bobby Brown,"01/11/09, SAC vs. DAL",24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,.379,.317,.806,10.7,4.4,0.7,1.5
Mario Chalmers,"01/1/11, MIA vs. GSW",22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,.417,.351,.793,26.7,8.9,2.5,3.7
Joe Crawford,"04/15/09, NYK vs. NJN",22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000,11.5,4.5,2.0,0.5
Joey Dorsey,"01/10/15, HOU vs. UTA",25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,.534,.000,.375,11.4,2.6,3.9,0.4
Chris Douglas-Roberts,"01/1/11, MIL vs. DAL",22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,.439,.329,.831,19.7,7.1,2.1,1.1
Goran Dragic,"01/1/16, MIA vs. DAL",22,11,736,20653,3746,8019,832,2297,1817,2386,548,2247,3542,751,140,1669,1721,10141,.467,.362,.762,28.1,13.8,3.1,4.8
