Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Houston Rockets,29.8,62,15,59,18,8.96,-0.27,8.69,115.4,106.2,97.6,.301,.501,.591,.551,12.5,21.5,.236,.522,13.4,79.9,.170,Toyota Center,678557,17857
Toronto Raptors,25.9,55,21,56,20,7.80,-0.52,7.28,114.3,106.4,97.5,.256,.376,.577,.540,12.0,23.3,.204,.504,13.2,77.3,.213,Air Canada Centre,753596,19831
Golden State Warriors,28.8,56,21,54,23,6.95,-0.24,6.71,114.0,107.1,99.6,.241,.340,.606,.572,14.2,21.2,.196,.502,12.6,76.5,.186,Oracle Arena,783840,19596
Boston Celtics,24.7,53,23,48,28,4.13,-0.29,3.85,107.9,103.6,96.0,.242,.361,.553,.519,12.9,21.2,.187,.491,12.9,78.4,.196,TD Garden,707712,18624
Utah Jazz,26.8,44,33,48,29,3.61,0.13,3.74,108.0,104.2,95.6,.260,.357,.563,.525,13.8,21.2,.204,.509,14.0,79.8,.189,Vivint Smart Home Arena,679888,17892
Philadelphia 76ers,25.7,46,30,47,29,3.67,-0.02,3.65,108.9,105.2,99.5,.268,.345,.567,.532,14.9,25.4,.202,.490,12.6,78.1,.223,Wells Fargo Center,750519,20318
San Antonio Spurs,29.3,45,32,47,30,3.25,0.04,3.29,107.7,104.3,95.0,.243,.283,.544,.508,12.4,23.8,.187,.505,13.2,78.8,.168,AT&T Center,717534,18398
Oklahoma City Thunder,27.3,45,33,47,31,3.10,-0.09,3.01,110.3,107.1,96.6,.269,.341,.545,.514,12.5,27.7,.191,.525,14.7,77.1,.193,Chesapeake Energy Arena,709916,18203
Portland Trail Blazers,25.7,48,29,46,31,2.97,-0.21,2.77,109.5,106.4,96.5,.244,.323,.551,.513,12.3,23.3,.196,.503,11.7,79.0,.193,Moda Center,775564,19389
Minnesota Timberwolves,27.1,44,34,44,34,1.86,0.19,2.05,113.4,111.5,96.1,.282,.261,.568,.525,11.5,24.1,.227,.543,13.9,76.5,.187,Target Center,662689,16992
Indiana Pacers,26.2,46,31,43,34,1.75,-0.39,1.37,109.8,108.0,95.9,.226,.284,.558,.526,12.4,22.7,.176,.527,14.2,76.2,.173,Bankers Life Fieldhouse,622865,15971
Denver Nuggets,25.1,42,35,42,35,1.23,0.01,1.25,112.5,111.2,97.0,.259,.357,.571,.537,13.6,25.7,.198,.543,12.7,77.6,.173,Pepsi Center,654171,17215
Los Angeles Clippers,27.1,41,36,41,36,0.90,0.00,0.90,110.5,109.6,98.7,.296,.321,.566,.529,13.2,23.2,.222,.516,12.7,75.9,.203,STAPLES Center,629387,17010
Washington Wizards,26.9,42,35,41,36,0.92,-0.10,0.82,109.6,108.6,96.5,.255,.309,.561,.525,13.3,23.5,.197,.520,13.5,76.9,.210,Capital One Arena,700858,17971
New Orleans Pelicans,27.7,43,34,39,38,0.22,0.31,0.53,109.1,108.8,100.4,.238,.319,.571,.538,13.3,19.9,.184,.515,12.4,76.8,.177,Smoothie King Center,638826,16380
Cleveland Cavaliers,30.7,47,30,41,36,0.87,-0.41,0.46,112.6,111.8,97.8,.270,.379,.582,.546,12.6,20.1,.211,.539,12.2,77.2,.168,Quicken Loans Arena,781356,20562
Miami Heat,26.5,41,36,40,37,0.60,-0.29,0.30,107.0,106.4,95.4,.232,.361,.553,.522,13.4,21.4,.175,.507,13.1,79.0,.217,AmericanAirlines Arena,746050,19633
Milwaukee Bucks,25.9,41,36,38,39,-0.19,-0.08,-0.28,110.0,110.2,96.0,.285,.300,.573,.533,12.9,20.1,.223,.528,14.2,75.8,.224,BMO Harris Bradley Center,632020,16783
Detroit Pistons,26.0,37,40,38,39,-0.27,-0.06,-0.33,106.8,107.0,96.2,.228,.328,.540,.510,12.4,22.9,.170,.522,13.7,78.4,.174,Little Caesars Arena,659253,17349
Charlotte Hornets,26.6,34,44,38,40,-0.38,-0.05,-0.43,108.8,109.1,98.3,.314,.310,.545,.504,11.3,22.2,.233,.533,12.6,80.9,.168,Spectrum Center,654775,16369
Los Angeles Lakers,23.7,33,43,35,41,-1.41,-0.14,-1.55,106.5,107.9,100.5,.263,.328,.547,.517,13.7,23.8,.186,.514,12.6,77.8,.191,STAPLES Center,700339,18928
Dallas Mavericks,27.9,23,54,32,45,-2.65,0.45,-2.20,106.4,109.2,95.6,.219,.380,.546,.515,11.7,17.7,.168,.530,12.9,78.8,.195,American Airlines Center,771788,19789
New York Knicks,26.4,27,50,30,47,-3.60,0.10,-3.50,107.1,110.8,96.8,.220,.262,.543,.509,13.4,24.4,.174,.524,12.3,76.7,.209,Madison Square Garden (IV),713966,19296
Brooklyn Nets,25.1,25,52,29,48,-4.06,0.17,-3.89,106.8,110.9,98.7,.264,.404,.548,.510,13.4,21.5,.204,.517,11.0,77.0,.203,Barclays Center,623823,15355
Orlando Magic,25.6,22,54,26,50,-4.86,-0.10,-4.96,105.5,110.5,98.1,.238,.343,.547,.513,13.4,20.1,.182,.527,12.8,75.5,.188,Amway Center,681803,17942
Atlanta Hawks,25.5,22,55,25,52,-5.44,0.07,-5.38,105.2,110.7,98.2,.237,.361,.548,.512,14.2,21.2,.187,.537,13.7,76.1,.184,Philips Arena,558400,14318
Memphis Grizzlies,26.1,21,56,24,53,-5.97,0.44,-5.53,104.2,110.5,94.7,.257,.317,.538,.498,14.0,22.3,.201,.526,13.8,76.9,.260,FedEx Forum,621292,15931
Chicago Bulls,24.3,26,51,23,54,-6.58,0.27,-6.32,103.9,110.6,98.2,.218,.350,.529,.497,12.5,20.6,.166,.537,12.2,80.5,.186,United Center,788674,20755
