Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alex Abrines,SG,25,OKC,31,588,6.4,.507,.809,.083,0.9,7.6,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.7,.059,-2.3,-0.8,-3.1,-0.2
Quincy Acy,PF,28,PHO,10,123,3.0,.379,.833,.556,2.7,20.4,11.4,8.2,0.4,2.7,15.2,9.3,-0.1,0.0,-0.1,-0.021,-5.5,-0.2,-5.8,-0.1
Jaylen Adams,PG,22,ATL,9,43,8.0,.400,.600,.000,0.0,7.6,3.7,18.0,3.2,2.0,9.1,10.4,0.0,0.0,0.0,.037,-4.0,-0.4,-4.4,0.0
Steven Adams,C,25,OKC,49,1666,20.0,.611,.002,.398,14.0,16.1,15.1,7.4,2.1,1.9,11.5,16.9,4.0,2.7,6.7,.193,1.4,2.1,3.4,2.3
Bam Adebayo,C,21,MIA,51,1129,17.0,.614,.033,.529,9.7,22.5,16.1,13.4,1.6,3.0,17.5,15.3,2.0,1.8,3.8,.163,-0.8,3.1,2.3,1.2
Deng Adel,SF,21,CLE,7,68,7.5,.631,.636,.182,3.1,10.3,6.6,4.1,0.7,2.5,20.2,9.6,0.0,0.0,0.0,.019,-2.7,-1.5,-4.3,0.0
DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.5,.322,.400,.200,5.0,14.9,9.9,36.8,4.5,0.0,15.5,25.1,-0.1,0.0,0.0,-0.045,-4.1,0.5,-3.5,0.0
LaMarcus Aldridge,C,33,SAS,54,1761,23.0,.574,.022,.321,10.5,19.5,15.1,12.8,0.8,3.1,9.4,27.4,4.4,1.8,6.1,.167,1.4,0.3,1.7,1.6
Rawle Alkins,SG,21,CHI,2,4,61.1,.375,.250,.000,81.4,0.0,40.7,91.6,12.2,0.0,0.0,44.1,0.0,0.0,0.0,.549,43.4,21.9,65.3,0.1
Grayson Allen,SG,23,UTA,26,270,4.3,.454,.629,.324,0.4,4.0,2.2,9.1,0.5,0.9,11.8,21.6,-0.4,0.2,-0.2,-0.034,-4.7,-3.5,-8.2,-0.4
Jarrett Allen,C,20,BRK,52,1390,19.2,.627,.083,.461,10.1,24.6,17.4,8.7,1.1,4.4,13.3,16.2,3.1,2.1,5.1,.177,-0.1,3.0,2.9,1.7
Kadeem Allen,SG,26,NYK,3,71,12.8,.560,.176,.471,2.8,13.9,8.1,22.0,0.7,0.0,8.9,13.4,0.2,0.0,0.2,.111,-1.1,-2.2,-3.3,0.0
Al-Farouq Aminu,PF,28,POR,52,1538,13.3,.571,.509,.304,5.7,22.7,14.4,5.5,1.5,1.1,8.7,13.0,2.2,1.9,4.1,.128,0.3,1.0,1.3,1.3
Justin Anderson,SF,25,ATL,26,226,9.5,.478,.487,.263,5.1,14.4,9.7,6.8,2.2,2.6,13.3,17.5,-0.1,0.2,0.1,.013,-3.9,-0.5,-4.4,-0.1
Kyle Anderson,SF,25,MEM,43,1281,13.0,.569,.123,.232,4.2,18.7,11.3,15.4,2.1,2.8,16.0,12.9,0.9,1.9,2.8,.105,-2.1,3.5,1.4,1.1
Ryan Anderson,PF,30,PHO,15,278,4.7,.423,.567,.233,5.6,12.7,9.1,8.1,0.5,0.3,15.4,12.2,-0.2,0.0,-0.2,-0.038,-4.2,-2.1,-6.3,-0.3
Ike Anigbogu,C,20,IND,3,6,-5.9,.000,.000,.000,18.9,36.4,27.8,19.3,0.0,15.0,25.0,29.0,-0.1,0.0,-0.1,-0.470,-22.4,8.6,-13.7,0.0
Giannis Antetokounmpo,PF,24,MIL,48,1591,29.4,.629,.143,.539,7.6,30.1,19.6,29.1,2.1,3.7,15.4,31.8,5.3,3.8,9.1,.275,4.6,5.2,9.8,4.8
Carmelo Anthony,PF,34,HOU,10,294,11.2,.513,.529,.182,3.3,17.8,10.3,2.7,0.7,2.0,5.8,20.5,0.1,0.1,0.2,.040,-2.9,-3.5,-6.3,-0.3
OG Anunoby,SF,21,TOR,42,843,9.6,.519,.509,.139,4.2,11.3,7.8,4.7,1.5,1.0,8.5,16.0,0.2,0.9,1.0,.059,-1.2,-0.5,-1.7,0.1
Ryan Arcidiacono,PG,24,CHI,52,1303,10.5,.587,.663,.206,1.2,8.8,5.0,19.4,1.9,0.1,14.2,10.5,1.6,0.7,2.3,.084,-0.4,-0.9,-1.3,0.2
Trevor Ariza,SF,33,TOT,48,1697,11.3,.518,.595,.207,2.1,16.1,8.9,14.5,2.0,0.5,12.3,16.3,0.4,1.0,1.4,.040,-0.6,-0.1,-0.7,0.5
Trevor Ariza,SF,33,PHO,26,884,10.7,.525,.612,.189,2.0,16.7,9.2,13.6,2.1,0.8,13.7,13.9,0.2,0.5,0.7,.037,-1.0,0.3,-0.7,0.3
Trevor Ariza,SF,33,WAS,22,813,12.0,.512,.581,.221,2.1,15.4,8.6,15.6,2.0,0.3,11.2,18.8,0.2,0.5,0.7,.043,-0.2,-0.6,-0.8,0.3
D.J. Augustin,PG,31,ORL,52,1458,15.3,.628,.487,.370,2.0,6.5,4.2,24.7,1.0,0.0,14.3,17.1,3.3,0.8,4.1,.136,1.8,-2.6,-0.8,0.4
Deandre Ayton,C,20,PHO,48,1481,21.3,.613,.003,.220,11.5,27.2,19.3,11.2,1.2,2.6,11.9,21.1,3.2,1.2,4.4,.141,0.6,0.6,1.1,1.2
Dwayne Bacon,SG,23,CHO,24,256,12.5,.629,.289,.145,1.3,15.3,8.2,10.0,0.6,0.3,12.0,16.8,0.3,0.1,0.5,.088,-1.3,-2.4,-3.7,-0.1
Marvin Bagley,PF,19,SAC,38,907,17.1,.564,.124,.387,10.1,19.5,14.7,5.5,1.0,3.4,13.0,22.8,0.8,0.9,1.7,.092,-1.8,-0.5,-2.3,-0.1
Ron Baker,SG,25,TOT,15,152,2.6,.309,.650,.300,0.7,7.3,3.9,12.7,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.036,-5.7,-0.8,-6.5,-0.2
Ron Baker,SG,25,NYK,11,107,4.4,.376,.563,.375,0.9,6.1,3.4,15.9,2.2,0.0,13.9,8.6,0.0,0.0,0.0,-0.001,-4.3,-1.5,-5.8,-0.1
Ron Baker,SG,25,WAS,4,45,-1.9,.000,1.000,.000,0.0,10.1,4.9,5.2,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.119,-9.0,1.0,-8.0,-0.1
Wade Baldwin,PG,22,POR,16,94,1.4,.396,.273,.333,2.3,14.3,8.4,16.9,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.152,-9.3,-1.3,-10.7,-0.2
