Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Glenn Robinson,"01/1/17, IND vs. ORL",21,5,203,2958,329,758,94,257,133,183,104,428,114,88,36,86,141,885,.434,.366,.727,14.6,4.4,2.1,0.6
Damjan Rudez,"01/10/15, IND @ PHI",28,3,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,.424,.373,.774,11.2,3.3,0.6,0.6
JaKarr Sampson,"01/1/16, PHI @ LAL",21,3,169,2635,330,744,50,200,153,232,102,431,132,69,81,154,325,863,.444,.250,.659,15.6,5.1,2.6,0.8
Marcus Smart,"01/10/15, BOS @ TOR",20,5,313,8880,956,2611,401,1312,579,762,291,1116,1228,477,113,529,812,2892,.366,.306,.760,28.4,9.2,3.6,3.9
Russ Smith,"01/2/15, NOP vs. HOU",23,2,27,131,15,47,3,16,20,26,2,15,19,8,1,19,18,53,.319,.188,.769,4.9,2.0,0.6,0.7
Nik Stauskas,"01/1/15, SAC @ MIN",21,5,311,6320,725,1858,369,1058,321,397,69,641,494,132,77,328,406,2140,.390,.349,.809,20.3,6.9,2.1,1.6
David Stockton,"02/21/15, SAC @ LAC",23,2,6,42,4,9,3,5,7,10,0,2,9,2,0,5,4,18,.444,.600,.700,7.0,3.0,0.3,1.5
Jarnell Stokes,"01/14/15, MEM @ BRK",21,3,28,151,25,43,0,0,17,32,18,40,7,7,5,7,29,67,.581,,.531,5.4,2.4,1.4,0.3
Noah Vonleh,"01/1/17, POR @ MIN",19,5,283,4955,539,1203,84,259,244,357,416,1534,208,119,124,227,531,1406,.448,.324,.683,17.5,5.0,5.4,0.7
T.J. Warren,"01/12/16, PHO @ IND",21,5,261,7234,1563,3143,156,459,472,616,379,1078,293,247,134,253,588,3754,.497,.340,.766,27.7,14.4,4.1,1.1
David Wear,"03/30/15, SAC @ MEM",24,1,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,.000,.000,,3.5,0.0,1.0,0.5
Travis Wear,"01/10/15, NYK vs. CHO",24,2,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274,.388,.364,.824,13.2,4.0,2.1,0.7
Shayne Whittington,"01/21/15, IND @ ATL",23,2,27,149,24,53,1,8,19,25,15,41,9,6,3,10,25,68,.453,.125,.760,5.5,2.5,1.5,0.3
Andrew Wiggins,"01/1/15, MIN vs. SAC",19,5,375,13506,2681,6088,388,1172,1552,2101,477,1571,793,389,203,773,799,7302,.440,.331,.739,36.0,19.5,4.2,2.1
C.J. Wilcox,"01/1/17, ORL @ IND",24,3,66,376,50,135,19,57,13,16,6,31,30,15,4,18,30,132,.370,.333,.813,5.7,2.0,0.5,0.5
James Young,"01/10/15, BOS @ TOR",19,4,95,812,77,210,38,137,27,48,19,96,28,24,5,15,58,219,.367,.277,.563,8.5,2.3,1.0,0.3
