Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abrines,SG,25,OKC,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
Quincy Acy,PF,28,PHO,10,0,123,4,18,.222,2,15,.133,2,3,.667,.278,7,10,.700,3,22,25,8,1,4,4,24,17
Jaylen Adams,PG,22,ATL,9,0,43,3,10,.300,2,6,.333,1,4,.250,.400,0,0,,0,3,3,6,3,1,1,4,8
Steven Adams,C,25,OKC,49,49,1666,317,522,.607,0,1,.000,317,521,.608,.607,116,208,.558,229,258,487,86,74,37,80,126,750
Bam Adebayo,C,21,MIA,51,6,1129,153,272,.563,1,9,.111,152,263,.578,.564,105,144,.729,104,238,342,102,37,40,71,131,412
Deng Adel,SF,21,CLE,7,0,68,5,11,.455,3,7,.429,2,4,.500,.591,2,2,1.000,2,6,8,2,1,2,3,6,15
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7
LaMarcus Aldridge,C,33,SAS,54,54,1761,450,872,.516,4,19,.211,446,853,.523,.518,238,280,.850,166,316,482,140,29,64,103,116,1142
Rawle Alkins,SG,21,CHI,2,0,4,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,0,3
Grayson Allen,SG,23,UTA,26,1,270,33,105,.314,18,66,.273,15,39,.385,.400,25,34,.735,1,10,11,17,3,3,16,30,109
Jarrett Allen,C,20,BRK,52,52,1390,222,384,.578,5,32,.156,217,352,.616,.585,130,177,.734,132,319,451,80,32,78,71,116,579
Kadeem Allen,SG,26,NYK,3,1,71,7,17,.412,1,3,.333,6,14,.429,.441,8,8,1.000,2,9,11,11,1,0,2,9,23
Al-Farouq Aminu,PF,28,POR,52,52,1538,164,381,.430,68,194,.351,96,187,.513,.520,97,116,.836,81,339,420,64,48,21,41,102,493
Justin Anderson,SF,25,ATL,26,0,226,29,76,.382,8,37,.216,21,39,.538,.434,15,20,.750,11,30,41,11,11,7,13,25,81
Kyle Anderson,SF,25,MEM,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,346
Ryan Anderson,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56
Ike Anigbogu,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
Giannis Antetokounmpo,PF,24,MIL,48,48,1591,468,820,.571,23,117,.197,445,703,.633,.585,317,442,.717,109,491,600,280,70,68,185,167,1276
Carmelo Anthony,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
OG Anunoby,SF,21,TOR,42,5,843,120,273,.440,46,139,.331,74,134,.552,.524,15,38,.395,32,90,122,29,26,10,27,86,301
Ryan Arcidiacono,PG,24,CHI,52,24,1303,103,243,.424,60,161,.373,43,82,.524,.547,45,50,.900,14,105,119,181,51,2,44,115,311
Trevor Ariza,SF,33,TOT,48,48,1697,197,516,.382,103,307,.336,94,209,.450,.482,86,107,.804,32,240,272,178,72,11,79,93,583
Trevor Ariza,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258
Trevor Ariza,SF,33,WAS,22,22,813,111,289,.384,53,168,.315,58,121,.479,.476,50,64,.781,16,111,127,91,34,3,40,49,325
D.J. Augustin,PG,31,ORL,52,52,1458,194,419,.463,89,204,.436,105,215,.488,.569,135,155,.871,28,85,113,246,29,0,81,76,612
Deandre Ayton,C,20,PHO,48,47,1481,342,582,.588,0,2,.000,342,580,.590,.588,99,128,.773,154,353,507,98,38,47,86,135,783
Dwayne Bacon,SG,23,CHO,24,0,256,44,83,.530,13,24,.542,31,59,.525,.608,10,12,.833,3,36,39,17,3,1,12,27,111
Marvin Bagley,PF,19,SAC,38,1,907,192,372,.516,11,46,.239,181,326,.555,.531,96,144,.667,90,167,257,34,20,36,65,80,491
Ron Baker,SG,25,TOT,15,0,152,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14
Ron Baker,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
Ron Baker,SG,25,WAS,4,0,45,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0
Wade Baldwin,PG,22,POR,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
Lonzo Ball,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
Mohamed Bamba,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
J.J. Barea,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
Harrison Barnes,PF,26,DAL,48,48,1558,286,704,.406,119,305,.390,167,399,.419,.491,165,198,.833,36,168,204,61,33,11,67,79,856
Will Barton,SG,28,DEN,13,8,327,62,138,.449,23,59,.390,39,79,.494,.533,22,28,.786,12,45,57,38,3,7,18,29,169
Keita Bates-Diop,SF,23,MIN,5,0,32,3,11,.273,0,5,.000,3,6,.500,.273,0,2,.000,0,6,6,0,0,1,1,2,6
Nicolas Batum,SF,30,CHO,52,52,1608,177,378,.468,76,187,.406,101,191,.529,.569,59,69,.855,46,225,271,171,49,27,84,93,489
Jerryd Bayless,PG,30,MIN,15,4,313,44,122,.361,22,59,.373,22,63,.349,.451,7,12,.583,6,28,34,61,9,1,17,24,117
Aron Baynes,C,32,BOS,34,10,507,69,148,.466,16,48,.333,53,100,.530,.520,39,46,.848,60,87,147,38,6,22,28,82,193
Kent Bazemore,SG,29,ATL,38,30,1011,186,422,.441,57,175,.326,129,247,.522,.508,87,116,.750,21,128,149,95,63,32,78,101,516
Bradley Beal,SG,25,WAS,52,52,1926,475,1013,.469,132,375,.352,343,638,.538,.534,203,255,.796,57,205,262,263,71,40,142,153,1285
Malik Beasley,SG,22,DEN,52,9,1215,228,451,.506,104,242,.430,124,209,.593,.621,33,38,.868,20,111,131,64,35,6,31,77,593
Michael Beasley,PF,30,LAL,25,2,265,75,145,.517,3,15,.200,72,130,.554,.528,28,39,.718,12,43,55,22,9,10,26,41,181
Marco Belinelli,SG,32,SAS,52,0,1165,195,457,.427,105,264,.398,90,193,.466,.542,82,90,.911,9,110,119,101,26,8,44,87,577
