Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Bell,C,24,GSW,46,2,502,58,111,.523,0,1,.000,58,110,.527,.523,14,21,.667,34,81,115,55,15,35,23,54,130
DeAndre' Bembry,SG,24,ATL,52,15,1297,175,409,.428,36,123,.293,139,286,.486,.472,55,89,.618,30,189,219,139,68,29,95,130,441
Dragan Bender,PF,21,PHO,20,5,242,32,74,.432,7,38,.184,25,36,.694,.480,16,24,.667,15,35,50,13,5,3,14,20,87
Davis Bertans,PF,26,SAS,48,5,989,132,271,.487,98,208,.471,34,63,.540,.668,25,30,.833,17,148,165,60,25,22,29,81,387
Patrick Beverley,PG,30,LAC,53,24,1412,118,309,.382,70,187,.374,48,122,.393,.495,71,94,.755,45,200,245,186,39,28,56,181,377
Khem Birch,C,26,ORL,21,0,194,21,41,.512,0,1,.000,21,40,.525,.512,15,19,.789,16,38,54,12,7,11,4,19,57
Bismack Biyombo,C,26,CHO,27,15,417,48,85,.565,0,0,,48,85,.565,.565,29,45,.644,43,92,135,16,7,29,16,58,125
Nemanja Bjelica,PF,30,SAC,51,50,1207,192,399,.481,74,173,.428,118,226,.522,.574,48,63,.762,82,218,300,101,38,41,62,129,506
Antonio Blakeney,SG,22,CHI,40,0,578,120,284,.423,32,70,.457,88,214,.411,.479,38,56,.679,6,59,65,22,10,8,25,26,310
Eric Bledsoe,PG,29,MIL,50,50,1469,305,620,.492,73,240,.304,232,380,.611,.551,106,138,.768,50,177,227,274,74,20,106,105,789
Jaron Blossomgame,SF,25,CLE,25,4,407,44,95,.463,10,32,.313,34,63,.540,.516,10,13,.769,25,67,92,11,7,8,11,20,108
Bogdan Bogdanovic,SG,26,SAC,40,8,1119,222,520,.427,78,225,.347,144,295,.488,.502,81,99,.818,18,124,142,164,39,7,73,78,603
Bojan Bogdanovic,SF,29,IND,52,52,1651,303,618,.490,100,233,.429,203,385,.527,.571,144,173,.832,25,188,213,89,42,0,78,86,850
Jonah Bolden,PF,23,PHI,27,3,343,40,83,.482,14,46,.304,26,37,.703,.566,8,18,.444,24,72,96,16,8,24,23,57,102
Isaac Bonga,PG,19,LAL,8,0,31,2,10,.200,0,2,.000,2,8,.250,.200,4,7,.571,3,3,6,6,3,0,2,3,8
Devin Booker,SG,22,PHO,41,41,1428,363,787,.461,88,270,.326,275,517,.532,.517,211,249,.847,22,131,153,277,38,7,163,131,1025
Chris Boucher,PF,26,TOR,15,0,83,17,40,.425,9,22,.409,8,18,.444,.538,11,13,.846,9,15,24,0,2,16,2,14,54
Avery Bradley,SG,28,LAC,47,47,1402,157,409,.384,57,167,.341,100,242,.413,.454,19,23,.826,35,92,127,95,27,15,60,128,390
Tony Bradley,C,21,UTA,1,0,9,0,3,.000,0,0,,0,3,.000,.000,0,0,,2,1,3,0,0,0,1,1,0
Corey Brewer,SF,32,PHI,7,3,140,20,49,.408,4,14,.286,16,35,.457,.449,9,13,.692,4,13,17,10,12,2,8,16,53
Mikal Bridges,SF,22,PHO,54,40,1467,157,356,.441,75,205,.366,82,151,.543,.546,46,57,.807,31,132,163,88,80,29,40,126,435
Miles Bridges,SF,20,CHO,50,0,953,127,280,.454,35,114,.307,92,166,.554,.516,41,56,.732,29,152,181,52,24,30,29,64,330
Isaiah Briscoe,PG,22,ORL,28,0,317,31,82,.378,6,17,.353,25,65,.385,.415,8,17,.471,2,35,37,49,4,0,17,41,76
Ryan Broekhoff,SG,28,DAL,22,0,172,24,52,.462,15,40,.375,9,12,.750,.606,2,2,1.000,2,17,19,11,1,2,5,10,65
Malcolm Brogdon,SG,26,MIL,47,47,1385,279,544,.513,71,169,.420,208,375,.555,.578,106,112,.946,49,172,221,158,34,11,76,79,735
Dillon Brooks,SF,23,MEM,18,0,330,49,122,.402,15,40,.375,34,82,.415,.463,22,30,.733,9,22,31,16,10,4,19,50,135
MarShon Brooks,SG,30,MEM,29,0,387,76,169,.450,15,54,.278,61,115,.530,.494,23,33,.697,12,33,45,25,9,4,21,33,190
Bruce Brown,SG,22,DET,44,26,880,83,217,.382,17,63,.270,66,154,.429,.422,31,43,.721,32,96,128,61,21,21,33,114,214
Jaylen Brown,SG,22,BOS,47,22,1221,226,501,.451,56,175,.320,170,326,.521,.507,87,127,.685,45,158,203,64,43,25,67,123,595
Lorenzo Brown,PG,28,TOR,26,0,212,23,71,.324,6,28,.214,17,43,.395,.366,3,3,1.000,5,26,31,28,12,5,16,22,55
Sterling Brown,SG,23,MIL,40,0,637,86,187,.460,37,98,.378,49,89,.551,.559,15,19,.789,21,94,115,51,15,5,27,56,224
Troy Brown,SF,19,WAS,29,0,208,26,65,.400,4,15,.267,22,50,.440,.431,14,21,.667,5,34,39,27,8,1,8,16,70
Jalen Brunson,PG,22,DAL,44,12,760,115,265,.434,26,77,.338,89,188,.473,.483,38,55,.691,12,67,79,99,20,1,37,63,294
Thomas Bryant,C,21,WAS,42,36,801,159,244,.652,14,36,.389,145,208,.697,.680,57,70,.814,57,180,237,44,15,31,32,63,389
Reggie Bullock,SG,27,DET,42,42,1293,171,418,.409,106,277,.383,65,141,.461,.536,56,64,.875,19,93,112,103,20,5,52,76,504
Trey Burke,PG,26,NYK,33,7,689,148,358,.413,30,86,.349,118,272,.434,.455,62,75,.827,15,47,62,94,21,5,29,33,388
Alec Burks,SG,27,TOT,50,23,1211,174,435,.400,59,156,.378,115,279,.412,.468,111,135,.822,26,183,209,116,29,20,58,82,518
Alec Burks,SG,27,UTA,17,0,269,47,114,.412,16,43,.372,31,71,.437,.482,33,38,.868,2,25,27,20,6,4,15,22,143
Alec Burks,SG,27,CLE,33,23,942,127,321,.396,43,113,.381,84,208,.404,.463,78,97,.804,24,158,182,96,23,16,43,60,375
Deonte Burton,SG,25,OKC,15,0,131,20,46,.435,4,13,.308,16,33,.485,.478,5,6,.833,1,15,16,5,3,5,7,17,49
Jimmy Butler,SF-SG,29,TOT,41,41,1364,284,594,.478,54,143,.378,230,451,.510,.524,178,210,.848,70,135,205,158,86,25,61,75,800
Jimmy Butler,SG,29,MIN,10,10,361,74,157,.471,17,45,.378,57,112,.509,.525,48,61,.787,16,36,52,43,24,10,14,18,213
Jimmy Butler,SF,29,PHI,31,31,1003,210,437,.481,37,98,.378,173,339,.510,.523,130,149,.872,54,99,153,115,62,15,47,57,587
Bruno Caboclo,SF,23,MEM,5,0,115,8,29,.276,5,23,.217,3,6,.500,.362,9,9,1.000,5,12,17,5,3,8,3,10,30
Jose Calderon,PG,37,DET,42,0,598,42,115,.365,14,56,.250,28,59,.475,.426,9,11,.818,9,46,55,110,16,3,35,61,107
Kentavious Caldwell-Pope,SG,25,LAL,53,12,1269,186,431,.432,85,244,.348,101,187,.540,.530,91,106,.858,32,117,149,59,46,5,37,84,548
Isaiah Canaan,PG,27,TOT,21,15,520,52,135,.385,26,77,.338,26,58,.448,.481,15,20,.750,5,45,50,63,12,0,30,47,145
Isaiah Canaan,PG,27,PHO,19,15,503,51,129,.395,25,72,.347,26,57,.456,.492,15,20,.750,5,44,49,62,12,0,29,46,142
Isaiah Canaan,PG,27,MIN,2,0,17,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,0,1,1,1,0,0,1,1,3
Clint Capela,C,24,HOU,42,42,1436,315,499,.631,0,0,,315,499,.631,.631,109,174,.626,208,320,528,62,25,77,65,112,739
DeMarre Carroll,SF,32,BRK,42,0,1054,143,364,.393,66,193,.342,77,171,.450,.484,113,153,.739,42,168,210,48,17,5,45,68,465
Jevon Carter,PG,23,MEM,19,3,298,23,87,.264,12,48,.250,11,39,.282,.333,5,9,.556,4,17,21,33,15,5,14,30,63
Vince Carter,SF,42,ATL,48,8,759,108,266,.406,66,178,.371,42,88,.477,.530,20,28,.714,22,105,127,46,27,15,32,82,302
Wendell Carter,C,19,CHI,44,44,1110,180,371,.485,6,32,.188,174,339,.513,.493,89,112,.795,87,220,307,78,26,58,65,152,455
Michael Carter-Williams,PG,27,HOU,16,1,145,25,61,.410,7,19,.368,18,42,.429,.467,12,26,.462,3,10,13,21,9,6,10,27,69
Alex Caruso,PG,24,LAL,5,0,20,2,4,.500,1,1,1.000,1,3,.333,.625,1,4,.250,1,0,1,1,0,2,0,3,6
Omri Casspi,SF,30,MEM,36,0,520,86,161,.534,15,43,.349,71,118,.602,.581,39,58,.672,17,98,115,26,20,9,23,35,226
Willie Cauley-Stein,C,25,SAC,52,52,1478,295,544,.542,1,2,.500,294,542,.542,.543,96,171,.561,128,325,453,139,64,31,66,160,687
Troy Caupain,PG,23,ORL,2,0,9,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,2,2,3,1,0,0,0,5
Tyler Cavanaugh,PF,24,UTA,7,0,17,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,1,3,4,0,0,0,1,0,6
Tyson Chandler,C,36,TOT,45,6,780,59,97,.608,0,1,.000,59,96,.615,.608,48,79,.608,88,193,281,34,20,20,35,99,166
Tyson Chandler,C,36,PHO,7,0,89,8,12,.667,0,0,,8,12,.667,.667,10,18,.556,7,32,39,6,2,1,7,21,26
Tyson Chandler,C,36,LAL,38,6,691,51,85,.600,0,1,.000,51,84,.607,.600,38,61,.623,81,161,242,28,18,19,28,78,140
Wilson Chandler,PF,31,PHI,36,32,951,91,207,.440,46,118,.390,45,89,.506,.551,13,18,.722,44,124,168,72,22,18,39,94,241
Joe Chealey,PG,23,CHO,1,0,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,1,0,0,0,1,2
Marquese Chriss,PF,21,HOU,16,0,104,11,34,.324,1,15,.067,10,19,.526,.338,6,7,.857,7,21,28,6,2,4,12,17,29
Gary Clark,PF,24,HOU,36,1,527,35,109,.321,29,99,.293,6,10,.600,.454,6,6,1.000,18,76,94,14,15,22,5,38,105
Ian Clark,SG,27,NOP,36,0,471,59,152,.388,27,77,.351,32,75,.427,.477,11,12,.917,5,43,48,43,7,4,28,46,156
Jordan Clarkson,SG,26,CLE,52,0,1376,345,756,.456,94,276,.341,251,480,.523,.519,90,109,.826,48,123,171,121,37,10,86,81,874
John Collins,PF,21,ATL,36,34,1081,285,486,.586,34,92,.370,251,394,.637,.621,106,145,.731,136,222,358,79,11,14,78,120,710
Zach Collins,C,21,POR,52,0,969,137,286,.479,30,86,.349,107,200,.535,.531,67,84,.798,74,151,225,52,19,42,53,135,371
Darren Collison,PG,31,IND,52,52,1444,192,417,.460,53,128,.414,139,289,.481,.524,88,107,.822,22,126,148,302,76,8,82,94,525
Mike Conley,PG,31,MEM,51,51,1722,351,810,.433,110,306,.359,241,504,.478,.501,217,257,.844,29,142,171,321,70,17,97,88,1029
Pat Connaughton,SG,26,MIL,32,1,572,76,175,.434,30,104,.288,46,71,.648,.520,14,20,.700,26,89,115,67,15,15,17,37,196
Quinn Cook,PG,25,GSW,44,8,649,128,276,.464,49,123,.398,79,153,.516,.553,15,20,.750,14,84,98,75,15,3,32,62,320
DeMarcus Cousins,C,28,GSW,7,7,159,34,78,.436,7,18,.389,27,60,.450,.481,26,32,.813,7,44,51,28,7,6,13,28,101
Robert Covington,SF,28,TOT,35,35,1203,156,362,.431,85,225,.378,71,137,.518,.548,68,89,.764,28,165,193,46,74,47,47,126,465
Robert Covington,SF,28,PHI,13,13,440,50,117,.427,30,77,.390,20,40,.500,.556,17,23,.739,7,60,67,14,24,23,22,45,147
Robert Covington,SF,28,MIN,22,22,763,106,245,.433,55,148,.372,51,97,.526,.545,51,66,.773,21,105,126,32,50,24,25,81,318
Allen Crabbe,SG,26,BRK,28,15,732,85,248,.343,65,168,.387,20,80,.250,.474,30,38,.789,13,84,97,30,17,8,32,68,265
Torrey Craig,SF,28,DEN,47,37,1079,115,259,.444,38,129,.295,77,130,.592,.517,32,50,.640,70,126,196,48,27,30,38,117,300
Jamal Crawford,SG,38,PHO,44,0,782,99,272,.364,33,115,.287,66,157,.420,.425,55,68,.809,7,44,51,147,20,8,63,55,286
Mitch Creek,SF,26,BRK,3,0,20,2,5,.400,0,0,,2,5,.400,.400,3,4,.750,1,4,5,1,1,0,0,2,7
Jae Crowder,SF,28,UTA,53,8,1463,209,529,.395,115,346,.332,94,183,.514,.504,102,146,.699,41,208,249,87,42,21,62,108,635
Dante Cunningham,PF,31,SAS,48,21,769,62,131,.473,27,55,.491,35,76,.461,.576,11,14,.786,43,124,167,45,21,13,18,61,162
Seth Curry,SG,28,POR,46,2,820,109,245,.445,65,134,.485,44,111,.396,.578,9,9,1.000,15,54,69,45,18,7,34,65,292
Stephen Curry,PG,30,GSW,41,41,1406,400,811,.493,215,477,.451,185,334,.554,.626,181,196,.923,29,179,208,218,47,14,118,104,1196
Troy Daniels,SG,27,PHO,27,0,356,52,128,.406,38,97,.392,14,31,.452,.555,12,15,.800,6,23,29,9,16,2,17,35,154
Anthony Davis,C,25,NOP,41,41,1519,430,846,.508,40,123,.325,390,723,.539,.532,303,373,.812,138,407,545,179,70,105,82,107,1203
Ed Davis,C,29,BRK,53,1,980,131,210,.624,0,2,.000,131,208,.630,.624,58,101,.574,157,315,472,45,27,20,44,151,320
Tyler Davis,C,21,OKC,1,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
Dewayne Dedmon,C,29,ATL,42,31,1042,163,339,.481,52,137,.380,111,202,.550,.558,55,63,.873,67,242,309,58,44,44,60,141,433
Sam Dekker,SF-PF,24,TOT,33,5,572,94,189,.497,11,38,.289,83,151,.550,.526,18,30,.600,41,78,119,31,31,7,15,32,217
Sam Dekker,PF,24,CLE,9,5,169,22,48,.458,5,13,.385,17,35,.486,.510,8,10,.800,9,24,33,9,11,0,5,13,57
Sam Dekker,SF,24,WAS,24,0,403,72,141,.511,6,25,.240,66,116,.569,.532,10,20,.500,32,54,86,22,20,7,10,19,160
Matthew Dellavedova,PG,28,TOT,36,0,552,75,169,.444,36,93,.387,39,76,.513,.550,32,37,.865,5,47,52,115,6,0,49,52,218
Matthew Dellavedova,PG,28,MIL,12,0,97,6,19,.316,4,11,.364,2,8,.250,.421,4,4,1.000,0,10,10,29,2,0,11,9,20
Matthew Dellavedova,PG,28,CLE,24,0,455,69,150,.460,32,82,.390,37,68,.544,.567,28,33,.848,5,37,42,86,4,0,38,43,198
Luol Deng,SF,33,MIN,13,0,168,27,57,.474,8,24,.333,19,33,.576,.544,15,19,.789,10,25,35,5,7,2,5,9,77
DeMar DeRozan,SG,29,SAS,50,50,1762,408,885,.461,7,41,.171,401,844,.475,.465,238,289,.824,39,274,313,311,51,25,131,112,1061
Marcus Derrickson,PF,22,GSW,8,0,45,8,20,.400,3,11,.273,5,9,.556,.475,3,4,.750,3,3,6,0,0,1,3,9,22
Cheick Diallo,PF,22,NOP,35,0,361,59,102,.578,0,2,.000,59,100,.590,.578,23,33,.697,29,94,123,13,14,17,22,43,141
Hamidou Diallo,SG,20,OKC,42,3,502,72,158,.456,4,23,.174,68,135,.504,.468,35,58,.603,36,56,92,17,18,10,21,73,183
Gorgui Dieng,C,29,MIN,52,0,710,110,224,.491,13,39,.333,97,185,.524,.520,55,62,.887,50,160,210,45,26,27,32,101,288
Spencer Dinwiddie,PG,25,BRK,49,4,1399,275,596,.461,96,262,.366,179,334,.536,.542,198,249,.795,21,100,121,246,28,11,114,136,844
Donte DiVincenzo,SG,22,MIL,23,0,358,42,107,.393,17,69,.246,25,38,.658,.472,9,11,.818,13,43,56,27,12,6,18,34,110
Luka Doncic,SG,19,DAL,50,50,1604,344,790,.435,120,341,.352,224,449,.499,.511,226,309,.731,54,297,351,271,56,14,159,94,1034
Tyler Dorsey,SG,22,ATL,27,0,251,32,89,.360,10,39,.256,22,50,.440,.416,16,26,.615,9,34,43,17,7,1,10,20,90
Damyean Dotson,SG,24,NYK,42,11,1055,151,344,.439,61,159,.384,90,185,.486,.528,34,49,.694,24,124,148,55,38,5,30,77,397
PJ Dozier,SG,22,BOS,4,0,10,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,2,4,0,0,0,0,1,7
Goran Dragic,PG,32,MIA,14,14,408,77,188,.410,22,70,.314,55,118,.466,.468,38,50,.760,8,35,43,68,10,4,35,30,214
Andre Drummond,C,25,DET,48,48,1582,335,659,.508,4,31,.129,331,628,.527,.511,123,229,.537,250,463,713,57,76,79,116,162,797
Jared Dudley,PF,33,BRK,43,25,944,77,190,.405,39,121,.322,38,69,.551,.508,22,35,.629,25,95,120,65,28,13,37,105,215
Kris Dunn,PG,24,CHI,27,25,837,135,311,.434,16,45,.356,119,266,.447,.460,37,47,.787,7,107,114,169,40,14,68,101,323
Kevin Durant,PF,30,GSW,52,52,1847,500,990,.505,96,262,.366,404,728,.555,.554,334,368,.908,27,343,370,311,43,58,168,101,1430
Vince Edwards,SF,22,HOU,2,0,16,1,4,.250,1,4,.250,0,0,,.375,0,0,,1,1,2,0,0,0,0,0,3
Henry Ellenson,PF,22,DET,2,0,25,4,10,.400,2,4,.500,2,6,.333,.500,2,2,1.000,0,9,9,1,0,0,0,2,12
Wayne Ellington,SG,31,MIA,25,12,533,69,184,.375,57,155,.368,12,29,.414,.530,14,16,.875,6,41,47,29,24,3,14,40,209
Joel Embiid,C,24,PHI,49,49,1642,441,914,.482,57,194,.294,384,720,.533,.514,396,493,.803,125,536,661,176,29,95,177,163,1335
James Ennis,SF,28,HOU,38,24,886,98,195,.503,41,110,.373,57,85,.671,.608,40,56,.714,36,73,109,24,33,15,23,105,277
Drew Eubanks,PF,21,SAS,12,0,47,10,14,.714,0,0,,10,14,.714,.714,6,8,.750,1,11,12,2,1,0,2,4,26
Jacob Evans,SG,21,GSW,23,0,99,6,25,.240,1,6,.167,5,19,.263,.260,0,1,.000,1,8,9,13,1,1,6,13,13
Jawun Evans,PG,22,PHO,5,0,50,2,10,.200,0,2,.000,2,8,.250,.200,0,0,,1,9,10,9,3,0,4,7,4
Tyreke Evans,SG,29,IND,45,12,923,172,442,.389,54,153,.353,118,289,.408,.450,80,104,.769,25,98,123,106,46,11,80,76,478
Dante Exum,PG,23,UTA,39,1,637,101,234,.432,18,59,.305,83,175,.474,.470,68,86,.791,15,50,65,107,14,5,46,63,288
Kenneth Faried,C,29,TOT,19,6,323,71,119,.597,2,10,.200,69,109,.633,.605,32,52,.615,40,71,111,9,8,12,17,35,176
Kenneth Faried,C,29,BRK,12,0,118,25,42,.595,1,5,.200,24,37,.649,.607,10,16,.625,15,29,44,2,2,4,6,8,61
Kenneth Faried,C,29,HOU,7,6,205,46,77,.597,1,5,.200,45,72,.625,.604,22,36,.611,25,42,67,7,6,8,11,27,115
Derrick Favors,C,27,UTA,53,47,1225,231,401,.576,14,60,.233,217,341,.636,.594,103,158,.652,144,231,375,56,38,69,55,114,579
Cristiano Felicio,C,26,CHI,32,0,307,37,65,.569,0,2,.000,37,63,.587,.569,17,23,.739,25,59,84,16,5,2,14,27,91
Raymond Felton,PG,34,OKC,15,0,166,28,76,.368,6,30,.200,22,46,.478,.408,8,9,.889,3,18,21,27,6,4,11,13,70
Terrance Ferguson,SG,20,OKC,43,43,1006,100,230,.435,56,144,.389,44,86,.512,.557,16,25,.640,21,58,79,31,24,11,24,127,272
Yogi Ferrell,PG,25,SAC,42,3,617,91,207,.440,30,82,.366,61,125,.488,.512,31,35,.886,9,60,69,81,20,4,19,33,243
Dorian Finney-Smith,SF,25,DAL,52,13,1281,148,321,.461,54,156,.346,94,165,.570,.545,48,72,.667,90,148,238,39,52,26,50,124,398
Bryn Forbes,PG,25,SAS,54,54,1549,244,542,.450,118,279,.423,126,263,.479,.559,49,55,.891,10,145,155,120,32,3,60,118,655
Evan Fournier,SG,26,ORL,52,52,1628,292,683,.428,100,300,.333,192,383,.501,.501,82,106,.774,25,130,155,184,46,8,106,147,766
De'Aaron Fox,PG,21,SAC,51,51,1607,318,691,.460,55,151,.364,263,540,.487,.500,200,273,.733,31,156,187,367,88,26,156,133,891
Melvin Frazier,SG,22,ORL,3,0,16,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,0,1,0,1,3,0
Tim Frazier,PG,28,NOP,41,17,776,75,168,.446,24,69,.348,51,99,.515,.518,24,31,.774,27,91,118,180,21,4,51,82,198
Channing Frye,C,35,CLE,26,5,268,30,87,.345,22,58,.379,8,29,.276,.471,9,12,.750,4,37,41,16,5,4,10,34,91
Markelle Fultz,PG,20,PHI,19,15,427,65,155,.419,4,14,.286,61,141,.433,.432,21,37,.568,26,44,70,59,17,5,25,52,155
Danilo Gallinari,SF,30,LAC,44,44,1377,254,565,.450,107,240,.446,147,325,.452,.544,221,244,.906,40,222,262,110,32,12,62,92,836
Langston Galloway,SG,27,DET,49,2,1061,135,358,.377,78,235,.332,57,123,.463,.486,43,54,.796,33,84,117,52,21,5,16,80,391
