Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Dallas Mavericks,28.1,60,22,62,20,7.78,0.12,7.90,110.7,102.3,92.5,.257,.239,.543,.498,10.9,25.4,.213,.473,14.8,70.9,.221,American Airlines Center,816429,20040
Sacramento Kings,28.3,59,23,59,23,6.50,0.18,6.68,105.9,99.1,95.4,.262,.184,.535,.499,13.3,25.6,.196,.446,13.6,70.6,.204,ARCO Arena (II),709997,17317
San Antonio Spurs,28.4,60,22,57,25,5.41,0.23,5.65,105.6,99.7,90.0,.348,.202,.541,.497,15.1,28.8,.253,.453,14.2,71.3,.199,SBC Center,735970,18166
New Jersey Nets,27.3,49,33,56,26,5.22,-0.80,4.42,103.8,98.1,91.6,.333,.158,.518,.468,13.8,28.7,.252,.460,15.7,73.1,.225,Continental Airlines Arena,622574,15841
Detroit Pistons,29.0,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,86.8,.322,.237,.523,.473,13.3,25.9,.248,.461,13.9,74.0,.225,The Palace of Auburn Hills,839278,20743
Portland Trail Blazers,29.2,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,.300,.177,.531,.489,14.5,30.2,.223,.483,14.9,72.3,.194,Rose Garden Arena,796258,19473
Indiana Pacers,25.9,48,34,51,31,3.49,-0.70,2.79,104.6,100.8,91.6,.344,.169,.522,.469,13.7,29.0,.263,.458,14.3,72.3,.228,Conseco Fieldhouse,670461,16319
Utah Jazz,30.9,47,35,48,34,2.39,0.37,2.76,105.5,102.8,89.3,.380,.104,.537,.486,16.0,32.5,.283,.468,15.2,70.2,.256,Delta Center,786034,19206
Los Angeles Lakers,28.1,50,32,48,34,2.33,0.38,2.71,107.2,104.7,92.5,.311,.199,.528,.486,13.3,30.2,.228,.477,13.4,72.7,.241,STAPLES Center,777888,18976
Minnesota Timberwolves,28.2,51,31,47,35,2.07,0.39,2.46,106.1,103.8,91.9,.268,.118,.528,.488,12.9,28.2,.206,.472,12.7,72.9,.203,Target Center,643684,15864
Houston Rockets,25.9,43,39,46,36,1.48,0.42,1.89,104.3,102.6,88.8,.316,.196,.522,.474,14.8,30.3,.243,.462,12.6,72.4,.209,Compaq Center,565166,13785
Philadelphia 76ers,28.3,48,34,48,34,2.30,-0.55,1.76,105.0,102.5,91.4,.339,.119,.520,.466,13.7,30.3,.263,.488,16.2,72.7,.243,First Union Center,807097,19758
Phoenix Suns,25.2,44,38,44,38,1.13,0.43,1.57,103.7,102.5,91.5,.285,.170,.514,.473,13.7,29.7,.211,.470,14.8,70.3,.222,America West Arena,666559,16438
New Orleans Hornets,29.1,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,.285,.161,.511,.465,13.9,31.7,.219,.464,14.0,73.1,.226,New Orleans Arena,641683,15769
