Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Steven Adams,"01/10/16, OKC @ POR",20,6,437,11560,1717,2910,0,6,731,1292,1458,3182,431,377,425,608,1187,4165,.590,.000,.566,26.5,9.5,7.3,1.0
Giannis Antetokounmpo,"01/1/18, MIL @ TOR",19,6,441,14453,2935,5692,191,708,1966,2653,698,3546,1777,537,584,1145,1329,8027,.516,.270,.741,32.8,18.2,8.0,4.0
Pero Antic,"01/10/14, ATL vs. HOU",31,2,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,.392,.314,.730,17.4,6.3,3.5,0.9
Chris Babb,"03/1/14, BOS vs. IND",23,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,.267,.222,,9.4,1.6,1.2,0.2
Anthony Bennett,"01/1/15, MIN vs. SAC",20,4,151,1905,251,641,36,138,120,179,132,472,77,58,27,99,206,658,.392,.261,.670,12.6,4.4,3.1,0.5
Vander Blue,"01/1/18, LAL @ MIN",21,3,10,134,12,39,2,13,4,12,2,13,12,4,0,11,7,30,.308,.154,.333,13.4,3.0,1.3,1.2
Lorenzo Brown,"01/11/18, TOR vs. CLE",23,5,103,1185,123,338,18,106,29,41,28,151,183,61,15,74,101,293,.364,.170,.707,11.5,2.8,1.5,1.8
Reggie Bullock,"01/1/19, DET @ MIL",22,6,251,4654,602,1381,318,803,127,153,85,502,274,114,28,138,242,1649,.436,.396,.830,18.5,6.6,2.0,1.1
Trey Burke,"01/10/14, UTA vs. CLE",21,6,336,8093,1430,3533,422,1243,399,501,121,704,1236,198,41,455,480,3681,.405,.340,.796,24.1,11.0,2.1,3.7
Dwight Buycks,"01/10/18, DET @ BRK",24,3,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310,.402,.370,.883,14.2,6.3,1.6,1.7
Nick Calathes,"01/10/14, MEM vs. PHO",24,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,.441,.288,.581,15.6,4.6,1.9,2.7
Kentavious Caldwell-Pope,"01/1/17, DET @ MIA",20,6,441,13215,1871,4549,723,2094,740,932,301,1477,716,519,80,447,820,5205,.411,.345,.794,30.0,11.8,3.3,1.6
Isaiah Canaan,"01/1/16, PHI @ LAL",22,6,226,4690,604,1632,358,1023,311,373,62,430,433,143,21,254,359,1877,.370,.350,.834,20.8,8.3,1.9,1.9
Michael Carter-Williams,"01/1/14, PHI @ DEN",22,6,303,8038,1255,3124,142,558,709,1012,277,1370,1414,412,166,781,770,3361,.402,.254,.701,26.5,11.1,4.5,4.7
Dionte Christmas,"01/13/14, PHO @ NYK",27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,.355,.290,.750,6.4,2.3,1.2,0.3
Ian Clark,"01/10/15, UTA @ HOU",22,6,306,4005,626,1404,201,580,142,179,57,399,334,113,40,206,345,1595,.446,.347,.793,13.1,5.2,1.3,1.1
Robert Covington,"01/1/16, PHI @ LAL",23,6,326,9747,1372,3412,766,2126,645,793,307,1802,506,542,259,576,991,4155,.402,.360,.813,29.9,12.7,5.5,1.6
Allen Crabbe,"01/1/17, POR @ MIN",21,6,329,8071,1111,2586,548,1386,363,430,95,945,385,202,95,254,683,3133,.430,.395,.844,24.5,9.5,2.9,1.2
Seth Curry,"01/1/19, POR @ SAC",23,5,164,3562,550,1178,253,569,139,163,49,311,302,121,17,162,234,1492,.467,.445,.853,21.7,9.1,1.9,1.8
Troy Daniels,"01/1/15, MIN vs. SAC",22,6,268,4109,634,1581,473,1175,127,155,55,350,151,79,15,165,348,1868,.401,.403,.819,15.3,7.0,1.3,0.6
Luigi Datome,"01/17/14, DET vs. UTA",26,2,55,447,77,186,25,79,9,11,17,75,20,8,8,20,35,188,.414,.316,.818,8.1,3.4,1.4,0.4
Brandon Davies,"01/1/14, PHI @ DEN",22,2,78,998,109,265,10,44,58,90,76,192,58,42,15,64,151,286,.411,.227,.644,12.8,3.7,2.5,0.7
Dewayne Dedmon,"01/1/16, ORL @ WAS",24,6,328,5854,802,1497,102,279,299,414,519,1944,219,166,274,308,799,2005,.536,.366,.722,17.8,6.1,5.9,0.7
Matthew Dellavedova,"01/1/18, MIL @ TOR",23,6,365,7768,778,1969,367,947,263,312,142,674,1345,174,16,468,723,2186,.395,.388,.843,21.3,6.0,1.8,3.7
Gorgui Dieng,"01/1/14, MIN vs. NOP",24,6,428,9927,1308,2591,56,170,725,916,827,2711,602,354,433,518,1017,3397,.505,.329,.791,23.2,7.9,6.3,1.4
Shane Edwards,"03/16/14, CLE @ LAC",26,1,2,12,1,3,0,0,0,0,1,2,0,0,0,1,1,2,.333,,,6.0,1.0,1.0,0.0
Vitor Faverani,"01/13/14, BOS vs. HOU",25,1,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,.435,.300,.649,13.2,4.4,3.5,0.4
Carrick Felix,"01/7/14, CLE vs. PHI",23,1,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,.500,.400,.750,5.4,2.7,0.9,0.6
Jamaal Franklin,"01/15/14, MEM @ MIL",22,2,24,174,17,41,6,13,2,2,5,25,9,4,3,14,27,42,.415,.462,1.000,7.3,1.8,1.0,0.4
Rudy Gobert,"01/1/19, UTA @ TOR",21,6,379,10785,1484,2390,0,3,1088,1718,1205,3926,502,259,825,595,947,4056,.621,.000,.633,28.5,10.7,10.4,1.3
Archie Goodwin,"01/12/16, PHO @ IND",19,4,165,2396,367,856,45,191,261,373,86,331,206,69,38,206,192,1040,.429,.236,.700,14.5,6.3,2.0,1.2
Jorge Gutierrez,"01/29/15, MIL @ ORL",25,3,47,482,53,106,3,17,28,36,8,54,69,19,1,32,65,137,.500,.176,.778,10.3,2.9,1.1,1.5
Justin Hamilton,"01/10/17, BRK vs. ATL",23,3,113,1961,268,577,68,220,83,104,132,403,91,61,73,73,169,687,.464,.309,.798,17.4,6.1,3.6,0.8
Tim Hardaway,"01/1/17, ATL vs. SAS",21,6,384,9958,1744,4163,695,2018,790,966,131,972,703,244,59,431,643,4973,.419,.344,.818,25.9,13.0,2.5,1.8
Elias Harris,"10/30/13, LAL @ GSW",24,1,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,.000,,,5.5,0.0,0.5,0.5
Solomon Hill,"01/10/15, IND @ PHI",22,6,295,6740,605,1530,217,666,324,401,207,971,460,205,72,275,529,1751,.395,.326,.808,22.8,5.9,3.3,1.6
Scotty Hopson,"03/4/18, DAL vs. NOP",24,2,3,15,0,5,0,2,2,4,0,0,2,1,0,1,0,2,.000,.000,.500,5.0,0.7,0.0,0.7
Robbie Hummel,"01/1/14, MIN vs. NOP",24,2,98,1397,146,349,48,140,39,45,66,266,50,32,11,28,143,379,.418,.343,.867,14.3,3.9,2.7,0.5
Sergey Karasev,"01/10/14, CLE @ UTA",20,3,95,1110,96,243,31,110,64,76,30,140,87,32,4,57,94,287,.395,.282,.842,11.7,3.0,1.5,0.9
Ryan Kelly,"01/10/14, LAL @ LAC",22,4,163,3125,324,857,102,323,231,290,77,504,215,79,84,106,309,981,.378,.316,.797,19.2,6.0,3.1,1.3
Ognjen Kuzmic,"01/2/15, GSW vs. TOR",23,2,37,164,13,25,0,0,9,15,17,38,8,5,5,15,30,35,.520,,.600,4.4,0.9,1.0,0.2
Shane Larkin,"01/1/14, DAL @ WAS",21,4,256,4880,545,1290,117,348,192,247,83,490,737,243,24,301,375,1399,.422,.336,.777,19.1,5.5,1.9,2.9
Ricky Ledo,"01/10/14, DAL @ NOP",21,2,28,277,38,113,13,35,20,26,16,38,21,7,1,28,23,109,.336,.371,.769,9.9,3.9,1.4,0.8
Alex Len,"01/10/14, PHO @ MEM",20,6,383,7601,1112,2293,30,111,666,948,797,2455,307,159,391,498,1038,2920,.485,.270,.703,19.8,7.6,6.4,0.8
Ray McCallum,"01/1/15, SAC @ MIN",22,3,154,2808,374,916,71,212,101,142,78,306,368,79,27,148,190,920,.408,.335,.711,18.2,6.0,2.0,2.4
CJ McCollum,"01/1/17, POR @ MIN",22,6,392,11681,2654,5830,765,1910,858,1022,225,1205,1128,345,128,683,814,6931,.455,.401,.840,29.8,17.7,3.1,2.9
Ben McLemore,"01/1/15, SAC @ MIN",20,6,368,8725,1175,2821,439,1243,450,575,174,909,407,247,71,461,829,3239,.417,.353,.783,23.7,8.8,2.5,1.1
