Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Rasho Nesterovic,C,26,MIN,77,77,30.4,5.2,9.9,.525,0.0,0.0,.000,5.2,9.9,.526,.525,0.8,1.2,.642,1.9,4.6,6.5,1.5,0.5,1.5,1.3,3.3,11.2
Ira Newble,SF,28,ATL,73,45,26.5,3.2,6.4,.495,0.4,1.2,.381,2.7,5.2,.520,.529,1.0,1.2,.778,1.2,2.5,3.7,1.4,0.7,0.4,0.9,2.4,7.7
Moochie Norris,PG,29,HOU,82,3,16.8,1.6,4.0,.406,0.1,0.5,.244,1.5,3.5,.432,.423,1.0,1.4,.684,0.5,1.5,1.9,2.4,0.7,0.0,1.0,0.9,4.4
Dirk Nowitzki,PF,24,DAL,80,80,39.0,8.6,18.6,.463,1.9,4.9,.379,6.8,13.7,.493,.513,6.0,6.9,.881,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1
Jermaine O'Neal,PF,24,IND,77,76,37.2,7.9,16.4,.484,0.1,0.3,.333,7.8,16.1,.487,.487,4.8,6.6,.731,2.6,7.7,10.3,2.0,0.9,2.3,2.3,3.6,20.8
,C,30,LAL,67,66,37.8,10.4,18.1,.574,0.0,0.0,,10.4,18.1,.574,.574,6.7,10.8,.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5
Charles Oakley,C,39,WAS,42,1,12.2,0.5,1.3,.418,0.0,0.0,,0.5,1.3,.418,.418,0.7,0.8,.824,0.9,1.7,2.5,1.0,0.3,0.1,0.5,2.1,1.8
Lamar Odom,SF,23,LAC,49,47,34.3,5.5,12.5,.439,0.9,2.6,.326,4.6,9.8,.469,.473,2.8,3.6,.777,1.2,5.4,6.7,3.6,0.9,0.8,2.9,3.7,14.6
Mehmet Okur,PF,23,DET,72,9,19.0,2.5,5.9,.426,0.5,1.6,.339,2.0,4.3,.457,.470,1.3,1.8,.733,1.6,3.0,4.7,1.0,0.3,0.5,0.9,2.3,6.9
Dean Oliver,PG,24,GSW,15,0,6.2,0.5,1.9,.241,0.1,0.4,.167,0.4,1.5,.261,.259,0.5,0.5,.875,0.5,0.5,1.1,1.5,0.5,0.0,0.7,0.6,1.5
Kevin Ollie,PG,30,TOT,82,5,23.1,2.4,5.4,.451,0.0,0.1,.333,2.4,5.3,.453,.454,1.6,2.2,.753,0.3,1.9,2.2,3.5,0.8,0.1,0.9,1.5,6.5
Kevin Ollie,PG,30,MIL,53,4,21.3,2.2,4.8,.459,0.0,0.1,.200,2.2,4.7,.464,.461,1.3,1.7,.747,0.2,1.6,1.9,3.4,0.7,0.1,0.7,1.3,5.7
Kevin Ollie,PG,30,SEA,29,1,26.6,2.8,6.4,.441,0.0,0.0,1.000,2.8,6.4,.438,.444,2.3,3.0,.759,0.4,2.4,2.9,3.8,1.1,0.0,1.2,1.8,8.0
Michael Olowokandi,C,27,LAC,36,36,38.0,5.2,12.1,.427,0.0,0.0,,5.2,12.1,.427,.427,1.9,2.9,.657,1.6,7.5,9.1,1.3,0.5,2.2,2.7,3.1,12.3
Greg Ostertag,C,29,UTA,81,74,23.8,2.1,4.0,.518,0.0,0.0,,2.1,4.0,.518,.518,1.2,2.4,.510,2.2,4.0,6.2,0.7,0.2,1.8,1.3,2.9,5.4
Bo Outlaw,C,31,PHO,80,20,22.5,1.9,3.5,.550,0.0,0.0,.000,1.9,3.5,.554,.550,0.9,1.5,.621,1.7,2.9,4.6,1.4,0.6,0.9,1.0,2.4,4.7
Chris Owens,SF,23,MEM,1,0,6.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
Olumide Oyedeji,C,21,ORL,27,3,5.4,0.4,0.9,.435,0.0,0.0,,0.4,0.9,.435,.435,0.3,0.4,.636,0.4,1.5,1.9,0.2,0.2,0.1,0.2,1.1,1.0
Robert Pack,PG,33,NOH,28,4,15.7,1.9,4.6,.403,0.0,0.2,.000,1.9,4.4,.419,.403,1.5,2.0,.745,0.4,1.4,1.8,2.9,0.9,0.0,1.4,1.3,5.2
Scott Padgett,PF,26,UTA,82,2,16.1,2.1,5.2,.402,0.5,1.6,.338,1.5,3.5,.431,.455,1.0,1.3,.757,1.0,2.3,3.3,1.0,0.5,0.3,0.9,1.8,5.7
Milt Palacio,PG,24,CLE,80,46,24.7,2.0,4.9,.418,0.1,0.5,.216,1.9,4.4,.439,.428,0.8,1.1,.747,0.6,2.3,2.9,3.2,0.9,0.2,1.6,2.1,5.0
Jannero Pargo,PG,23,LAL,34,0,10.1,1.1,2.7,.398,0.2,0.7,.292,0.9,2.0,.435,.435,0.1,0.1,1.000,0.3,0.8,1.1,1.1,0.4,0.1,0.7,1.3,2.5
Smush Parker,PG,21,CLE,66,18,16.7,2.1,5.1,.402,0.6,1.8,.322,1.5,3.3,.445,.459,1.5,1.8,.831,0.4,1.4,1.8,2.5,0.7,0.2,2.0,1.6,6.2
Tony Parker,PG,20,SAS,82,82,33.8,5.9,12.7,.464,1.0,3.0,.337,4.9,9.8,.503,.503,2.7,3.5,.755,0.4,2.2,2.6,5.3,0.9,0.0,2.4,2.1,15.5
Cherokee Parks,PF,30,LAC,30,18,21.6,2.7,5.4,.503,0.0,0.1,.500,2.7,5.4,.503,.506,0.8,1.3,.605,1.5,2.9,4.4,0.7,0.5,0.7,0.6,1.7,6.3
Ruben Patterson,SF,27,POR,78,17,21.2,3.3,6.6,.492,0.0,0.3,.150,3.2,6.4,.506,.495,1.8,2.8,.627,1.5,1.8,3.4,1.3,0.9,0.4,1.5,2.1,8.3
,PG,34,TOT,80,80,40.1,8.3,18.3,.454,0.7,2.3,.297,7.6,16.1,.476,.472,3.1,4.4,.710,1.0,3.2,4.2,8.3,1.7,0.3,2.3,2.3,20.4
,PG,34,SEA,52,52,40.8,8.5,19.1,.448,0.7,2.2,.298,7.9,16.9,.467,.465,3.1,4.5,.692,1.1,3.7,4.8,8.8,1.8,0.2,2.5,2.3,20.8
,PG,34,MIL,28,28,38.8,7.9,16.9,.466,0.7,2.4,.294,7.2,14.5,.495,.487,3.1,4.2,.746,0.8,2.3,3.1,7.4,1.4,0.3,2.0,2.3,19.6
Anthony Peeler,SG,33,MIN,82,39,27.4,3.1,7.4,.414,1.1,2.6,.410,2.0,4.8,.416,.485,0.5,0.6,.780,0.5,2.5,2.9,3.0,0.9,0.2,1.0,2.0,7.7
Wesley Person,SG,31,MEM,66,44,29.4,4.2,9.1,.456,1.5,3.5,.433,2.6,5.6,.470,.539,1.2,1.5,.814,0.4,2.5,2.9,1.7,0.6,0.3,0.8,1.0,11.0
