Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Mark Strickland,SF,32,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.0,0.0,,1.3,0.5,1.8,0.0,0.0,0.0,0.3,0.3,1.0
Rod Strickland,PG,36,MIN,47,8,20.3,2.6,5.9,.432,0.0,0.2,.091,2.5,5.7,.446,.433,1.7,2.3,.738,0.4,1.6,2.0,4.6,1.0,0.1,1.6,1.2,6.8
Bruno Sundov,C,22,BOS,26,0,5.3,0.5,2.2,.250,0.2,0.6,.250,0.4,1.5,.250,.286,0.0,0.1,.000,0.3,0.8,1.1,0.3,0.2,0.1,0.3,0.9,1.2
Bob Sura,SG,29,GSW,55,0,20.5,2.5,6.0,.412,0.5,1.5,.329,1.9,4.4,.440,.454,1.9,2.7,.696,1.1,2.0,3.0,3.2,0.8,0.0,1.5,2.0,7.3
Stromile Swift,PF,23,MEM,67,26,22.1,3.5,7.3,.481,0.0,0.0,.000,3.5,7.3,.483,.481,2.6,3.7,.722,1.7,4.0,5.7,0.7,0.8,1.6,1.5,2.3,9.7
Wally Szczerbiak,SF,25,MIN,52,42,35.3,6.8,14.0,.481,1.2,2.8,.421,5.6,11.2,.497,.523,2.9,3.3,.867,1.0,3.6,4.6,2.6,0.8,0.4,1.7,2.4,17.6
Maurice Taylor,PF,26,HOU,67,9,20.6,3.4,8.0,.432,0.0,0.0,.000,3.4,8.0,.433,.432,1.5,2.1,.725,1.4,2.1,3.6,1.0,0.3,0.3,1.5,2.3,8.4
Jason Terry,PG,25,ATL,81,81,38.0,6.0,14.1,.428,2.0,5.3,.371,4.0,8.8,.462,.498,3.2,3.6,.887,0.5,3.0,3.4,7.4,1.6,0.2,3.1,2.2,17.2
Etan Thomas,PF,24,WAS,38,0,13.5,1.6,3.3,.492,0.0,0.0,,1.6,3.3,.492,.492,1.6,2.5,.638,1.8,2.5,4.3,0.1,0.2,0.6,0.9,1.7,4.8
Kenny Thomas,PF,25,TOT,66,42,30.0,3.9,8.5,.465,0.0,0.0,,3.9,8.5,.465,.465,2.2,3.0,.746,2.8,5.2,8.0,1.7,0.9,0.4,1.8,2.6,10.1
Kenny Thomas,PF,25,HOU,20,14,29.3,4.1,9.5,.432,0.0,0.0,,4.1,9.5,.432,.432,1.7,2.3,.733,2.3,4.6,6.9,2.0,0.8,0.3,2.0,2.5,9.9
Kenny Thomas,PF,25,PHI,46,28,30.3,3.9,8.0,.482,0.0,0.0,,3.9,8.0,.482,.482,2.5,3.3,.750,3.0,5.5,8.5,1.6,1.0,0.5,1.7,2.6,10.2
Kurt Thomas,C,30,NYK,81,81,31.8,6.1,12.7,.483,0.0,0.0,.667,6.1,12.7,.483,.484,1.7,2.3,.750,2.0,5.9,7.9,2.0,1.0,1.2,1.7,4.2,14.0
Tim Thomas,SF,25,MIL,80,70,29.5,5.2,11.6,.443,1.2,3.3,.366,3.9,8.3,.474,.495,1.8,2.3,.780,1.2,3.7,4.9,1.3,0.9,0.6,1.7,3.2,13.3
Jamaal Tinsley,PG,24,IND,73,69,30.6,3.0,7.6,.396,0.6,2.3,.277,2.4,5.3,.446,.437,1.1,1.5,.714,0.8,2.8,3.6,7.5,1.7,0.2,2.6,2.8,7.8
Oscar Torres,SG,26,GSW,17,0,6.4,0.9,2.1,.444,0.4,0.8,.538,0.5,1.4,.391,.542,0.8,1.2,.700,0.2,0.5,0.7,0.2,0.2,0.1,0.5,0.5,3.1
Robert Traylor,C,25,NOH,69,0,12.3,1.5,3.4,.443,0.0,0.0,.333,1.5,3.4,.444,.445,0.8,1.3,.648,1.6,2.2,3.8,0.7,0.7,0.5,0.8,2.2,3.9
Gary Trent,SF,28,MIN,80,22,15.3,2.6,4.9,.535,0.0,0.0,.000,2.6,4.8,.537,.535,0.8,1.3,.594,1.3,2.3,3.6,1.0,0.4,0.3,0.7,1.8,6.0
Jeff Trepagnier,SG,23,DEN,8,0,12.1,2.1,5.0,.425,0.5,1.0,.500,1.6,4.0,.406,.475,0.9,0.9,1.000,1.0,1.0,2.0,0.8,1.0,0.0,1.0,0.6,5.6
Cezary Trybanski,C,23,MEM,15,0,5.7,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.400,0.4,0.5,0.9,0.1,0.0,0.4,0.5,0.9,0.9
Jake Tsakalidis,C,23,PHO,33,27,16.5,1.8,4.1,.452,0.0,0.0,,1.8,4.1,.452,.452,1.2,1.8,.672,1.4,2.3,3.7,0.4,0.2,0.5,0.8,2.4,4.9
Nikoloz Tskitishvili,SF,19,DEN,81,16,16.3,1.4,4.9,.293,0.5,1.9,.243,1.0,3.0,.324,.340,0.6,0.8,.738,0.8,1.4,2.2,1.1,0.4,0.4,1.0,1.7,3.9
Hedo Turkoglu,SF,23,SAC,67,11,17.5,2.5,5.8,.422,0.4,1.2,.372,2.0,4.7,.435,.459,1.3,1.6,.800,0.5,2.3,2.8,1.3,0.4,0.2,0.7,1.9,6.7
Nick Van Exel,SG,31,DAL,73,1,27.8,4.7,11.4,.412,1.6,4.3,.378,3.1,7.1,.432,.483,1.5,2.0,.764,0.5,2.4,2.8,4.3,0.6,0.1,1.7,1.2,12.5
Keith Van Horn,PF,27,PHI,74,73,31.6,6.2,12.9,.482,0.9,2.4,.369,5.3,10.5,.508,.516,2.6,3.2,.804,2.1,4.9,7.1,1.3,0.9,0.4,2.0,3.4,15.9
Jacque Vaughn,PG,27,ORL,80,48,21.1,2.3,5.1,.448,0.1,0.4,.235,2.2,4.7,.467,.457,1.2,1.6,.776,0.3,1.2,1.5,2.9,0.8,0.0,1.2,2.1,5.9
Jake Voskuhl,C,25,PHO,65,1,14.6,1.4,2.5,.564,0.0,0.0,,1.4,2.5,.564,.564,1.0,1.5,.667,1.5,2.0,3.5,0.6,0.3,0.4,0.7,2.6,3.8
Dajuan Wagner,SG,19,CLE,47,24,29.5,4.7,12.9,.369,1.2,3.7,.316,3.6,9.2,.390,.414,2.7,3.4,.800,0.4,1.3,1.7,2.8,0.8,0.1,1.8,2.3,13.4
Antoine Walker,PF,26,BOS,78,78,41.5,7.7,19.9,.388,2.4,7.5,.323,5.3,12.5,.427,.449,2.3,3.7,.615,1.3,5.9,7.2,4.8,1.5,0.4,3.3,2.8,20.1
Samaki Walker,C,26,LAL,67,39,18.6,1.7,4.1,.420,0.0,0.0,.000,1.7,4.1,.421,.420,1.0,1.5,.653,1.7,3.8,5.5,1.0,0.3,0.8,0.8,2.1,4.4
Ben Wallace,C,28,DET,73,73,39.4,2.9,6.0,.481,0.0,0.1,.167,2.9,5.9,.485,.482,1.2,2.6,.450,4.0,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9
Gerald Wallace,SF,20,SAC,47,7,12.1,1.9,3.9,.492,0.0,0.1,.250,1.9,3.8,.497,.495,0.8,1.6,.527,0.8,1.9,2.7,0.5,0.5,0.3,0.9,1.4,4.7
Rasheed Wallace,PF,28,POR,74,74,36.3,7.0,14.8,.471,1.5,4.1,.358,5.5,10.6,.515,.521,2.7,3.7,.735,1.5,5.9,7.4,2.1,0.9,1.0,1.9,3.0,18.1
Charlie Ward,PG,32,NYK,66,6,22.2,2.5,6.3,.399,1.5,4.0,.378,1.0,2.2,.435,.521,0.6,0.8,.774,0.4,2.3,2.7,4.6,1.2,0.2,1.4,2.2,7.2
Earl Watson,PG,23,MEM,79,2,17.3,2.2,4.9,.435,0.4,1.2,.341,1.8,3.8,.463,.474,0.8,1.1,.721,0.6,1.5,2.1,2.8,1.1,0.2,1.1,1.7,5.5
Clarence Weatherspoon,PF,32,NYK,79,19,25.6,2.4,5.2,.449,0.0,0.0,,2.4,5.2,.449,.449,1.9,2.5,.768,2.7,4.9,7.6,0.9,0.9,0.5,0.8,2.2,6.6
Chris Webber,PF,29,SAC,67,67,39.1,9.9,21.4,.461,0.1,0.3,.238,9.8,21.1,.465,.463,3.2,5.3,.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,3.0,23.0
Bonzi Wells,SG,26,POR,75,65,31.9,5.8,13.2,.441,0.5,1.7,.292,5.3,11.5,.464,.461,3.0,4.2,.722,1.3,3.9,5.3,3.3,1.6,0.2,2.9,2.9,15.2
Jiri Welsch,SF,23,GSW,37,0,6.3,0.5,2.0,.253,0.0,0.1,.250,0.5,1.9,.254,.260,0.6,0.8,.759,0.3,0.4,0.8,0.7,0.2,0.1,0.5,0.9,1.6
David Wesley,SG,32,NOH,73,73,37.1,6.2,14.2,.433,1.8,4.3,.424,4.3,9.9,.437,.498,2.5,3.2,.781,0.5,1.9,2.4,3.4,1.5,0.1,1.8,2.4,16.7
Jahidi White,C,26,WAS,16,8,14.4,1.6,3.3,.472,0.0,0.0,,1.6,3.3,.472,.472,1.1,1.6,.680,2.3,2.3,4.6,0.1,0.1,0.8,0.6,2.1,4.2
Rodney White,SG,22,DEN,72,19,21.7,3.6,8.9,.408,0.4,1.9,.239,3.2,7.0,.452,.433,1.4,1.7,.784,0.6,2.4,3.0,1.7,0.6,0.4,2.2,1.9,9.0
Chris Whitney,PG,31,TOT,51,21,20.6,2.4,6.8,.355,1.0,3.2,.305,1.5,3.6,.400,.427,1.1,1.4,.826,0.1,1.3,1.3,2.8,0.6,0.0,1.4,1.8,7.0
Chris Whitney,PG,31,DEN,29,20,26.3,3.2,9.0,.360,1.5,4.4,.336,1.8,4.6,.383,.443,1.6,2.0,.807,0.0,1.6,1.6,4.3,0.6,0.0,1.9,2.7,9.6
Chris Whitney,PG,31,ORL,22,1,13.2,1.4,4.0,.341,0.3,1.6,.194,1.0,2.4,.442,.381,0.5,0.5,.917,0.1,0.9,1.0,1.0,0.5,0.0,0.7,0.7,3.5
Chris Wilcox,PF,20,LAC,46,3,10.4,1.6,3.0,.521,0.0,0.0,,1.6,3.0,.521,.521,0.5,1.1,.500,0.7,1.6,2.3,0.5,0.2,0.3,0.6,1.4,3.7
Mike Wilks,PG-SG,23,TOT,46,7,15.0,1.1,3.2,.338,0.2,0.8,.286,0.9,2.5,.354,.372,0.8,1.0,.787,0.4,1.1,1.5,2.0,0.6,0.1,0.6,1.5,3.2
Mike Wilks,SG,23,ATL,15,7,24.3,1.9,5.4,.358,0.4,1.1,.353,1.5,4.3,.359,.395,1.4,1.9,.724,0.6,2.1,2.7,2.8,1.1,0.1,1.1,2.5,5.7
Mike Wilks,PG,23,MIN,31,0,10.5,0.7,2.2,.313,0.1,0.6,.222,0.5,1.6,.347,.343,0.5,0.6,.889,0.4,0.6,1.0,1.6,0.4,0.1,0.4,1.0,2.0
Aaron Williams,C,31,NJN,81,0,19.7,2.5,5.4,.453,0.0,0.0,.000,2.5,5.4,.454,.453,1.3,1.6,.785,1.7,2.4,4.1,1.1,0.3,0.7,1.0,2.5,6.2
Alvin Williams,PG,28,TOR,78,78,33.8,5.1,11.6,.438,0.6,1.9,.329,4.5,9.7,.458,.464,2.4,3.1,.782,0.7,2.4,3.1,5.3,1.4,0.3,1.6,2.2,13.2
Brandon Williams,SF,27,ATL,6,0,3.2,0.2,1.2,.143,0.0,0.2,.000,0.2,1.0,.167,.143,0.0,0.0,,0.3,0.0,0.3,0.0,0.3,0.0,0.5,0.7,0.3
Eric Williams,SF,30,BOS,82,79,28.7,3.1,7.0,.442,0.5,1.3,.336,2.6,5.7,.467,.474,2.5,3.3,.750,1.7,2.9,4.7,1.7,1.0,0.2,1.2,2.9,9.1
Frank Williams,PG,22,NYK,21,0,8.0,0.4,1.6,.273,0.3,0.8,.375,0.1,0.8,.176,.364,0.2,0.3,.667,0.1,0.7,0.9,1.6,0.3,0.1,0.8,1.0,1.3
Jason Williams,PG,27,MEM,76,76,31.7,4.4,11.3,.388,1.9,5.3,.354,2.5,6.0,.418,.471,1.4,1.7,.840,0.3,2.5,2.8,8.3,1.2,0.1,2.2,1.7,12.1
Jay Williams,PG,21,CHI,75,54,26.1,3.6,9.1,.399,0.9,2.7,.322,2.8,6.4,.431,.446,1.4,2.1,.640,0.4,2.2,2.6,4.7,1.1,0.2,2.3,2.4,9.5
Jerome Williams,PF,29,TOR,71,63,33.0,3.8,7.5,.499,0.0,0.1,.167,3.7,7.5,.503,.500,2.2,4.0,.555,3.3,5.9,9.2,1.3,1.6,0.4,1.4,2.8,9.7
Monty Williams,SF,31,PHI,21,2,13.1,1.6,3.8,.425,0.0,0.1,.000,1.6,3.7,.436,.425,1.1,1.5,.750,0.6,1.6,2.1,1.2,0.6,0.2,0.8,1.6,4.4
Scott Williams,C,34,PHO,69,33,12.6,1.7,4.2,.411,0.0,0.0,.000,1.7,4.2,.414,.411,0.5,0.6,.786,1.0,1.8,2.8,0.3,0.4,0.3,0.5,2.3,4.0
Shammond Williams,PG,27,TOT,78,11,24.1,2.9,7.4,.394,1.2,3.3,.356,1.7,4.1,.425,.474,1.0,1.3,.765,0.3,1.9,2.2,3.4,1.0,0.1,1.5,1.8,8.0
Shammond Williams,PG,27,BOS,51,2,22.9,2.6,6.6,.396,1.1,3.1,.352,1.5,3.5,.436,.479,0.9,1.1,.842,0.2,1.9,2.2,2.5,1.2,0.1,1.2,1.6,7.3
Shammond Williams,PG,27,DEN,27,9,26.4,3.5,8.9,.390,1.4,3.8,.363,2.1,5.1,.410,.467,1.1,1.7,.667,0.4,1.8,2.3,5.1,0.6,0.1,2.0,2.1,9.4
Walt Williams,SF,32,DAL,66,1,17.6,2.0,5.2,.393,1.0,2.6,.374,1.1,2.6,.412,.487,0.5,0.8,.620,0.8,2.3,3.1,0.9,0.6,0.4,0.5,2.1,5.5
Corliss Williamson,SF,29,DET,82,1,25.1,4.6,10.1,.453,0.0,0.1,.182,4.5,9.9,.456,.454,2.9,3.7,.790,1.8,2.6,4.4,1.3,0.5,0.3,1.5,2.9,12.0
Kevin Willis,C,40,SAS,71,6,11.8,1.7,3.6,.479,0.0,0.0,.000,1.7,3.6,.482,.479,0.7,1.2,.614,1.2,2.0,3.2,0.3,0.3,0.3,0.8,1.7,4.2
Ruben Wolkowyski,PF,29,BOS,7,0,3.4,0.3,0.6,.500,0.0,0.1,.000,0.3,0.4,.667,.500,0.1,0.6,.250,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.4,0.7
Loren Woods,C,24,MIN,38,11,9.3,0.8,2.0,.382,0.0,0.1,.333,0.7,1.9,.384,.388,0.6,0.7,.778,0.7,1.8,2.5,0.5,0.3,0.3,0.6,1.0,2.1
Qyntel Woods,PF,21,POR,53,0,6.3,1.1,2.2,.500,0.1,0.2,.333,1.1,2.1,.514,.513,0.1,0.4,.350,0.3,0.7,1.0,0.2,0.3,0.0,0.4,0.7,2.4
Metta World Peace,SF,23,IND,69,67,33.6,5.2,12.3,.428,1.0,3.1,.336,4.2,9.2,.458,.470,4.0,5.4,.736,1.5,3.8,5.2,2.9,2.3,0.7,2.1,3.5,15.5
Lorenzen Wright,C,27,MEM,70,49,28.3,4.6,10.2,.454,0.0,0.1,.000,4.6,10.2,.457,.454,2.1,3.2,.659,2.4,5.1,7.5,1.1,0.7,0.8,1.6,3.0,11.4
Vincent Yarbrough,SG,21,DEN,59,39,23.4,2.8,7.3,.393,0.4,1.3,.269,2.5,5.9,.420,.417,0.8,1.1,.790,0.6,2.1,2.7,2.2,1.0,0.6,1.4,2.5,6.9
Wang Zhizhi,C,25,LAC,41,1,10.0,1.5,4.0,.383,0.4,1.1,.340,1.1,2.8,.400,.432,1.0,1.4,.724,0.6,1.2,1.9,0.2,0.2,0.2,0.8,1.0,4.4
