Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Steve Nash,PHO,27:34,1,2,0,0,0,0,1,4,5,6,1,0,2,2,2,.500,,
Tracy McGrady,HOU,26:40,15,26,4,10,2,7,0,0,0,2,1,0,1,1,36,.577,.400,.286
Kobe Bryant,LAL,26:15,4,11,0,5,0,0,0,7,7,8,3,0,3,5,8,.364,.000,
Tim Duncan,SAS,20:55,6,7,0,0,3,3,6,4,10,1,1,1,5,2,15,.857,,1.000
Yao Ming,HOU,19:14,2,5,0,0,1,2,0,2,2,1,1,0,0,2,5,.400,,.500
Tony Parker,SAS,20:26,3,8,0,1,2,2,0,0,0,4,0,0,5,1,8,.375,.000,1.000
Ray Allen,SEA,18:00,4,13,0,7,0,0,0,2,2,1,0,0,1,2,8,.308,.000,
Shawn Marion,PHO,17:15,5,9,0,0,4,7,4,4,8,0,1,1,0,1,14,.556,,.571
Elton Brand,LAC,16:41,6,11,0,0,0,0,3,4,7,0,1,0,3,2,12,.545,,
Kevin Garnett,MIN,16:24,1,9,0,0,0,0,2,7,9,4,1,0,2,1,2,.111,,
Dirk Nowitzki,DAL,16:23,4,8,0,3,2,3,3,3,6,0,0,0,0,2,10,.500,.000,.667
Pau Gasol,MEM,14:13,0,3,0,0,0,0,6,6,12,1,0,0,1,1,0,.000,,
Dwyane Wade,MIA,30:39,9,11,0,0,2,2,3,1,4,3,2,1,3,1,20,.818,,1.000
LeBron James,CLE,30:34,12,21,4,10,1,5,2,4,6,2,2,0,1,2,29,.571,.400,.200
Allen Iverson,PHI,26:14,5,14,0,0,2,4,0,2,2,2,0,0,3,0,12,.357,,.500
Shaquille O'Neal,MIA,22:34,7,9,0,0,3,5,3,6,9,4,1,0,2,5,17,.778,,.600
Vince Carter,NJN,17:40,2,5,0,0,1,2,1,3,4,2,1,0,2,3,5,.400,,.500
Ben Wallace,DET,24:18,0,1,0,0,0,2,0,8,8,2,3,2,0,3,0,.000,,.000
Rasheed Wallace,DET,17:19,1,6,0,4,0,0,0,2,2,0,1,0,0,1,2,.167,.000,
Chris Bosh,TOR,16:35,3,7,0,0,2,3,2,6,8,2,0,0,1,1,8,.429,,.667
Chauncey Billups,DET,15:48,6,10,2,5,1,1,0,4,4,7,0,0,2,1,15,.600,.400,1.000
Paul Pierce,BOS,15:00,3,6,0,0,1,2,0,2,2,1,1,0,0,0,7,.500,,.500
Richard Hamilton,DET,13:28,3,7,0,0,0,0,0,0,0,1,0,0,1,1,6,.429,,
Gilbert Arenas,WAS,9:51,0,4,0,2,1,2,0,0,0,1,1,0,1,1,1,.000,.000,.500
Jermaine O'Neal,IND,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
