Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dwight Howard,23,ORL,105.0,542.0,595,0.911,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234
LeBron James,24,CLE,4.0,148.0,595,0.249,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318
Dwyane Wade,27,MIA,3.0,90.0,595,0.151,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232
Shane Battier,30,HOU,2.0,71.0,595,0.119,60,33.9,7.3,4.8,2.3,0.8,0.9,.410,.384,.821,5.2,.123
Metta World Peace,29,HOU,1.0,54.0,595,0.091,69,35.5,17.1,5.2,3.3,1.5,0.3,.401,.399,.748,5.5,.108
Chris Paul,23,NOH,1.0,49.0,595,0.082,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292
Kobe Bryant,30,LAL,2.0,43.0,595,0.072,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206
Kevin Garnett,32,BOS,1.0,31.0,595,0.052,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,.250,.841,7.1,.193
Chris Andersen,30,DEN,0.0,10.0,595,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176
Rajon Rondo,22,BOS,0.0,8.0,595,0.013,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179
Tim Duncan,32,SAS,0.0,7.0,595,0.012,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191
Raja Bell,32,TOT,0.0,4.0,595,0.007,67,34.6,11.9,3.6,2.1,0.7,0.1,.437,.421,.853,3.6,.074
Andre Iguodala,25,PHI,0.0,3.0,595,0.005,82,39.9,18.8,5.7,5.3,1.6,0.4,.473,.307,.724,9.2,.134
Anderson Varejao,26,CLE,0.0,3.0,595,0.005,81,28.5,8.6,7.2,1.0,0.9,0.8,.536,.000,.616,8.0,.166
Ronny Turiaf,26,GSW,0.0,2.0,595,0.003,79,21.5,5.9,4.6,2.1,0.4,2.1,.508,.000,.790,3.6,.101
Trevor Ariza,23,LAL,0.0,1.0,595,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146
Marcus Camby,34,LAC,0.0,1.0,595,0.002,62,31.0,10.3,11.1,2.0,0.8,2.1,.512,.250,.725,5.2,.129
Grant Hill,36,PHO,0.0,1.0,595,0.002,82,29.8,12.0,4.9,2.3,1.1,0.7,.523,.316,.808,5.3,.104
Joel Przybilla,29,POR,0.0,1.0,595,0.002,82,23.8,5.5,8.7,0.3,0.4,1.2,.625,.000,.663,6.6,.163
Josh Smith,23,ATL,0.0,1.0,595,0.002,69,35.1,15.6,7.2,2.4,1.4,1.6,.492,.299,.588,4.9,.097
Hedo Turkoglu,29,ORL,0.0,1.0,595,0.002,77,36.6,16.8,5.3,4.9,0.8,0.2,.413,.356,.807,7.3,.125
