Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Miami Heat,29.0,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,.363,.235,.573,.524,13.5,25.2,.279,.475,12.6,75.5,.223,AmericanAirlines Arena,810930,19779
Chicago Bulls,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,.305,.215,.541,.501,13.5,29.4,.227,.463,13.6,76.2,.222,United Center,893462,21792
Los Angeles Lakers,30.2,57,25,58,24,6.11,-0.10,6.01,111.0,104.3,6.7,90.7,.293,.220,.545,.502,12.3,29.2,.228,.477,12.8,72.3,.181,STAPLES Center,778877,18997
San Antonio Spurs,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,.299,.261,.567,.527,12.8,24.9,.229,.491,12.6,74.6,.190,AT&T Center,750879,18314
Orlando Magic,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,5.9,91.2,.328,.328,.554,.521,14.3,26.1,.227,.475,13.3,76.9,.219,Amway Center,777852,18972
Boston Celtics,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,.305,.180,.561,.519,14.5,21.1,.235,.469,14.8,74.7,.235,TD Garden,763584,18624
Denver Nuggets,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,5.0,95.6,.367,.258,.574,.526,13.1,23.9,.281,.500,12.7,75.4,.224,Pepsi Center,696568,16989
Dallas Mavericks,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105.0,4.7,91.3,.286,.274,.565,.525,13.6,24.1,.222,.488,13.0,74.8,.206,American Airlines Center,824162,20102
Oklahoma City Thunder,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,4.0,92.7,.363,.212,.561,.501,13.1,27.4,.299,.493,12.9,73.6,.228,Chesapeake Energy Arena,744068,18148
Memphis Grizzlies,25.2,46,36,48,34,2.34,0.20,2.55,107.6,105.1,2.5,91.9,.291,.136,.534,.493,13.0,28.9,.218,.502,15.7,72.5,.228,FedEx Forum,600687,14651
Houston Rockets,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109.0,2.3,94.2,.299,.264,.550,.503,12.3,27.4,.239,.500,12.6,72.7,.219,Toyota Center,663839,16191
Portland Trail Blazers,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,.278,.228,.533,.486,12.6,29.5,.224,.510,15.4,72.0,.231,Rose Garden Arena,840924,20510
New Orleans Hornets,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,1.0,88.7,.296,.192,.537,.493,12.8,25.1,.226,.501,14.4,76.2,.220,New Orleans Arena,603088,14709
Philadelphia 76ers,24.7,41,41,45,37,1.50,-0.50,1.01,106.6,105.0,1.6,91.7,.273,.184,.535,.494,12.3,24.6,.210,.487,13.5,74.5,.231,Wells Fargo Center,604823,14752
New York Knicks,25.3,42,40,43,39,0.78,-0.30,0.48,110.9,110.1,0.8,95.6,.304,.303,.561,.513,12.6,24.2,.246,.511,13.8,71.9,.240,Madison Square Garden (IV),808879,19729
Phoenix Suns,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,.283,.271,.559,.522,13.2,23.7,.215,.513,13.1,71.6,.211,US Airways Center,720249,17567
Milwaukee Bucks,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,.287,.216,.511,.467,13.0,24.7,.217,.481,14.7,74.8,.236,Bradley Center,631912,15412
Atlanta Hawks,27.4,44,38,39,43,-0.82,-0.28,-1.10,106.1,107.0,-0.9,89.3,.269,.222,.542,.501,13.5,23.4,.209,.495,12.3,74.6,.211,Philips Arena,641596,15649
Indiana Pacers,25.9,37,45,38,44,-1.07,-0.30,-1.38,104.8,106.0,-1.2,94.7,.300,.244,.533,.486,14.1,25.9,.235,.487,12.8,74.1,.237,Conseco Fieldhouse,555077,13538
Utah Jazz,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,.313,.191,.544,.498,13.5,27.0,.241,.505,13.8,71.7,.275,EnergySolutions Arena,799982,19512
Golden State Warriors,25.2,36,46,35,47,-2.33,0.33,-2.00,108.2,110.7,-2.5,94.8,.241,.248,.544,.510,13.3,26.7,.183,.509,14.5,69.3,.259,Oracle Arena,766398,18693
Los Angeles Clippers,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,.332,.230,.535,.496,15.1,28.4,.234,.499,12.8,73.2,.250,STAPLES Center,727462,17743
Detroit Pistons,27.2,30,52,31,51,-3.60,-0.18,-3.78,107.7,111.7,-4.0,89.2,.279,.189,.533,.495,12.5,27.4,.206,.526,13.8,72.1,.235,The Palace of Auburn Hills,683080,16660
Charlotte Bobcats,26.9,34,48,29,53,-4.00,-0.08,-4.08,103.4,107.8,-4.4,89.6,.314,.189,.528,.482,14.1,25.7,.237,.500,12.9,75.2,.229,Time Warner Cable Arena,649694,15846
