Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Pau Gasol,21,MEM,117.0,117.0,126,0.929,82,36.7,17.6,8.9,2.7,0.5,2.1,.518,.200,.709,7.6,.121
Richard Jefferson,21,NJN,3.0,3.0,126,0.024,79,24.3,9.4,3.7,1.8,0.8,0.6,.457,.232,.713,4.7,.117
Andrei Kirilenko,20,UTA,2.0,2.0,126,0.016,82,26.2,10.7,4.9,1.1,1.4,1.9,.450,.250,.768,7.3,.164
Jason Richardson,21,GSW,2.0,2.0,126,0.016,80,32.9,14.4,4.3,3.0,1.3,0.4,.426,.333,.671,2.9,.052
Jamaal Tinsley,23,IND,2.0,2.0,126,0.016,80,30.5,9.4,3.7,8.1,1.7,0.5,.380,.240,.704,1.7,.033
