Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
San Antonio Spurs,30.4,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,.313,.247,.561,.521,13.6,24.2,.235,.471,14.0,75.7,.201,AT&T Center,764823,18654
Dallas Mavericks,28.1,67,15,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,.317,.218,.559,.509,13.4,28.7,.256,.477,14.2,75.0,.265,American Airlines Center,834411,20351
Phoenix Suns,27.6,61,21,59,23,7.30,-0.03,7.28,113.9,106.4,7.5,95.6,.267,.287,.590,.551,13.4,22.7,.215,.492,13.6,71.9,.206,US Airways Center,755302,18422
Houston Rockets,28.2,52,30,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,.292,.290,.540,.499,13.6,25.7,.220,.466,13.6,77.0,.230,Toyota Center,678362,16545
Chicago Bulls,26.0,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,.313,.186,.534,.493,14.7,28.6,.229,.473,16.2,74.3,.252,United Center,912364,22253
Detroit Pistons,29.0,53,29,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,.307,.201,.535,.488,12.0,28.3,.237,.477,14.3,70.9,.234,The Palace of Auburn Hills,905116,22076
Cleveland Cavaliers,26.9,50,32,52,30,3.83,-0.50,3.33,105.5,101.3,4.2,90.8,.320,.211,.522,.484,13.4,29.7,.223,.480,14.7,75.8,.243,Quicken Loans Arena,837883,20436
Utah Jazz,25.9,51,31,49,33,2.87,0.20,3.06,110.1,107.0,3.1,91.6,.380,.163,.551,.502,14.5,31.7,.283,.496,14.4,75.1,.314,EnergySolutions Arena,802214,19566
Denver Nuggets,26.5,45,37,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,.360,.212,.548,.501,14.6,28.9,.268,.499,14.5,71.8,.203,Pepsi Center,706437,17230
Toronto Raptors,26.0,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,.303,.224,.550,.504,13.0,22.2,.239,.503,14.3,74.5,.219,Air Canada Centre,748603,18259
