Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,82,19780,3351,7018,.477,796,2026,.393,2555,4992,.512,1556,2080,.748,967,2652,3619,1927,572,453,1125,1563,9054
Sacramento Kings,82,19855,3203,6978,.459,522,1396,.374,2681,5582,.480,1577,2004,.787,1023,2455,3478,2005,674,316,1073,1685,8505
Dallas Mavericks,82,19730,3058,6691,.457,463,1273,.364,2595,5418,.479,1826,2314,.789,990,2530,3520,1610,708,461,1102,1827,8405
Miami Heat,82,19980,3097,6368,.486,475,1260,.377,2622,5108,.513,1658,2466,.672,887,2639,3526,1790,528,474,1127,1814,8327
Boston Celtics,82,19880,3046,6511,.468,437,1252,.349,2609,5259,.496,1775,2323,.764,909,2438,3347,1810,667,423,1297,2000,8304
Washington Wizards,82,19780,2966,6794,.437,514,1498,.343,2452,5296,.463,1795,2476,.725,1133,2374,3507,1563,716,347,1172,1807,8241
Toronto Raptors,82,19805,2952,6656,.444,648,1681,.385,2304,4975,.463,1626,2101,.774,844,2444,3288,1670,621,317,1087,1876,8178
Denver Nuggets,82,19755,3038,6615,.459,320,940,.340,2718,5675,.479,1765,2313,.763,967,2473,3440,1958,750,489,1224,1878,8161
Orlando Magic,82,19705,3034,6679,.454,320,916,.349,2714,5763,.471,1772,2335,.759,1038,2544,3582,1583,633,441,1322,1937,8160
Philadelphia 76ers,82,19855,2946,6736,.437,505,1453,.348,2441,5283,.462,1731,2194,.789,909,2536,3445,1710,756,321,1274,1878,8128
Seattle SuperSonics,82,19755,2882,6498,.444,666,1824,.365,2216,4674,.474,1683,2131,.790,1041,2311,3352,1487,553,338,1113,1944,8113
Los Angeles Lakers,82,19780,2895,6629,.437,644,1813,.355,2251,4816,.467,1661,2137,.777,1028,2511,3539,1672,508,344,1176,1794,8095
Golden State Warriors,82,19905,3029,7039,.430,624,1774,.352,2405,5265,.457,1412,1955,.722,1069,2436,3505,1811,642,420,1112,1833,8094
New York Knicks,82,19880,2978,6599,.451,441,1240,.356,2537,5359,.473,1580,2060,.767,965,2393,3358,1665,629,260,1204,1942,7977
Milwaukee Bucks,82,19780,2964,6580,.450,325,925,.351,2639,5655,.467,1720,2229,.772,985,2405,3390,1720,529,289,1132,1797,7973
Minnesota Timberwolves,82,19755,3045,6629,.459,395,1145,.345,2650,5484,.483,1449,1820,.796,947,2580,3527,1918,460,447,1079,1774,7934
Cleveland Cavaliers,82,19855,2990,6687,.447,300,904,.332,2690,5783,.465,1634,2174,.752,1117,2352,3469,1851,654,461,1141,1850,7914
San Antonio Spurs,82,19805,2923,6450,.453,507,1395,.363,2416,5055,.478,1535,2120,.724,987,2489,3476,1771,613,543,1126,1717,7888
Los Angeles Clippers,82,20030,2924,6368,.459,231,669,.345,2693,5699,.473,1770,2274,.778,980,2455,3435,1901,599,422,1290,1819,7849
Houston Rockets,82,19855,2846,6419,.443,553,1521,.364,2293,4898,.468,1551,1986,.781,874,2601,3475,1733,563,378,1135,1807,7796
Chicago Bulls,82,19830,2849,6592,.432,511,1433,.357,2338,5159,.453,1536,2048,.750,1001,2591,3592,1743,576,369,1371,2028,7745
Charlotte Bobcats,82,19880,2961,6859,.432,320,881,.363,2641,5978,.442,1487,2096,.709,1083,2335,3418,1794,695,440,1192,1894,7729
Memphis Grizzlies,82,19705,2802,6271,.447,531,1486,.357,2271,4785,.475,1526,2024,.754,887,2307,3194,1716,699,476,1197,1910,7661
Detroit Pistons,82,19955,2851,6421,.444,363,1053,.345,2488,5368,.463,1588,2150,.739,1054,2507,3561,1787,576,497,1133,1638,7653
Indiana Pacers,82,19905,2668,6169,.432,542,1575,.344,2126,4594,.463,1748,2206,.792,868,2418,3286,1489,615,357,1173,1890,7626
Utah Jazz,82,19780,2828,6301,.449,250,762,.328,2578,5539,.465,1719,2272,.757,1047,2243,3290,1826,541,374,1292,2189,7625
Portland Trail Blazers,82,19730,2896,6422,.451,420,1161,.362,2476,5261,.471,1409,1944,.725,970,2404,3374,1722,583,544,1308,1703,7621
Atlanta Hawks,82,19855,2942,6672,.441,304,973,.312,2638,5699,.463,1417,1994,.711,1100,2335,3435,1614,629,344,1319,2009,7605
New Jersey Nets,82,19905,2753,6419,.429,435,1203,.362,2318,5216,.444,1555,2039,.763,855,2387,3242,1772,650,308,1164,1985,7496
New Orleans Hornets,82,19930,2718,6556,.415,415,1316,.315,2303,5240,.440,1401,1830,.766,1019,2281,3300,1724,550,310,1217,1883,7252
