Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Golden State Warriors,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,.250,.362,.593,.563,13.5,23.5,.191,.479,12.6,76.0,.208,Oracle Arena,803436,19596
San Antonio Spurs,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99.0,93.8,.246,.223,.564,.526,12.4,23.0,.197,.477,14.1,79.1,.182,AT&T Center,756445,18446
Oklahoma City Thunder,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,96.7,.292,.275,.565,.524,14.0,31.1,.228,.484,11.7,76.0,.205,Chesapeake Energy Arena,746323,18203
Cleveland Cavaliers,28.1,57,25,57,25,6.00,-0.55,5.45,110.9,104.5,93.3,.259,.352,.558,.524,12.7,25.1,.194,.496,12.6,78.5,.205,Quicken Loans Arena,843042,20562
Los Angeles Clippers,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,.318,.324,.556,.524,12.1,20.1,.220,.480,13.8,73.8,.222,STAPLES Center,786910,19187
Toronto Raptors,26.3,56,26,53,29,4.50,-0.42,4.08,110.0,105.2,92.9,.328,.287,.552,.504,12.3,24.6,.255,.498,12.7,77.7,.201,Air Canada Centre,812863,19908
Atlanta Hawks,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,.237,.336,.552,.516,13.8,19.1,.185,.480,14.4,74.6,.194,Philips Arena,690150,17070
Boston Celtics,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,.264,.293,.531,.488,12.1,25.1,.208,.487,14.6,74.6,.231,TD Garden,749076,18294
Charlotte Hornets,26.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,.280,.348,.545,.502,11.7,20.0,.222,.496,12.5,79.8,.191,Time Warner Cable Arena,716894,17620
Utah Jazz,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,91.0,.286,.297,.540,.501,14.2,25.9,.213,.495,13.5,77.7,.210,Vivint Smart Home Arena,791489,19305
Indiana Pacers,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,.268,.270,.536,.497,13.5,23.4,.205,.489,14.3,76.0,.205,Bankers Life Fieldhouse,690733,16937
Miami Heat,28.4,48,34,46,36,1.65,-0.14,1.50,106.1,104.4,93.6,.282,.221,.545,.508,13.3,23.8,.210,.485,12.1,77.8,.196,AmericanAirlines Arena,809350,19733
Portland Trail Blazers,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108.0,96.0,.268,.332,.548,.511,13.2,25.9,.202,.503,12.1,76.2,.225,Moda Center,794085,19402
Detroit Pistons,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,.296,.303,.522,.491,12.2,27.0,.197,.504,12.5,79.3,.196,The Palace of Auburn Hills,677138,16751
Houston Rockets,27.8,41,41,42,40,0.20,0.14,0.34,108.3,108.1,97.6,.352,.370,.553,.516,14.2,25.7,.244,.516,14.7,72.8,.219,Toyota Center,737244,17992
Dallas Mavericks,30.3,42,40,40,42,-0.30,0.29,-0.02,106.7,107.0,94.3,.265,.339,.544,.502,12.0,20.6,.211,.504,12.8,76.2,.198,American Airlines Center,825901,20153
Washington Wizards,27.3,41,41,40,42,-0.50,0.00,-0.50,105.3,105.8,98.5,.263,.282,.544,.511,13.1,20.6,.192,.515,14.6,77.7,.218,Verizon Center,725426,17693
Chicago Bulls,27.6,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,95.7,.240,.244,.526,.487,12.6,24.5,.189,.485,10.7,74.9,.182,United Center,894659,21821
Orlando Magic,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,96.0,.232,.255,.533,.500,12.8,23.1,.175,.513,13.8,76.5,.215,Amway Center,719275,17515
Memphis Grizzlies,30.5,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,93.3,.295,.222,.524,.477,12.3,25.3,.231,.518,15.2,75.1,.251,FedEx Forum,701894,17166
Sacramento Kings,26.6,33,49,34,48,-2.48,0.16,-2.32,106.0,108.4,100.0,.295,.260,.546,.510,14.2,23.9,.214,.521,14.0,74.9,.202,Sleep Train Arena,707526,17222
New York Knicks,27.2,32,50,33,49,-2.73,0.00,-2.74,104.6,107.6,93.4,.255,.256,.527,.483,12.6,23.7,.205,.487,10.5,75.8,.204,Madison Square Garden (IV),812292,19812
Denver Nuggets,24.7,33,49,33,49,-3.10,0.29,-2.81,105.6,108.9,95.7,.282,.277,.531,.489,13.2,25.8,.216,.515,12.6,77.3,.216,Pepsi Center,577898,14095
Minnesota Timberwolves,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,95.2,.332,.202,.549,.498,13.9,24.3,.263,.524,13.6,74.7,.200,Target Center,581178,14175
New Orleans Pelicans,26.6,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,.259,.277,.537,.498,12.3,21.2,.201,.523,12.7,78.8,.225,Smoothie King Center,688549,16794
Milwaukee Bucks,23.5,33,49,29,53,-4.18,0.20,-3.98,104.3,108.7,94.2,.276,.189,.537,.499,14.2,24.9,.207,.510,14.2,73.1,.221,BMO Harris Bradley Center,621808,15166
Phoenix Suns,26.0,23,59,24,58,-6.66,0.34,-6.32,102.2,109.0,98.5,.271,.302,.526,.487,15.2,25.4,.204,.523,13.5,77.1,.237,Talking Stick Resort Arena,701405,17107
Brooklyn Nets,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,.246,.218,.527,.492,13.6,24.1,.186,.534,13.1,75.7,.176,Barclays Center,620142,15125
