Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
San Antonio Spurs,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,.322,.177,.511,.473,14.1,29.5,.219,.433,14.8,74.6,.215,SBC Center,739706,18042
Minnesota Timberwolves,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,.265,.137,.528,.486,12.4,26.7,.207,.444,12.9,72.5,.215,Target Center,723071,17636
Sacramento Kings,29.3,55,27,55,27,5.01,0.40,5.41,110.3,104.9,5.4,92.8,.305,.223,.554,.507,13.0,26.0,.242,.483,13.7,69.8,.193,ARCO Arena (II),709997,17317
Detroit Pistons,27.4,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,.328,.153,.511,.461,14.7,30.1,.247,.441,15.5,71.8,.202,The Palace of Auburn Hills,872902,21290
Indiana Pacers,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,.319,.203,.520,.471,14.1,28.5,.243,.459,15.7,73.9,.218,Conseco Fieldhouse,678326,16545
Dallas Mavericks,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,.256,.201,.536,.495,11.1,31.4,.204,.498,13.9,71.6,.214,American Airlines Center,825594,20136
Los Angeles Lakers,29.8,56,26,52,30,3.90,0.45,4.35,105.5,101.3,4.2,92.3,.352,.167,.522,.481,12.8,28.1,.244,.471,14.3,73.3,.222,STAPLES Center,777757,18970
Memphis Grizzlies,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,2.6,91.4,.322,.197,.522,.479,13.9,29.5,.234,.465,15.7,68.4,.251,Pyramid Arena,622723,15188
Houston Rockets,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99.0,1.9,87.8,.286,.227,.528,.484,16.4,26.5,.221,.447,13.1,74.5,.233,Toyota Center,640794,15629
New Jersey Nets,27.7,47,35,49,33,2.50,-0.63,1.88,100.8,98.0,2.8,89.4,.291,.176,.515,.471,14.4,25.9,.219,.460,15.7,73.9,.221,Continental Airlines Arena,613051,14952
