Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Amar'e Stoudemire,20,PHO,59.0,458.0,585,0.783,82,31.3,13.5,8.8,1.0,0.8,1.1,.472,.200,.661,6.2,.116
Yao Ming,22,HOU,45.0,405.0,585,0.692,82,29.0,13.5,8.2,1.7,0.4,1.8,.498,.500,.811,8.7,.176
Caron Butler,22,MIA,13.0,179.0,585,0.306,78,36.6,15.4,5.1,2.7,1.8,0.4,.416,.318,.824,5.1,.086
Manu Ginobili,25,SAS,0.0,5.0,585,0.009,69,20.7,7.6,2.3,2.0,1.4,0.2,.438,.345,.737,4.2,.141
Drew Gooden,21,TOT,0.0,3.0,585,0.005,70,26.8,12.5,6.5,1.2,0.8,0.5,.457,.292,.712,1.7,.043
Nene Hilario,20,DEN,0.0,2.0,585,0.003,80,28.2,10.5,6.1,1.9,1.6,0.8,.519,.000,.578,5.0,.107
Carlos Boozer,21,CLE,0.0,1.0,585,0.002,81,25.3,10.0,7.5,1.3,0.7,0.6,.536,.000,.771,5.9,.139
