Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jaylen Adams,"Oct 17, '18, ATL @ NYK",22,1,34,428,38,110,25,74,7,9,11,60,65,14,5,28,45,108,.345,.338,.778,12.6,3.2,1.8,1.9
Deng Adel,"Jan 19, '19, CLE @ DEN",21,1,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000,10.2,1.7,1.0,0.3
DeVaughn Akoon-Purcell,"Oct 23, '18, DEN vs. SAC",25,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500,3.1,1.0,0.6,0.9
Rawle Alkins,"Dec 17, '18, CHI @ OKC",21,1,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,.333,.250,.667,12.0,3.7,2.6,1.3
Grayson Allen,"Oct 22, '18, UTA vs. MEM",23,2,76,1134,184,429,89,240,84,105,11,108,77,16,8,66,100,541,.429,.371,.800,14.9,7.1,1.4,1.0
Kostas Antetokounmpo,"Mar 20, '19, DAL @ POR",21,2,7,31,3,6,0,0,3,6,2,4,2,2,0,2,2,9,.500,,.500,4.4,1.3,0.6,0.3
Deandre Ayton,"Oct 17, '18, PHO vs. DAL",20,2,109,3419,819,1438,3,17,208,278,370,1165,197,87,125,206,326,1849,.570,.176,.748,31.4,17.0,10.7,1.8
Marvin Bagley,"Oct 17, '18, SAC vs. UTA",19,2,75,1901,434,873,34,118,206,293,191,568,72,39,71,116,163,1108,.497,.288,.703,25.3,14.8,7.6,1.0
Mohamed Bamba,"Oct 17, '18, ORL vs. MIA",20,2,109,1644,249,529,58,177,68,109,164,535,81,36,150,85,218,624,.471,.328,.624,15.1,5.7,4.9,0.7
Keita Bates-Diop,"Oct 26, '18, MIN vs. MIL",23,2,74,1247,160,376,47,155,72,103,41,210,47,37,38,31,72,439,.426,.303,.699,16.9,5.9,2.8,0.6
Dairis Bertāns,"Mar 10, '19, NOP @ ATL",29,1,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,.255,.294,,13.9,2.8,0.8,0.8
Jaron Blossomgame,"Dec 5, '18, CLE vs. GSW",25,1,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,.443,.256,.769,16.3,4.2,3.6,0.5
Jonah Bolden,"Oct 16, '18, PHI @ BOS",23,2,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,.486,.340,.484,13.5,4.3,3.4,0.8
Isaac Bonga,"Dec 7, '18, LAL @ SAS",19,2,88,1370,123,267,25,79,78,100,80,247,91,54,26,64,165,349,.461,.316,.780,15.6,4.0,2.8,1.0
Mikal Bridges,"Oct 17, '18, PHO vs. DAL",22,2,155,4459,489,1047,175,507,198,240,122,556,302,231,84,143,364,1351,.467,.345,.825,28.8,8.7,3.6,1.9
Miles Bridges,"Oct 17, '18, CHO vs. MIL",20,2,145,3691,556,1264,164,500,164,208,155,685,209,95,97,145,243,1440,.440,.328,.788,25.5,9.9,4.7,1.4
Isaiah Briscoe,"Oct 19, '18, ORL vs. CHO",22,1,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,.399,.324,.577,14.3,3.5,1.9,2.2
Ryan Broekhoff,"Oct 17, '18, DAL @ PHO",28,2,59,633,79,185,58,144,22,27,13,106,33,11,8,22,50,238,.427,.403,.815,10.7,4.0,1.8,0.6
Bruce Brown,"Oct 17, '18, DET vs. BRK",22,2,132,3083,323,761,57,189,133,179,109,459,321,103,65,146,340,836,.424,.302,.743,23.4,6.3,3.5,2.4
Troy Brown,"Oct 24, '18, WAS @ GSW",19,2,121,2512,370,856,83,248,141,186,111,528,258,106,12,109,188,964,.432,.335,.758,20.8,8.0,4.4,2.1
Jalen Brunson,"Oct 17, '18, DAL @ PHO",22,2,130,2613,445,953,106,301,148,195,47,303,418,59,8,154,201,1144,.467,.352,.759,20.1,8.8,2.3,3.2
Deonte Burton,"Oct 19, '18, OKC @ LAC",25,2,71,596,76,207,18,80,16,26,11,85,26,13,18,28,65,186,.367,.225,.615,8.4,2.6,1.2,0.4
Jevon Carter,"Dec 15, '18, MEM vs. HOU",23,2,97,1522,157,428,96,248,49,59,44,184,153,73,28,65,141,459,.367,.387,.831,15.7,4.7,1.9,1.6
Wendell Carter,"Oct 18, '18, CHI @ PHI",19,2,87,2366,363,714,12,61,201,264,226,712,129,59,94,137,314,939,.508,.197,.761,27.2,10.8,8.2,1.5
