Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Troy Caupain,"Dec 31, '18, ORL @ CHO",23,1,4,16,4,8,2,3,0,0,1,3,4,1,0,0,0,10,.500,.667,,4.0,2.5,0.8,1.0
Joe Chealey,"Jan 30, '19, CHO @ BOS",23,2,5,41,1,10,0,4,2,2,0,0,2,4,0,2,3,4,.100,.000,1.000,8.2,0.8,0.0,0.4
Chris Chiozza,"Mar 24, '19, HOU @ NOP",23,2,35,434,57,148,29,77,5,5,10,57,87,22,5,33,39,148,.385,.377,1.000,12.4,4.2,1.6,2.5
Gary Clark,"Oct 17, '18, HOU vs. NOP",24,2,93,1208,104,284,80,249,16,17,61,226,35,26,48,17,93,304,.366,.321,.941,13.0,3.3,2.4,0.4
Bonzie Colson,"Feb 25, '19, MIL @ CHI",23,1,8,98,13,39,5,21,8,9,8,30,3,5,1,3,3,39,.333,.238,.889,12.3,4.9,3.8,0.4
Mitch Creek,"Jan 25, '19, BRK vs. NYK",26,1,5,48,8,16,0,2,5,7,6,12,6,2,0,1,3,21,.500,.000,.714,9.6,4.2,2.4,1.2
Tyler Davis,"Nov 28, '18, OKC vs. CLE",21,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.0,0.0,1.0,0.0
Ángel Delgado,"Feb 7, '19, LAC @ IND",24,1,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,.200,,.500,7.5,1.5,2.0,0.0
Marcus Derrickson,"Nov 10, '18, GSW vs. BRK",22,1,11,67,16,33,10,20,4,5,8,13,1,0,1,3,9,46,.485,.500,.800,6.1,4.2,1.2,0.1
Hamidou Diallo,"Oct 16, '18, OKC @ GSW",20,2,97,1422,207,461,20,81,74,122,82,264,53,58,19,74,178,508,.449,.247,.607,14.7,5.2,2.7,0.5
Donte DiVincenzo,"Oct 17, '18, MIL @ CHO",22,2,93,1931,282,634,105,330,72,98,82,383,185,98,26,109,151,741,.445,.318,.735,20.8,8.0,4.1,2.0
Luka Dončić,"Oct 17, '18, DAL @ PHO",19,2,133,4365,1087,2441,339,1055,772,1047,164,1136,967,139,39,507,290,3285,.445,.321,.737,32.8,24.7,8.5,7.3
Trevon Duval,"Feb 8, '19, MIL @ DAL",20,1,3,6,2,3,1,1,0,0,0,1,2,0,0,0,0,5,.667,1.000,,2.0,1.7,0.3,0.7
Vince Edwards,"Nov 15, '18, HOU vs. GSW",22,1,2,16,1,4,1,4,0,0,1,2,0,0,0,0,0,3,.250,.250,,8.0,1.5,1.0,0.0
Drew Eubanks,"Oct 20, '18, SAS @ POR",21,2,45,385,58,93,1,1,31,39,34,119,22,7,22,29,48,148,.624,1.000,.795,8.6,3.3,2.6,0.5
Jacob Evans,"Oct 22, '18, GSW vs. PHO",21,2,59,622,63,187,17,54,25,30,15,66,54,16,15,36,69,168,.337,.315,.833,10.5,2.8,1.1,0.9
Melvin Frazier,"Nov 2, '18, ORL vs. LAC",22,2,29,170,22,55,8,22,3,8,5,15,4,10,2,6,17,55,.400,.364,.375,5.9,1.9,0.5,0.1
Billy Garrett,"Apr 3, '19, NYK @ ORL",24,1,4,63,11,27,0,8,4,4,0,3,7,1,1,2,3,26,.407,.000,1.000,15.8,6.5,0.8,1.8
Harry Giles,"Oct 17, '18, SAC vs. UTA",20,2,104,1487,314,599,0,8,96,140,109,410,145,53,40,117,269,724,.524,.000,.686,14.3,7.0,3.9,1.4
Shai Gilgeous-Alexander,"Oct 17, '18, LAC vs. DEN",20,2,152,4602,819,1731,138,390,444,552,104,644,502,175,92,275,292,2220,.473,.354,.804,30.3,14.6,4.2,3.3
Brandon Goodwin,"Dec 18, '18, DEN vs. DAL",23,2,50,487,82,213,28,93,37,41,12,75,65,12,4,32,50,229,.385,.301,.902,9.7,4.6,1.5,1.3
Devonte' Graham,"Oct 22, '18, CHO @ TOR",23,2,109,2887,442,1179,252,706,226,279,52,275,592,85,17,211,163,1362,.375,.357,.810,26.5,12.5,2.5,5.4
Donte Grantham,"Feb 7, '19, OKC vs. MEM",23,1,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,.000,.000,,0.7,0.0,0.0,0.0
Dusty Hannahs,"Mar 31, '19, MEM @ LAC",25,2,4,39,7,21,2,8,4,4,0,2,5,1,0,1,2,20,.333,.250,1.000,9.8,5.0,0.5,1.3
Isaiah Hartenstein,"Oct 17, '18, HOU vs. NOP",20,2,51,487,64,108,2,11,30,42,50,137,33,16,24,29,97,160,.593,.182,.714,9.5,3.1,2.7,0.6
Haywood Highsmith,"Jan 8, '19, PHI vs. WAS",22,1,5,40,4,10,1,5,0,2,0,5,2,1,0,1,1,9,.400,.200,.000,8.0,1.8,1.0,0.4
Aaron Holiday,"Oct 17, '18, IND vs. MEM",22,2,116,2263,338,825,130,348,115,137,27,223,312,76,29,128,191,921,.410,.374,.839,19.5,7.9,1.9,2.7
Kevin Huerter,"Oct 17, '18, ATL @ NYK",20,2,131,3808,527,1267,263,687,94,120,95,473,427,116,52,196,294,1411,.416,.383,.783,29.1,10.8,3.6,3.3
Isaac Humphries,"Apr 2, '19, ATL @ SAS",21,1,5,56,6,21,3,11,0,0,4,11,0,1,0,0,7,15,.286,.273,,11.2,3.0,2.2,0.0
Chandler Hutchison,"Oct 18, '18, CHI @ PHI",22,2,72,1422,176,384,26,88,69,116,49,293,60,50,13,52,106,447,.458,.295,.595,19.8,6.2,4.1,0.8
Frank Jackson,"Oct 17, '18, NOP @ HOU",20,2,120,1966,328,778,100,313,110,148,47,217,130,42,6,97,169,866,.422,.319,.743,16.4,7.2,1.8,1.1
Jaren Jackson,"Oct 17, '18, MEM @ IND",19,2,115,3137,651,1342,196,510,290,383,128,534,142,92,174,197,452,1788,.485,.384,.757,27.3,15.5,4.6,1.2
Amile Jefferson,"Dec 31, '18, ORL @ CHO",25,2,30,142,15,30,0,0,12,22,16,44,7,4,6,4,15,42,.500,,.545,4.7,1.4,1.5,0.2
Alize Johnson,"Oct 19, '18, IND @ MIL",22,2,31,182,16,45,4,10,11,18,20,67,8,4,5,7,19,47,.356,.400,.611,5.9,1.5,2.2,0.3
B.J. Johnson,"Mar 3, '19, ATL @ CHI",23,2,17,132,18,50,6,16,11,12,5,23,3,5,0,8,7,53,.360,.375,.917,7.8,3.1,1.4,0.2
Jemerrio Jones,"Mar 31, '19, LAL @ NOP",23,1,6,143,12,33,2,10,1,2,16,49,13,7,5,5,10,27,.364,.200,.500,23.8,4.5,8.2,2.2
George King,"Dec 11, '18, PHO @ SAS",25,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,6.0,0.0,1.0,0.0
Kevin Knox,"Oct 17, '18, NYK vs. ATL",19,2,140,3324,482,1315,190,563,228,327,89,519,143,66,52,159,281,1382,.367,.337,.697,23.7,9.9,3.7,1.0
Rodions Kurucs,"Oct 17, '18, BRK @ DET",20,2,110,1978,281,626,91,274,96,130,81,383,103,66,30,123,236,749,.449,.332,.738,18.0,6.8,3.5,0.9
Zach Lofton,"Oct 17, '18, DET vs. BRK",26,1,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,.000,.000,,4.0,0.0,0.0,0.0
Jordan Loyd,"Oct 29, '18, TOR @ MIL",25,1,12,55,8,18,4,8,9,11,1,9,6,0,0,2,5,29,.444,.500,.818,4.6,2.4,0.8,0.5
Daryl Macon,"Oct 26, '18, DAL @ TOR",23,2,12,104,11,30,6,13,4,7,2,12,8,1,0,8,9,32,.367,.462,.571,8.7,2.7,1.0,0.7
J.P. Macura,"Jan 2, '19, CHO vs. DAL",23,2,3,18,3,9,0,4,0,0,0,3,2,0,0,0,0,6,.333,.000,,6.0,2.0,1.0,0.7
Yante Maten,"Apr 9, '19, MIA vs. PHI",22,1,2,13,1,4,0,1,0,0,1,3,0,1,0,0,0,2,.250,.000,,6.5,1.0,1.5,0.0
Tahjere McCall,"Feb 27, '19, BRK vs. WAS",24,1,1,8,2,3,0,1,0,1,0,1,0,0,0,0,2,4,.667,.000,.000,8.0,4.0,1.0,0.0
De'Anthony Melton,"Oct 22, '18, PHO @ GSW",20,2,110,2151,261,657,69,235,114,149,68,354,334,145,43,159,222,705,.397,.294,.765,19.6,6.4,3.2,3.0
Chimezie Metu,"Oct 20, '18, SAS @ POR",21,2,47,250,43,100,0,4,23,30,21,69,23,9,8,25,21,109,.430,.000,.767,5.3,2.3,1.5,0.5
Shake Milton,"Nov 30, '18, PHI vs. WAS",22,2,60,1073,168,364,72,179,56,72,24,123,122,28,15,53,121,464,.462,.402,.778,17.9,7.7,2.1,2.0
Džanan Musa,"Oct 20, '18, BRK @ IND",19,2,49,526,73,194,20,88,45,62,22,91,45,17,1,40,31,211,.376,.227,.726,10.7,4.3,1.9,0.9
Sviatoslav Mykhailiuk,"Oct 22, '18, LAL vs. SAS",21,2,98,1705,212,545,144,374,69,90,26,140,143,55,5,82,112,637,.389,.385,.767,17.4,6.5,1.4,1.5
Elie Okobo,"Oct 17, '18, PHO vs. DAL",21,2,108,1677,186,471,64,203,87,118,28,188,242,56,11,107,163,523,.395,.315,.737,15.5,4.8,1.7,2.2
Josh Okogie,"Oct 20, '18, MIN @ DAL",20,2,136,3304,366,906,101,369,270,353,128,486,190,156,59,150,305,1103,.404,.274,.765,24.3,8.1,3.6,1.4
Theo Pinson,"Oct 20, '18, BRK @ IND",23,2,51,576,70,228,27,126,34,38,14,90,77,23,4,51,50,201,.307,.214,.895,11.3,3.9,1.8,1.5
Cameron Reynolds,"Mar 3, '19, MIN @ WAS",23,1,19,259,33,78,21,51,8,9,4,31,13,6,2,5,26,95,.423,.412,.889,13.6,5.0,1.6,0.7
Duncan Robinson,"Oct 24, '18, MIA vs. NYK",24,2,88,2327,341,733,280,641,71,78,12,251,107,40,19,74,204,1033,.465,.437,.910,26.4,11.7,2.9,1.2
Jerome Robinson,"Oct 26, '18, LAC @ HOU",21,2,96,1299,159,420,67,210,46,66,16,170,106,39,20,62,158,431,.379,.319,.697,13.5,4.5,1.8,1.1
Mitchell Robinson,"Oct 17, '18, NYK vs. ATL",20,2,127,2772,455,632,0,0,165,283,363,851,73,104,280,72,411,1075,.720,,.583,21.8,8.5,6.7,0.6
Brandon Sampson,"Jan 30, '19, CHI @ MIA",21,1,14,214,28,60,11,29,4,6,3,16,10,8,3,12,19,71,.467,.379,.667,15.3,5.1,1.1,0.7
Collin Sexton,"Oct 17, '18, CLE @ TOR",20,2,147,4748,1032,2292,216,551,440,522,118,440,435,109,13,343,328,2720,.450,.392,.843,32.3,18.5,3.0,3.0
Landry Shamet,"Oct 16, '18, PHI @ BOS",21,2,132,3254,398,948,278,692,140,169,27,234,216,57,20,87,297,1214,.420,.402,.828,24.7,9.2,1.8,1.6
Jordan Sibert,"Feb 27, '19, ATL vs. MIN",26,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1.000,1.000,,4.0,3.0,0.0,0.0
Anfernee Simons,"Oct 30, '18, POR @ HOU",19,2,90,1590,242,599,85,255,85,108,28,165,110,27,10,72,144,654,.404,.333,.787,17.7,7.3,1.8,1.2
Zhaire Smith,"Mar 25, '19, PHI @ ORL",19,2,13,143,17,45,6,19,8,12,3,15,12,5,2,8,12,48,.378,.316,.667,11.0,3.7,1.2,0.9
Ray Spalding,"Oct 17, '18, DAL @ PHO",21,1,14,148,25,47,0,3,4,12,15,48,5,9,8,9,23,54,.532,.000,.333,10.6,3.9,3.4,0.4
Omari Spellman,"Oct 17, '18, ATL @ NYK",21,2,95,1691,225,539,87,238,105,137,149,413,94,59,49,85,130,642,.417,.366,.766,17.8,6.8,4.3,1.0
Jared Terrell,"Nov 4, '18, MIN @ POR",23,1,14,111,12,39,4,17,3,6,1,6,12,3,2,10,16,31,.308,.235,.500,7.9,2.2,0.4,0.9
Emanuel Terry,"Jan 27, '19, PHO @ LAL",22,1,3,23,4,7,0,0,2,4,3,7,2,3,0,2,4,10,.571,,.500,7.7,3.3,2.3,0.7
Khyri Thomas,"Nov 9, '18, DET @ ATL",22,2,34,256,27,86,15,49,9,15,5,21,11,10,5,7,31,78,.314,.306,.600,7.5,2.3,0.6,0.3
Gary Trent,"Nov 4, '18, POR vs. MIN",20,2,76,1443,212,491,117,289,40,52,26,111,66,49,18,25,94,581,.432,.405,.769,19.0,7.6,1.5,0.9
Allonzo Trier,"Oct 17, '18, NYK vs. ATL",23,2,88,1750,283,624,71,185,213,266,37,226,147,31,18,138,146,850,.454,.384,.801,19.9,9.7,2.6,1.7
Jarred Vanderbilt,"Jan 25, '19, DEN vs. PHO",19,2,28,115,14,27,0,2,8,12,10,32,5,9,2,15,14,36,.519,.000,.667,4.1,1.3,1.1,0.2
Moritz Wagner,"Nov 17, '18, LAL @ ORL",21,2,88,1281,216,437,47,157,121,148,73,304,80,39,32,105,209,600,.494,.299,.818,14.6,6.8,3.5,0.9
Lonnie Walker,"Jan 3, '19, SAS vs. TOR",20,2,78,1106,168,403,46,114,52,71,23,156,77,39,17,48,85,434,.417,.404,.732,14.2,5.6,2.0,1.0
Brad Wanamaker,"Oct 16, '18, BOS vs. PHI",29,2,107,1712,212,467,53,141,150,164,25,185,235,73,16,95,167,627,.454,.376,.915,16.0,5.9,1.7,2.2
Julian Washburn,"Jan 21, '19, MEM vs. NOP",27,1,18,254,16,48,5,24,3,4,8,41,14,13,2,7,16,40,.333,.208,.750,14.1,2.2,2.3,0.8
Yuta Watanabe,"Oct 27, '18, MEM vs. PHO",24,2,33,279,30,85,5,24,10,18,11,51,13,9,2,8,20,75,.353,.208,.556,8.5,2.3,1.5,0.4
Thomas Welsh,"Oct 17, '18, DEN @ LAC",22,1,11,36,7,13,3,7,1,2,0,4,5,0,0,1,3,18,.538,.429,.500,3.3,1.6,0.4,0.5
Johnathan Williams,"Oct 22, '18, LAL vs. SAS",23,2,39,552,84,144,0,4,34,61,72,163,21,9,15,21,78,202,.583,.000,.557,14.2,5.2,4.2,0.5
Kenrich Williams,"Oct 17, '18, NOP @ HOU",24,2,85,1911,158,426,77,253,22,45,106,405,140,72,40,58,183,415,.371,.304,.489,22.5,4.9,4.8,1.6
Robert Williams,"Oct 22, '18, BOS vs. ORL",21,2,61,671,100,139,0,0,31,49,67,209,34,31,75,31,87,231,.719,,.633,11.0,3.8,3.4,0.6
Trae Young,"Oct 17, '18, ATL @ NYK",20,2,141,4623,1071,2505,361,1050,824,973,96,556,1213,137,23,597,244,3327,.428,.344,.847,32.8,23.6,3.9,8.6
