Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Orlando Magic,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,.340,.350,.573,.536,13.6,24.6,.246,.477,12.2,77.4,.205,Amway Arena,715901,17461
Cleveland Cavaliers,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,.341,.248,.570,.532,13.4,25.1,.246,.482,12.3,77.2,.218,Quicken Loans Arena,843042,20562
Utah Jazz,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,.340,.184,.565,.524,14.2,26.8,.252,.492,14.2,75.6,.269,EnergySolutions Arena,794512,19378
San Antonio Spurs,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,.296,.232,.552,.515,12.9,26.8,.219,.483,12.1,76.3,.214,AT&T Center,741676,18090
Los Angeles Lakers,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,.289,.227,.538,.496,12.4,27.6,.221,.484,13.2,74.4,.195,STAPLES Center,778877,18997
Phoenix Suns,28.5,54,28,54,28,4.90,-0.23,4.67,115.3,110.2,5.1,95.3,.312,.261,.585,.546,13.6,27.6,.240,.491,11.6,70.8,.224,US Airways Center,723582,17648
Atlanta Hawks,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,.281,.214,.545,.506,11.4,28.2,.213,.496,13.2,72.7,.208,Philips Arena,678375,16546
Denver Nuggets,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,.376,.227,.561,.509,12.7,26.1,.290,.495,13.8,72.4,.251,Pepsi Center,737301,17983
Oklahoma City Thunder,23.2,50,32,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,.333,.185,.547,.494,13.9,28.6,.268,.483,14.0,73.6,.229,Oklahoma City Arena,738149,18004
Boston Celtics,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,.332,.228,.564,.522,14.5,22.8,.248,.487,14.9,73.8,.251,TD Garden,763584,18624
Portland Trail Blazers,26.6,50,32,51,31,3.30,-0.13,3.18,110.8,107.1,3.7,87.7,.315,.215,.547,.499,12.1,28.2,.249,.502,13.3,74.8,.219,Rose Garden Arena,840371,20497
Dallas Mavericks,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,.277,.222,.552,.506,12.3,24.3,.226,.495,13.6,73.7,.206,American Airlines Center,819770,19994
Miami Heat,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,.296,.219,.537,.496,12.8,26.1,.223,.480,13.9,74.9,.246,AmericanAirlines Arena,726935,17730
Milwaukee Bucks,26.4,46,36,46,36,1.70,-0.32,1.37,104.9,103.1,1.8,91.7,.239,.259,.518,.482,12.3,26.2,.181,.486,14.6,76.4,.266,Bradley Center,619453,15109
Charlotte Bobcats,27.4,44,38,45,37,1.46,-0.17,1.30,104.4,102.8,1.6,90.4,.346,.211,.538,.490,15.1,26.5,.260,.491,14.7,74.2,.194,Time Warner Cable Arena,648520,15818
Houston Rockets,26.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,.292,.265,.537,.494,13.2,26.9,.225,.511,13.6,73.8,.215,Toyota Center,677658,16528
Memphis Grizzlies,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,.320,.148,.536,.494,13.7,31.3,.235,.520,13.2,73.3,.205,FedEx Forum,552914,13486
Chicago Bulls,26.2,41,41,36,46,-1.63,0.00,-1.64,103.5,105.3,-1.8,93.1,.287,.156,.520,.477,13.3,26.6,.217,.484,12.3,74.8,.212,United Center,849760,20726
Toronto Raptors,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,.319,.211,.564,.521,12.7,24.7,.244,.513,11.8,72.9,.247,Air Canada Centre,733784,17897
New Orleans Hornets,27.5,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,.243,.230,.543,.506,12.7,24.8,.189,.523,13.5,73.8,.205,New Orleans Arena,617366,15058
