Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Lavoy Allen,"01/1/13, PHI @ LAL",22,6,388,6905,828,1758,2,15,189,277,715,1843,384,120,214,257,706,1847,.471,.133,.682,17.8,4.8,4.8,1.0
Gustavo Ayon,"01/1/12, NOH @ SAC",26,3,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,.536,.000,.504,16.7,4.7,4.4,1.3
Keith Benson,"03/24/12, GSW vs. SAC",23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0
Bismack Biyombo,"01/1/12, CHA @ MIA",19,8,556,11469,1040,2018,0,2,689,1211,1097,3548,271,145,791,511,1247,2769,.515,.000,.569,20.6,5.0,6.4,0.5
MarShon Brooks,"01/1/12, NJN @ CLE",23,5,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,.447,.345,.751,17.3,8.0,2.1,1.4
Alec Burks,"01/10/12, UTA vs. CLE",20,8,415,8888,1397,3307,287,801,965,1252,250,1278,717,250,74,530,730,4046,.422,.358,.771,21.4,9.7,3.1,1.7
Jimmy Butler,"01/1/12, CHI vs. MEM",22,8,499,16408,2728,5998,462,1345,2397,2876,717,2440,1700,785,232,731,720,8315,.455,.343,.833,32.9,16.7,4.9,3.4
Derrick Byars,"04/25/12, SAS @ PHO",27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,.273,.000,1.000,18.5,5.0,5.5,0.5
Norris Cole,"01/1/12, MIA vs. CHA",23,6,360,8018,1005,2469,207,639,289,389,79,702,981,280,34,517,679,2506,.407,.324,.743,22.3,7.0,2.0,2.7
Eric Dawson,"02/21/12, SAS @ POR",27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,.583,,.500,9.8,3.8,2.5,0.0
Justin Dentmon,"03/24/12, SAS @ NOH",26,2,8,95,10,30,2,14,4,6,0,8,10,2,0,7,10,26,.333,.143,.667,11.9,3.3,1.0,1.3
Jerome Dyson,"04/11/12, NOH vs. SAC",24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778,20.0,7.4,2.1,2.0
Kenneth Faried,"01/1/13, DEN vs. LAC",22,8,460,11323,2105,3863,4,30,1008,1543,1408,3745,459,342,381,610,1133,5222,.545,.133,.653,24.6,11.4,8.1,1.0
Jeff Foote,"03/10/12, NOH @ MIN",24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,,,9.8,1.0,1.5,0.0
Courtney Fortson,"01/16/12, LAC vs. NJN",23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,.344,.231,.667,9.5,3.5,1.5,1.0
Jimmer Fredette,"01/1/12, SAC vs. NOH",22,5,235,3148,516,1253,193,506,191,218,52,236,323,91,11,218,217,1416,.412,.381,.876,13.4,6.0,1.0,1.4
Mickell Gladness,"01/1/12, MIA vs. CHA",25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,,.500,9.7,2.2,2.2,0.2
Andrew Goudelock,"01/10/12, LAL vs. PHO",23,3,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,.393,.345,.875,9.7,4.0,0.7,0.5
Jordan Hamilton,"01/1/13, DEN vs. LAC",21,5,151,2100,342,839,137,384,69,103,89,429,127,73,34,102,144,890,.408,.357,.670,13.9,5.9,2.8,0.8
Justin Harper,"01/23/12, ORL @ BOS",22,3,22,150,18,53,8,29,1,3,5,18,4,3,3,12,10,45,.340,.276,.333,6.8,2.0,0.8,0.2
Josh Harrellson,"01/11/12, NYK vs. PHI",22,3,75,888,105,240,33,95,22,35,80,227,26,30,36,33,96,265,.438,.347,.629,11.8,3.5,3.0,0.3
Terrel Harris,"01/1/12, MIA vs. CHA",24,2,42,455,33,110,8,47,21,31,22,77,35,11,5,42,51,95,.300,.170,.677,10.8,2.3,1.8,0.8
Tobias Harris,"01/1/16, ORL @ WAS",19,8,518,15612,2987,6353,637,1745,1298,1581,517,3030,945,391,249,702,1013,7909,.470,.365,.821,30.1,15.3,5.8,1.8
Cory Higgins,"01/1/12, CHA @ MIA",22,2,44,455,58,179,5,25,43,62,8,38,41,8,6,39,45,164,.324,.200,.694,10.3,3.7,0.9,0.9
Darington Hobson,"01/12/12, MIL vs. DET",24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,.154,.000,,7.8,0.8,0.6,1.2
Tyler Honeycutt,"01/12/13, SAC vs. MIA",21,2,24,120,11,35,1,5,5,7,6,24,9,4,4,7,5,28,.314,.200,.714,5.0,1.2,1.0,0.4
Dennis Horner,"01/1/12, NJN @ CLE",23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,.250,.000,.750,2.8,0.6,0.6,0.0
Kyrie Irving,"01/1/12, CLE vs. NJN",19,8,486,16431,3953,8490,1005,2578,1857,2126,368,1737,2735,645,164,1295,1057,10768,.466,.390,.873,33.8,22.2,3.6,5.6
Reggie Jackson,"01/1/17, DET @ MIA",21,8,499,12574,2363,5530,529,1629,1067,1243,275,1498,2207,358,58,967,973,6322,.427,.325,.858,25.2,12.7,3.0,4.4
Charles Jenkins,"01/10/12, GSW vs. MIA",22,2,110,1334,179,412,4,22,46,61,16,100,214,48,8,81,107,408,.434,.182,.754,12.1,3.7,0.9,1.9
Carldell Johnson,"01/11/12, NOH vs. OKC",29,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,.314,.267,.333,7.9,1.8,0.6,1.5
