Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Alex Abrines,"01/10/18, OKC @ MIN",23,3,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,.387,.368,.880,16.0,5.3,1.4,0.5
Ron Baker,"01/10/18, NYK vs. CHI",23,3,96,1394,106,296,35,132,53,75,18,139,169,66,15,79,125,300,.358,.265,.707,14.5,3.1,1.4,1.8
Wade Baldwin,"01/24/19, POR @ PHO",20,3,56,579,60,169,9,36,45,58,14,69,78,21,10,57,63,174,.355,.250,.776,10.3,3.1,1.2,1.4
Malik Beasley,"01/1/19, DEN vs. NYK",20,3,136,1963,334,702,141,352,63,81,39,219,106,57,13,63,123,872,.476,.401,.778,14.4,6.4,1.6,0.8
DeAndre' Bembry,"01/10/17, ATL @ BRK",22,3,116,2123,275,635,48,171,80,138,52,350,216,97,46,158,189,678,.433,.281,.580,18.3,5.8,3.0,1.9
Dragan Bender,"01/12/17, PHO vs. DAL",19,3,145,2885,276,719,153,461,59,86,78,514,166,37,78,158,260,764,.384,.332,.686,19.9,5.3,3.5,1.1
Ben Bentil,"03/1/17, DAL @ ATL",21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0
Davis Bertans,"01/10/17, SAS vs. MIL",24,3,192,2883,396,871,261,633,93,113,57,416,180,71,78,97,249,1146,.455,.412,.823,15.0,6.0,2.2,0.9
Joel Bolomboy,"03/11/17, UTA @ OKC",23,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,5.1,1.7,1.5,0.1
Malcolm Brogdon,"01/1/18, MIL @ TOR",24,3,170,4803,813,1682,211,523,290,323,119,590,627,159,36,255,347,2127,.483,.403,.898,28.3,12.5,3.5,3.7
Jaylen Brown,"01/10/17, BOS @ TOR",20,3,196,4737,795,1733,225,618,324,488,156,771,244,148,69,260,448,2139,.459,.364,.664,24.2,10.9,3.9,1.2
Nicolas Brussino,"01/15/17, DAL vs. MIN",23,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,.364,.299,.773,9.2,2.6,1.7,0.8
