Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dwight Howard,24,ORL,110.0,576.0,610,0.944,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223
Josh Smith,24,ATL,3.0,136.0,610,0.223,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155
Gerald Wallace,27,CHA,1.0,113.0,610,0.185,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177
LeBron James,25,CLE,4.0,61.0,610,0.100,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299
Rajon Rondo,23,BOS,1.0,55.0,610,0.090,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156
Metta World Peace,30,LAL,0.0,29.0,610,0.048,77,33.8,11.0,4.3,3.0,1.4,0.3,.414,.355,.688,5.3,.098
Andrew Bogut,25,MIL,1.0,23.0,610,0.038,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161
Thabo Sefolosha,25,OKC,2.0,20.0,610,0.033,82,28.6,6.0,4.7,1.8,1.2,0.6,.440,.313,.674,4.0,.082
Anderson Varejao,27,CLE,0.0,18.0,610,0.030,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179
Marcus Camby,35,TOT,0.0,13.0,610,0.021,74,31.3,7.5,11.8,2.5,1.3,2.0,.475,.286,.639,6.8,.142
Dwyane Wade,28,MIA,0.0,13.0,610,0.021,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224
Kobe Bryant,31,LAL,0.0,9.0,610,0.015,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160
Shawn Marion,31,DAL,0.0,8.0,610,0.013,75,31.8,12.0,6.4,1.4,0.9,0.8,.508,.158,.755,5.0,.100
Tim Duncan,33,SAS,0.0,7.0,610,0.011,78,31.3,17.9,10.1,3.2,0.6,1.5,.518,.182,.725,10.9,.215
Shane Battier,31,HOU,0.0,5.0,610,0.008,67,32.4,8.0,4.7,2.4,0.8,1.1,.398,.362,.726,4.3,.095
Andrei Kirilenko,28,UTA,0.0,4.0,610,0.007,58,29.0,11.9,4.6,2.7,1.4,1.2,.506,.292,.744,6.0,.171
Arron Afflalo,24,DEN,0.0,1.0,610,0.002,82,27.1,8.8,3.1,1.7,0.6,0.4,.465,.434,.735,4.3,.092
Matt Barnes,29,ORL,0.0,1.0,610,0.002,81,25.9,8.8,5.5,1.7,0.7,0.4,.487,.319,.740,5.9,.135
Brendan Haywood,30,TOT,0.0,1.0,610,0.002,77,30.6,9.1,9.3,0.6,0.3,2.1,.562,.000,.620,6.7,.137
David Lee,26,NYK,0.0,1.0,610,0.002,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163
Kenyon Martin,32,DEN,0.0,1.0,610,0.002,58,34.2,11.5,9.4,1.9,1.2,1.1,.456,.276,.557,3.3,.079
Luc Mbah a Moute,23,MIL,0.0,1.0,610,0.002,73,25.6,6.2,5.5,1.1,0.8,0.5,.480,.353,.699,4.7,.122
Kendrick Perkins,25,BOS,0.0,1.0,610,0.002,78,27.6,10.1,7.6,1.0,0.3,1.7,.602,.000,.582,5.2,.117
Ben Wallace,35,DET,0.0,1.0,610,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,.541,.000,.406,4.7,.115
