Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Durant,OKC,31:22,13,24,3,8,1,1,0,6,6,1,2,0,0,3,30,.542,.375,1.000
Kobe Bryant,LAL,27:36,4,9,0,3,1,2,2,2,4,8,2,2,1,2,9,.444,.000,.500
Blake Griffin,LAC,27:24,9,11,0,0,1,2,2,1,3,3,2,1,0,3,19,.818,,.500
Chris Paul,LAC,27:17,7,10,4,5,2,3,0,0,0,15,4,0,3,0,20,.700,.800,.667
Dwight Howard,LAL,14:11,4,6,1,1,0,0,0,7,7,0,0,0,1,1,9,.667,1.000,
James Harden,HOU,25:50,6,13,3,8,0,0,1,5,6,3,0,0,2,2,15,.462,.375,
Tony Parker,SAS,21:58,5,10,1,3,2,2,0,1,1,5,2,0,3,0,13,.500,.333,1.000
Russell Westbrook,OKC,18:06,7,13,0,3,0,0,2,2,4,3,1,0,2,1,14,.538,.000,
David Lee,GSW,13:25,3,4,0,0,0,0,0,2,2,0,2,0,1,1,6,.750,,
Zach Randolph,MEM,13:21,3,6,0,0,0,0,1,4,5,0,0,0,0,0,6,.500,,
LaMarcus Aldridge,POR,11:27,0,2,0,0,0,0,0,4,4,1,0,2,1,0,0,.000,,
Tim Duncan,SAS,8:03,1,4,0,1,0,0,1,2,3,0,0,0,1,1,2,.250,.000,
Carmelo Anthony,NYK,30:30,8,14,3,7,7,9,5,7,12,3,0,0,1,0,26,.571,.429,.778
LeBron James,MIA,30:02,7,18,3,7,2,4,0,3,3,5,1,0,4,0,19,.389,.429,.500
Dwyane Wade,MIA,28:49,10,13,1,2,0,0,1,2,3,7,2,2,4,2,21,.769,.500,
Chris Bosh,MIA,23:22,3,9,0,3,0,0,0,2,2,1,1,0,3,3,6,.333,.000,
Kevin Garnett,BOS,6:26,0,2,0,0,0,0,1,2,3,1,0,0,1,0,0,.000,,
Kyrie Irving,CLE,24:46,6,11,3,6,0,0,2,1,3,4,0,0,2,1,15,.545,.500,
Paul George,IND,20:03,7,13,3,6,0,0,1,2,3,4,2,0,0,0,17,.538,.500,
Luol Deng,CHI,17:05,4,10,1,5,1,1,0,2,2,1,0,0,2,0,10,.400,.200,1.000
Tyson Chandler,NYK,16:51,2,5,0,0,3,3,3,5,8,0,0,0,0,1,7,.400,,1.000
Joakim Noah,CHI,16:12,4,7,0,0,0,0,3,7,10,3,0,1,1,1,8,.571,,
Jrue Holiday,PHI,15:19,3,6,0,2,0,0,0,2,2,1,2,0,1,1,6,.500,.000,
Brook Lopez,BRK,10:35,0,1,0,1,3,4,2,3,5,3,0,0,1,1,3,.000,.000,.750
Rajon Rondo,BOS,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
