Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Carmelo Anthony,19,15,1054,37835,9088,20240,1341,3861,5900,7268,1809,6884,3160,1077,520,2824,3030,25417,.449,.347,.812,35.9,24.1,6.5,3.0
Marcus Banks,22,8,348,5571,741,1715,125,382,454,591,100,519,728,266,57,436,674,2061,.432,.327,.768,16.0,5.9,1.5,2.1
Leandro Barbosa,21,14,850,18386,3403,7409,988,2556,1241,1511,319,1720,1775,693,121,1061,1651,9035,.459,.387,.821,21.6,10.6,2.0,2.1
Matt Barnes,23,14,929,21967,2788,6388,982,2931,1031,1384,1066,4281,1691,714,444,1172,2353,7589,.436,.335,.745,23.6,8.2,4.6,1.8
Jerome Beasley,23,1,2,5,1,3,0,0,0,0,0,1,0,0,0,0,0,2,.333,,,2.5,1.0,0.5,0.0
Troy Bell,23,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,.222,.000,1.000,5.7,1.8,0.7,0.7
Steve Blake,23,13,870,20823,2061,5145,1037,2709,503,646,250,1816,3446,587,63,1222,1287,5662,.401,.383,.779,23.9,6.5,2.1,4.0
Keith Bogans,23,11,671,14527,1482,3759,714,2020,579,809,391,1817,866,429,68,574,1223,4257,.394,.353,.716,21.6,6.3,2.7,1.3
Curtis Borchardt,23,2,83,1117,96,228,0,1,66,89,99,278,64,14,46,70,200,258,.421,.000,.742,13.5,3.1,3.3,0.8
Chris Bosh,19,13,893,31936,6209,12581,305,910,4466,5591,1927,7592,1795,730,932,1807,2159,17189,.494,.335,.799,35.8,19.2,8.5,2.0
Torraye Braggs,27,2,22,178,19,40,0,0,8,12,25,51,7,4,2,15,33,46,.475,,.667,8.1,2.1,2.3,0.3
Zarko Cabarkapa,22,3,150,1550,234,548,24,88,148,202,98,312,85,33,25,119,221,640,.427,.273,.733,10.3,4.3,2.1,0.6
Matt Carroll,23,10,459,7590,1030,2496,344,896,609,724,147,863,313,223,60,297,704,3013,.413,.384,.841,16.5,6.6,1.9,0.7
Maurice Carter,27,1,10,110,11,35,4,11,16,20,2,11,4,0,0,9,10,42,.314,.364,.800,11.0,4.2,1.1,0.4
Brian Cook,23,9,421,5649,915,2083,262,686,220,281,308,1115,252,135,134,252,789,2312,.439,.382,.783,13.4,5.5,2.6,0.6
Omar Cook,22,2,22,213,17,51,0,5,3,6,5,13,46,16,1,16,20,37,.333,.000,.500,9.7,1.7,0.6,2.1
Marquis Daniels,23,10,548,11707,1772,3933,103,439,672,932,521,1552,966,509,137,644,882,4319,.451,.235,.721,21.4,7.9,2.8,1.8
Josh Davis,23,4,67,498,56,150,23,70,21,29,49,115,19,17,5,21,70,156,.373,.329,.724,7.4,2.3,1.7,0.3
Boris Diaw,21,14,1064,28768,3805,7711,475,1413,1054,1470,1258,4634,3684,648,510,1897,2269,9139,.493,.336,.717,27.0,8.6,4.4,3.5
Kaniel Dickens,25,3,19,85,8,20,3,9,3,4,5,12,2,2,2,3,9,22,.400,.333,.750,4.5,1.2,0.6,0.1
Ronald Dupree,23,6,157,1758,218,510,5,13,114,204,116,339,100,57,29,90,252,555,.427,.385,.559,11.2,3.5,2.2,0.6
Ndudi Ebi,19,2,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,.486,.000,.462,4.5,2.1,1.0,0.2
Francisco Elson,27,9,472,7207,725,1517,3,16,273,390,497,1638,260,228,255,355,1000,1726,.478,.188,.700,15.3,3.7,3.5,0.6
Desmond Ferguson,26,1,7,32,5,12,3,8,0,2,0,4,1,0,0,1,0,13,.417,.375,.000,4.6,1.9,0.6,0.1
T.J. Ford,20,8,429,11882,1829,4223,127,439,1012,1242,296,1331,2495,496,55,1047,972,4797,.433,.289,.815,27.7,11.2,3.1,5.8
Richie Frahm,26,4,140,1473,178,433,95,267,51,63,36,164,83,37,10,35,122,502,.411,.356,.810,10.5,3.6,1.2,0.6
Hiram Fuller,22,1,4,43,3,8,0,0,2,6,4,11,2,0,1,4,5,8,.375,,.333,10.8,2.0,2.8,0.5
Reece Gaines,23,3,71,605,48,148,7,26,20,33,9,53,50,17,3,26,40,123,.324,.269,.606,8.5,1.7,0.7,0.7
Alex Garcia,23,2,10,159,19,59,5,18,4,6,7,15,18,6,1,9,15,47,.322,.278,.667,15.9,4.7,1.5,1.8
Willie Green,22,12,731,14783,2417,5682,517,1494,708,925,242,1303,1018,393,108,705,1259,6059,.425,.346,.765,20.2,8.3,1.8,1.4
Ben Handlogten,30,2,38,469,68,130,0,1,27,44,45,120,19,10,9,28,87,163,.523,.000,.614,12.3,4.3,3.2,0.5
Travis Hansen,25,1,41,507,46,130,9,30,22,27,30,70,19,10,9,15,67,123,.354,.300,.815,12.4,3.0,1.7,0.5
Udonis Haslem,23,15,844,21444,2628,5356,4,43,1226,1623,1603,5711,726,422,249,800,2028,6486,.491,.093,.755,25.4,7.7,6.8,0.9
Jarvis Hayes,22,7,427,9898,1397,3363,392,1101,367,460,244,1330,459,312,56,374,852,3553,.415,.356,.798,23.2,8.3,3.1,1.1
Kirk Hinrich,23,13,879,27015,3503,8522,1172,3122,1416,1770,310,2576,4245,972,243,1617,2487,9594,.411,.375,.800,30.7,10.9,2.9,4.8
Josh Howard,23,10,507,15350,2759,6161,342,1029,1410,1830,846,2886,817,530,276,723,1297,7270,.448,.332,.770,30.3,14.3,5.7,1.6
Brandon Hunter,23,2,67,630,90,189,0,3,40,82,75,187,22,17,8,44,82,220,.476,.000,.488,9.4,3.3,2.8,0.3
LeBron James,19,15,1143,44298,11280,22383,1616,4701,6862,9283,1386,8415,8208,1865,888,3966,2112,31038,.504,.344,.739,38.8,27.2,7.4,7.2
Britton Johnsen,24,2,26,377,23,81,1,16,7,16,20,55,16,8,1,17,38,54,.284,.063,.438,14.5,2.1,2.1,0.6
Linton Johnson,23,6,151,2111,239,574,32,105,72,103,159,493,65,84,63,100,271,582,.416,.305,.699,14.0,3.9,3.3,0.4
