Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Toronto Raptors,27.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,.316,.253,.539,.492,12.5,23.7,.244,.499,13.4,71.1,.240,Air Canada Centre,703388,17156
New Jersey Nets,27.8,42,40,36,46,-1.50,-0.32,-1.82,101.4,103.1,-1.7,89.1,.318,.187,.512,.463,13.7,25.5,.242,.479,15.2,73.2,.278,Continental Airlines Arena,618681,15090
Los Angeles Lakers,26.0,34,48,33,49,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,.322,.273,.535,.485,13.4,29.5,.251,.493,11.0,71.1,.218,STAPLES Center,770494,18793
Orlando Magic,26.5,36,46,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,.350,.137,.529,.478,14.6,29.9,.265,.484,13.2,71.3,.255,TD Waterhouse Centre,597942,14584
New York Knicks,27.3,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,.312,.188,.531,.485,13.8,28.3,.239,.501,13.8,71.2,.265,Madison Square Garden (IV),800144,19516
Milwaukee Bucks,26.9,30,52,32,50,-2.99,-0.10,-3.09,106.6,109.8,-3.2,90.8,.339,.141,.527,.475,13.0,29.0,.261,.499,12.4,72.0,.233,Bradley Center,637009,15537
Portland Trail Blazers,27.0,27,55,29,53,-4.00,0.55,-3.45,103.2,107.7,-4.5,89.8,.303,.181,.524,.484,15.2,29.6,.219,.479,12.6,67.7,.204,Rose Garden Arena,680374,16594
Utah Jazz,25.7,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,.361,.121,.522,.469,15.0,31.9,.273,.499,14.2,72.3,.340,Delta Center,769014,18756
Charlotte Bobcats,24.9,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,.306,.128,.497,.455,13.3,29.5,.217,.497,14.7,70.9,.269,Charlotte Coliseum,591701,14432
New Orleans Hornets,27.5,18,64,21,61,-7.07,0.78,-6.30,99.7,107.7,-8.0,87.6,.279,.201,.493,.446,14.2,29.1,.214,.491,13.9,70.7,.261,New Orleans Arena,583070,14221
Atlanta Hawks,26.0,13,69,16,66,-9.71,0.09,-9.62,100.6,111.1,-10.5,91.4,.299,.146,.504,.464,14.9,30.7,.212,.513,14.0,72.1,.289,Philips Arena,586390,14302
