Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
San Antonio Spurs,28.5,59,23,63,19,7.80,0.03,7.84,107.5,98.8,8.7,88.9,.329,.216,.534,.492,13.2,29.1,.238,.452,14.7,73.6,.236,SBC Center,750970,18316
Phoenix Suns,25.2,62,20,59,23,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,.296,.289,.571,.534,12.4,27.5,.222,.478,12.0,68.3,.176,America West Arena,726066,17709
Dallas Mavericks,27.7,58,24,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,.346,.190,.545,.492,12.5,28.6,.273,.472,14.3,70.2,.239,American Airlines Center,822533,20062
Miami Heat,28.0,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,.387,.198,.559,.524,13.1,27.0,.260,.460,12.4,74.1,.242,AmericanAirlines Arena,815143,19882
Houston Rockets,29.7,51,31,53,29,4.04,0.23,4.27,106.2,101.7,4.5,88.8,.309,.237,.534,.486,13.5,26.3,.242,.459,12.9,74.5,.245,Toyota Center,663444,16182
Detroit Pistons,27.9,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,.335,.164,.519,.472,13.3,31.2,.247,.461,13.5,73.0,.207,The Palace of Auburn Hills,905116,22076
Memphis Grizzlies,26.3,45,37,48,34,2.29,0.34,2.64,105.5,102.9,2.6,88.5,.323,.237,.535,.489,14.3,27.1,.243,.466,15.4,69.9,.270,FedEx Forum,691362,16862
Seattle SuperSonics,26.0,52,30,48,34,2.29,0.30,2.59,112.2,109.6,2.6,87.9,.328,.281,.546,.495,13.0,32.4,.259,.496,12.9,71.3,.249,KeyArena at Seattle Center,675490,16475
Sacramento Kings,27.7,50,32,47,35,2.16,0.40,2.56,110.5,108.2,2.3,93.0,.287,.200,.541,.496,12.0,28.8,.226,.493,13.3,69.0,.214,ARCO Arena (II),709997,17317
Denver Nuggets,26.7,49,33,47,35,2.02,0.20,2.23,106.0,103.9,2.1,93.5,.350,.142,.535,.483,13.8,28.4,.267,.482,15.1,71.7,.247,Pepsi Center,723949,17657
Minnesota Timberwolves,29.0,44,38,45,37,1.45,0.28,1.73,108.2,106.6,1.6,89.1,.275,.173,.534,.489,12.7,28.6,.219,.472,11.2,71.4,.208,Target Center,704438,17181
Chicago Bulls,25.0,47,35,44,38,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,.311,.217,.517,.471,15.5,28.4,.233,.454,14.4,72.6,.262,United Center,828384,20204
Indiana Pacers,28.3,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,0.9,87.2,.358,.255,.534,.476,14.1,26.4,.283,.472,13.6,71.3,.261,Conseco Fieldhouse,696764,16994
Boston Celtics,27.1,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,.357,.192,.551,.501,14.7,27.2,.273,.481,14.2,70.1,.274,FleetCenter,656081,16002
Cleveland Cavaliers,26.5,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,0.9,89.7,.325,.135,.518,.470,13.0,32.5,.244,.485,14.1,71.5,.248,Gund Arena,784249,19128
Los Angeles Clippers,25.5,37,45,39,43,-0.77,0.30,-0.47,105.5,106.4,-0.9,89.1,.357,.105,.533,.477,14.9,30.3,.278,.480,13.0,71.3,.235,STAPLES Center,696181,16980
Washington Wizards,25.3,45,37,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,.364,.220,.523,.474,12.9,31.1,.264,.498,14.6,70.0,.230,MCI Center,705069,17197
Philadelphia 76ers,26.4,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,.326,.216,.528,.475,14.2,25.4,.257,.485,15.4,72.7,.267,Wachovia Center,732686,17870
Golden State Warriors,26.7,34,48,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,.278,.252,.512,.475,12.3,27.8,.201,.491,13.9,69.7,.227,Oakland Arena,670368,16350
