Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Tony Allen,23,14,820,18055,2588,5447,125,444,1353,1909,1021,2884,1077,1158,337,1118,1947,6654,.475,.282,.709,22.0,8.1,3.5,1.3
Rafael Araujo,24,3,139,1585,156,385,1,4,76,112,124,395,41,51,16,111,300,389,.405,.250,.679,11.4,2.8,2.8,0.3
Trevor Ariza,19,14,942,27808,3567,8404,1313,3721,1482,2050,960,4513,1954,1424,295,1279,1889,9929,.424,.353,.723,29.5,10.5,4.8,2.1
Maurice Baker,25,1,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,.000,,,3.8,0.0,0.4,0.2
Andre Barrett,22,4,67,819,89,241,17,69,24,33,21,71,135,29,1,47,69,219,.369,.246,.727,12.2,3.3,1.1,2.0
Andris Biedrins,18,10,516,11146,1432,2409,0,2,383,766,1190,3631,467,331,580,479,1626,3247,.594,.000,.500,21.6,6.3,7.0,0.9
Tony Bobbitt,25,1,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,.400,.500,,6.0,2.5,1.5,0.0
Matt Bonner,24,12,792,13356,1749,3768,797,1923,337,432,622,2371,552,285,213,299,1307,4632,.464,.414,.780,16.9,5.8,3.0,0.7
Antonio Burks,24,2,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,.387,.235,.571,9.7,2.3,0.6,1.3
Jackie Butler,19,3,69,848,137,254,0,0,69,89,73,205,30,20,31,73,143,343,.539,,.775,12.3,5.0,3.0,0.4
Geno Carlisle,28,1,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,.667,,.667,2.7,1.3,0.2,0.2
Lionel Chalmers,24,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,.336,.245,.625,12.0,3.1,0.9,1.4
Josh Childress,21,8,391,10432,1343,2571,99,301,763,980,732,1850,609,339,184,439,725,3548,.522,.329,.779,26.7,9.1,4.7,1.6
Nick Collison,24,14,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,.534,.208,.723,20.4,5.9,5.2,1.0
Erik Daniels,22,1,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,.333,.500,,3.4,0.6,0.9,0.2
Carlos Delfino,22,8,507,11580,1472,3669,678,1856,493,650,287,1815,887,461,88,509,827,4115,.401,.365,.758,22.8,8.1,3.6,1.7
Luol Deng,19,14,880,30549,5071,11139,644,1938,2418,3140,1442,5395,2024,865,436,1445,1475,13204,.455,.332,.770,34.7,15.0,6.1,2.3
Chris Duhon,22,9,606,15526,1353,3440,649,1788,591,754,200,1364,2690,471,36,925,965,3946,.393,.363,.784,25.6,6.5,2.3,4.4
Corsley Edwards,25,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,.323,,.583,11.0,2.7,2.5,0.3
John Edwards,23,2,65,435,42,94,0,0,15,25,26,67,8,6,19,20,88,99,.447,,.600,6.7,1.5,1.0,0.1
Andre Emmett,22,2,14,73,6,13,0,1,8,13,2,8,1,2,1,3,6,20,.462,.000,.615,5.2,1.4,0.6,0.1
Luis Flores,23,1,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,.483,.500,1.000,4.8,2.2,0.2,0.7
Matt Freije,23,2,42,588,53,181,17,76,10,14,24,85,27,16,3,20,53,133,.293,.224,.714,14.0,3.2,2.0,0.6
Ben Gordon,21,11,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,.432,.401,.857,27.4,14.9,2.5,2.5
Devin Harris,21,14,917,22892,3354,7725,770,2358,2691,3373,278,2039,3747,963,178,1626,2038,10169,.434,.327,.798,25.0,11.1,2.2,4.1
David Harrison,22,4,189,2686,374,706,0,0,201,383,184,549,47,64,185,216,538,949,.530,,.525,14.2,5.0,2.9,0.2
Dwight Howard,19,14,1035,35754,6494,11148,6,63,5005,8837,3647,13101,1531,979,2047,3043,3343,17999,.583,.095,.566,34.5,17.4,12.7,1.5
Kris Humphries,19,13,800,14232,2078,4486,55,188,1139,1626,1387,4314,556,326,454,691,1456,5350,.463,.293,.700,17.8,6.7,5.4,0.7
Andre Iguodala,21,14,1040,35456,4691,10096,941,2822,2744,3851,991,5379,4605,1602,501,2058,1915,13067,.465,.333,.713,34.1,12.6,5.2,4.4
Didier Ilunga-Mbenga,24,7,234,1566,180,383,0,2,54,89,129,351,41,37,141,87,286,414,.470,.000,.607,6.7,1.8,1.5,0.2
Royal Ivey,23,10,492,6162,622,1531,162,449,235,333,147,557,501,230,38,255,757,1641,.406,.361,.706,12.5,3.3,1.1,1.0
Luke Jackson,23,4,73,724,84,235,32,89,52,71,27,89,58,24,3,49,71,252,.357,.360,.732,9.9,3.5,1.2,0.8
Al Jefferson,20,14,915,26299,6161,12344,8,66,2013,2833,2054,7690,1347,628,1093,1211,2347,14343,.499,.121,.711,28.7,15.7,8.4,1.5
Horace Jenkins,30,1,15,104,15,45,0,9,12,13,3,9,9,5,1,7,6,42,.333,.000,.923,6.9,2.8,0.6,0.6
Mark Jones,29,1,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,.290,.000,.500,11.6,2.3,1.3,0.6
Mario Kasun,24,2,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,.467,.000,.636,7.8,2.7,2.6,0.2
Viktor Khryapa,22,4,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,.443,.292,.658,16.4,4.5,3.4,1.0
Brandin Knight,23,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,,,3.0,0.0,0.0,1.0
Nenad Krstic,21,7,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,.494,.143,.730,25.2,10.0,5.4,0.8
Ibo Kutluay,30,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,.000,,,2.4,0.0,0.2,0.0
Shaun Livingston,19,13,769,16221,2040,4209,13,71,880,1108,449,1872,2369,555,284,996,1424,4973,.485,.183,.794,21.1,6.5,2.4,3.1
Kevin Martin,21,12,714,21559,3847,8797,1141,2969,3561,4091,401,2278,1352,643,78,1200,1361,12396,.437,.384,.870,30.2,17.4,3.2,1.9
Jameer Nelson,22,14,878,24539,3790,8692,1153,3134,1207,1491,426,2595,4508,772,68,1831,2195,9940,.436,.368,.810,27.9,11.3,3.0,5.1
Andres Nocioni,25,8,514,12013,1932,4478,587,1574,964,1206,354,2295,614,215,228,724,1394,5415,.431,.373,.799,23.4,10.5,4.5,1.2
Emeka Okafor,22,10,616,19055,3004,5867,0,2,1362,2325,1954,5967,520,414,1003,984,1696,7370,.512,.000,.586,30.9,12.0,9.7,0.8
Pavel Podkolzin,20,2,6,28,0,2,0,0,4,8,0,9,0,0,1,4,4,4,.000,,.500,4.7,0.7,1.5,0.0
Peter John Ramos,19,1,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,.500,,.500,3.3,1.8,0.7,0.0
Justin Reed,23,3,136,1436,174,431,0,4,124,165,76,186,68,31,19,79,219,472,.404,.000,.752,10.6,3.5,1.4,0.5
Jared Reiner,22,2,46,376,25,73,0,0,4,14,34,109,14,8,13,23,80,54,.342,,.286,8.2,1.2,2.4,0.3
Bernard Robinson,24,3,128,1909,212,508,5,31,147,187,86,315,126,109,16,110,215,576,.417,.161,.786,14.9,4.5,2.5,1.0
Quinton Ross,23,7,458,8458,764,1824,49,154,286,402,267,947,431,263,129,217,854,1863,.419,.318,.711,18.5,4.1,2.1,0.9
Ha Seung-Jin,19,2,46,316,28,54,0,0,14,28,20,67,3,4,13,26,62,70,.519,,.500,6.9,1.5,1.5,0.1
Donta Smith,21,2,61,560,59,140,8,26,39,60,22,66,48,31,5,29,70,165,.421,.308,.650,9.2,2.7,1.1,0.8
J.R. Smith,19,14,960,25974,4346,10364,1917,5128,1448,1978,494,3050,2053,962,201,1300,2167,12057,.419,.374,.732,27.1,12.6,3.2,2.1
Josh Smith,19,13,894,29000,5089,11247,450,1578,2368,3748,1717,6653,2789,1083,1713,2197,2461,12996,.452,.285,.632,32.4,14.5,7.4,3.1
Kirk Snyder,21,4,211,3540,489,1116,92,281,263,376,152,491,241,86,69,206,328,1333,.438,.327,.699,16.8,6.3,2.3,1.1
Pape Sow,23,3,76,879,79,190,0,0,61,90,78,214,12,34,24,41,166,219,.416,,.678,11.6,2.9,2.8,0.2
