Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings,82,19805,3276,7288,.450,534,1656,.322,2742,5632,.487,1521,2016,.754,1056,2635,3691,1953,787,381,1325,1729,8607
Detroit Pistons,82,19830,3044,6635,.459,439,1223,.359,2605,5412,.481,1956,2506,.781,917,2458,3375,1707,665,273,1288,2011,8483
Dallas Mavericks,82,19730,3195,7047,.453,519,1326,.391,2676,5721,.468,1407,1751,.804,931,2444,3375,1810,592,416,1124,1770,8316
Indiana Pacers,82,19730,3047,6640,.459,583,1487,.392,2464,5153,.478,1629,2008,.811,842,2612,3454,1857,559,422,1159,1786,8306
Milwaukee Bucks,82,19855,3174,6827,.465,394,1069,.369,2780,5758,.483,1558,1982,.786,1016,2373,3389,1852,671,381,1230,2020,8300
Los Angeles Lakers,82,19805,3137,6836,.459,344,1047,.329,2793,5789,.482,1649,2368,.696,1117,2738,3855,1921,613,534,1143,1841,8267
Orlando Magic,82,19755,3169,7014,.452,294,870,.338,2875,6144,.468,1574,2142,.735,1145,2540,3685,1709,743,467,1443,1967,8206
Houston Rockets,82,19830,3001,6664,.450,581,1625,.358,2420,5039,.480,1573,2145,.733,1008,2586,3594,1774,613,438,1425,1663,8156
Boston Celtics,82,19730,3054,6880,.444,417,1260,.331,2637,5620,.469,1621,2175,.745,1108,2420,3528,1741,795,286,1259,2223,8146
Seattle SuperSonics,82,19780,3108,6946,.447,546,1611,.339,2562,5335,.480,1363,1960,.695,1042,2483,3525,1878,657,345,1152,1776,8125
Denver Nuggets,82,19855,3057,6911,.442,470,1397,.336,2587,5514,.469,1531,2116,.724,1073,2590,3663,1911,554,618,1281,1962,8115
Phoenix Suns,82,19805,3093,6771,.457,458,1246,.368,2635,5525,.477,1467,1934,.759,1022,2558,3580,2098,744,433,1368,1973,8111
Minnesota Timberwolves,82,19905,3226,6910,.467,248,716,.346,2978,6194,.481,1379,1769,.780,1016,2471,3487,2205,622,444,1139,1913,8079
Charlotte Hornets,82,19780,2935,6533,.449,339,1001,.339,2596,5532,.469,1863,2458,.758,884,2635,3519,2023,732,480,1206,1670,8072
New Jersey Nets,82,19830,2979,6881,.433,477,1374,.347,2502,5507,.454,1601,2041,.784,1040,2315,3355,1688,720,393,1119,1913,8036
Portland Trail Blazers,82,19780,3021,6430,.470,407,1128,.361,2614,5302,.493,1542,2029,.760,966,2560,3526,1925,633,396,1243,1865,7991
Toronto Raptors,82,19755,2980,6882,.433,425,1171,.363,2555,5711,.447,1583,2068,.765,1098,2449,3547,1947,666,544,1137,1989,7968
Cleveland Cavaliers,82,19855,2977,6734,.442,343,919,.373,2634,5815,.453,1653,2205,.750,1010,2499,3509,1941,715,363,1427,2219,7950
Washington Wizards,82,19805,3010,6681,.451,335,890,.376,2675,5791,.462,1566,2107,.743,1064,2438,3502,1771,593,383,1320,2149,7921
Utah Jazz,82,19755,2962,6380,.464,329,854,.385,2633,5526,.476,1661,2150,.773,936,2426,3362,2041,629,446,1220,2013,7914
San Antonio Spurs,82,19855,2952,6393,.462,330,882,.374,2622,5511,.476,1652,2214,.746,927,2666,3593,1819,614,551,1233,1716,7886
Golden State Warriors,82,19755,2996,7140,.420,345,1069,.323,2651,6071,.437,1497,2147,.697,1300,2438,3738,1851,731,356,1302,2043,7834
Philadelphia 76ers,82,19830,2993,6776,.442,208,643,.323,2785,6133,.454,1577,2226,.708,1147,2468,3615,1817,791,386,1284,1939,7771
Miami Heat,82,19830,2974,6462,.460,446,1202,.371,2528,5260,.481,1345,1827,.736,921,2619,3540,1931,582,524,1231,1947,7739
Atlanta Hawks,82,19830,3000,6807,.441,258,814,.317,2742,5993,.458,1477,1987,.743,1146,2570,3716,1548,500,461,1266,1718,7735
Vancouver Grizzlies,82,19855,2892,6441,.449,324,898,.361,2568,5543,.463,1594,2060,.774,1005,2324,3329,1700,608,346,1381,1881,7702
New York Knicks,82,19830,2897,6374,.455,351,937,.375,2546,5437,.468,1410,1805,.781,802,2521,3323,1588,515,349,1201,1983,7555
Los Angeles Clippers,82,19705,2877,6757,.426,429,1267,.339,2448,5490,.446,1363,1826,.746,955,2377,3332,1479,578,494,1325,1821,7546
Chicago Bulls,82,19805,2565,6180,.415,340,1032,.329,2225,5148,.432,1482,2089,.709,1032,2323,3355,1645,646,383,1557,1908,6952
