Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Stephen Curry,GSW,28:50,10,18,6,13,0,0,1,4,5,6,4,0,2,1,26,.556,.462,
Kobe Bryant,LAL,25:49,4,11,1,5,1,2,1,5,6,7,1,0,1,1,10,.364,.200,.500
Kawhi Leonard,SAS,25:39,8,15,1,6,0,0,3,3,6,3,2,0,2,0,17,.533,.167,
Kevin Durant,OKC,22:55,11,18,1,8,0,0,2,3,5,7,2,0,0,0,23,.611,.125,
Russell Westbrook,OKC,22:11,12,23,7,17,0,0,3,5,8,5,5,0,3,1,31,.522,.412,
James Harden,HOU,21:05,8,14,7,12,0,0,0,4,4,3,0,0,1,0,23,.571,.583,
Klay Thompson,GSW,21:05,3,11,3,10,0,0,1,1,2,2,1,0,0,0,9,.273,.300,
Chris Paul,LAC,19:10,5,7,4,6,0,0,0,4,4,16,1,0,4,1,14,.714,.667,
Anthony Davis,NOP,15:19,12,13,0,0,0,0,3,3,6,0,1,0,0,1,24,.923,,
LaMarcus Aldridge,SAS,14:13,2,8,0,1,0,0,1,3,4,1,1,0,0,0,4,.250,.000,
Draymond Green,GSW,12:08,2,6,0,1,0,0,1,4,5,0,2,0,1,1,4,.333,.000,
DeMarcus Cousins,SAC,11:36,5,5,1,1,0,0,1,3,4,1,0,0,0,2,11,1.000,1.000,
Kyle Lowry,TOR,28:31,5,13,4,12,0,0,0,5,5,10,2,1,6,2,14,.385,.333,
Paul George,IND,26:49,16,26,9,19,0,0,0,5,5,1,1,0,3,0,41,.615,.474,
Carmelo Anthony,NYK,22:56,6,11,1,5,0,0,3,3,6,0,0,1,2,2,13,.545,.200,
Dwyane Wade,MIA,22:56,4,7,0,1,0,0,1,3,4,6,2,0,3,0,8,.571,.000,
LeBron James,CLE,20:13,6,13,1,5,0,0,0,4,4,7,0,0,4,0,13,.462,.200,
John Wall,WAS,19:29,10,14,2,2,0,0,0,3,3,3,1,0,2,0,22,.714,1.000,
Paul Millsap,ATL,19:04,1,6,1,2,0,0,1,2,3,1,0,0,0,0,3,.167,.500,
Isaiah Thomas,BOS,18:59,4,11,1,5,0,0,3,0,3,1,1,0,1,1,9,.364,.200,
DeMar DeRozan,TOR,18:54,9,15,0,3,0,1,1,0,1,2,1,0,1,0,18,.600,.000,.000
Andre Drummond,DET,18:13,8,11,0,1,0,0,5,8,13,0,2,0,1,1,16,.727,.000,
Pau Gasol,CHI,14:31,3,7,0,1,3,4,1,6,7,1,1,0,1,2,9,.429,.000,.750
Al Horford,ATL,9:25,3,3,1,3,0,0,0,3,3,2,0,0,0,0,7,1.000,.333,
Chris Bosh,MIA,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jimmy Butler,CHI,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
