Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Alex Abrines,SG,24,OKC,67,8,15.1,1.6,3.9,.394,1.1,2.9,.383,0.4,1.0,.426,.536,0.5,0.6,.872,0.4,1.2,1.6,0.4,0.5,0.1,0.4,1.6,4.7
Quincy Acy,PF,27,BRK,63,8,19.5,1.7,5.1,.341,1.4,4.1,.335,0.4,1.0,.364,.474,0.7,0.9,.821,0.6,3.2,3.8,0.8,0.5,0.4,0.9,2.1,5.6
Steven Adams,C,24,OKC,67,67,32.6,5.9,9.3,.634,0.0,0.0,.000,5.9,9.3,.636,.634,2.1,3.6,.570,5.0,3.9,8.9,1.1,1.3,1.1,1.6,2.9,13.9
Bam Adebayo,C,20,MIA,62,17,20.2,2.6,5.0,.518,0.0,0.1,.000,2.6,4.9,.530,.518,1.9,2.7,.703,1.7,3.9,5.6,1.6,0.5,0.6,0.9,2.0,7.0
Arron Afflalo,SG,32,ORL,48,3,12.9,1.2,3.0,.393,0.5,1.2,.390,0.7,1.8,.395,.472,0.4,0.5,.833,0.1,1.2,1.3,0.6,0.0,0.2,0.4,1.1,3.3
Cole Aldrich,C,29,MIN,18,0,1.9,0.2,0.6,.273,0.0,0.0,,0.2,0.6,.273,.273,0.1,0.2,.500,0.2,0.3,0.4,0.1,0.1,0.1,0.1,0.4,0.4
LaMarcus Aldridge,C,32,SAS,65,65,33.4,9.0,17.8,.503,0.4,1.3,.294,8.6,16.5,.519,.513,4.4,5.3,.837,3.3,5.1,8.4,2.1,0.5,1.1,1.5,2.2,22.7
Jarrett Allen,C,19,BRK,62,21,19.3,3.2,5.5,.584,0.0,0.2,.250,3.1,5.3,.596,.588,1.5,1.9,.782,2.1,3.2,5.4,0.7,0.4,1.0,1.1,2.0,7.9
Kadeem Allen,PG,25,BOS,9,0,3.4,0.1,0.7,.167,0.0,0.3,.000,0.1,0.3,.333,.167,0.3,0.4,.750,0.1,0.3,0.4,0.2,0.1,0.0,0.3,0.2,0.6
Tony Allen,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
Al-Farouq Aminu,PF,27,POR,58,56,29.9,3.4,8.3,.405,1.9,4.8,.403,1.4,3.5,.407,.521,0.8,1.1,.742,1.3,6.2,7.4,1.2,1.0,0.6,1.1,1.9,9.5
Justin Anderson,SF,24,PHI,31,0,13.9,2.2,5.1,.434,0.9,2.6,.338,1.4,2.5,.532,.519,0.6,0.9,.704,0.6,1.8,2.4,0.6,0.4,0.2,0.4,1.6,5.9
Kyle Anderson,SF,24,SAS,64,58,27.0,3.1,6.0,.522,0.2,0.8,.292,2.9,5.3,.555,.540,1.5,2.0,.725,1.2,4.4,5.6,2.8,1.5,0.8,1.4,1.5,8.0
Ryan Anderson,PF,29,HOU,60,50,26.8,3.3,7.6,.435,2.1,5.4,.388,1.2,2.2,.550,.573,1.1,1.4,.788,1.4,3.7,5.1,0.9,0.4,0.3,0.7,1.9,9.8
Ike Anigbogu,C,19,IND,10,0,2.8,0.4,0.9,.444,0.0,0.0,,0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
Giannis Antetokounmpo,PF,23,MIL,67,67,36.9,10.0,18.8,.532,0.5,1.8,.295,9.5,17.0,.557,.546,6.7,8.8,.761,2.1,7.9,10.0,4.8,1.5,1.4,2.9,3.1,27.3
Carmelo Anthony,PF,33,OKC,69,69,32.2,6.2,15.3,.408,2.2,6.1,.363,4.0,9.2,.438,.481,1.9,2.6,.761,0.8,5.0,5.8,1.3,0.6,0.6,1.3,2.6,16.6
OG Anunoby,SF,20,TOR,64,52,20.2,2.1,4.7,.456,1.0,2.7,.357,1.2,2.0,.591,.559,0.5,0.8,.660,0.6,1.8,2.4,0.8,0.8,0.2,0.6,1.7,5.8
Ryan Arcidiacono,PG,23,CHI,13,0,9.2,0.4,0.9,.417,0.2,0.8,.300,0.2,0.2,1.000,.542,0.2,0.2,1.000,0.0,0.5,0.5,1.0,0.4,0.0,0.2,0.8,1.2
Trevor Ariza,SF,32,HOU,58,58,34.4,4.1,9.6,.422,2.6,6.9,.380,1.4,2.7,.528,.558,1.2,1.3,.859,0.6,3.9,4.5,1.6,1.5,0.2,0.9,2.0,11.9
Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,.468,0.4,1.2,.348,0.7,1.3,.583,.553,0.1,0.2,.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8
Jamel Artis,SG,25,ORL,5,0,11.0,0.8,3.4,.235,0.0,1.0,.000,0.8,2.4,.333,.235,0.2,0.6,.333,0.2,1.2,1.4,0.8,0.0,0.0,0.0,0.0,1.8
Omer Asik,C,31,NOP,14,0,8.6,0.5,1.1,.438,0.0,0.0,,0.5,1.1,.438,.438,0.3,0.9,.333,0.5,2.1,2.6,0.1,0.1,0.1,0.4,1.0,1.3
D.J. Augustin,PG,30,ORL,64,25,23.1,3.1,6.9,.449,1.5,3.6,.425,1.5,3.3,.476,.561,2.2,2.5,.877,0.3,1.6,2.0,3.8,0.8,0.0,1.6,1.3,10.0
Luke Babbitt,SF,28,TOT,47,13,14.5,1.9,4.4,.439,1.3,3.1,.404,0.7,1.3,.525,.583,0.4,0.5,.773,0.1,1.8,2.0,0.6,0.2,0.1,0.4,1.1,5.4
Luke Babbitt,SF,28,ATL,37,9,15.4,2.2,4.5,.476,1.3,3.0,.441,0.8,1.5,.544,.622,0.5,0.6,.773,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,6.1
Luke Babbitt,SF,28,MIA,10,4,11.2,1.0,3.7,.270,1.0,3.5,.286,0.0,0.2,.000,.405,0.0,0.0,,0.1,1.0,1.1,0.3,0.1,0.2,0.4,0.7,3.0
Dwayne Bacon,SG,22,CHO,48,6,12.1,1.1,3.1,.369,0.2,0.8,.289,0.9,2.3,.396,.406,0.3,0.4,.722,0.1,2.2,2.3,0.5,0.3,0.0,0.4,0.8,2.8
Ron Baker,SG,24,NYK,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346,.432,0.7,0.9,.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
Wade Baldwin,PG,21,POR,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Lonzo Ball,PG,20,LAL,48,46,33.9,3.9,10.9,.357,1.8,5.7,.315,2.1,5.2,.403,.440,0.6,1.3,.460,1.3,5.6,6.8,7.1,1.8,0.9,2.7,2.2,10.1
J.J. Barea,PG,33,DAL,65,7,23.4,4.3,10.0,.433,1.6,4.6,.358,2.7,5.5,.496,.515,1.2,1.5,.790,0.2,2.8,3.0,6.3,0.5,0.0,2.1,1.2,11.5
Harrison Barnes,PF,25,DAL,68,68,34.3,6.9,15.5,.448,1.4,4.0,.344,5.6,11.5,.484,.492,3.5,4.2,.829,1.0,5.3,6.3,2.0,0.7,0.2,1.6,1.3,18.7
Will Barton,SG,27,DEN,71,30,32.5,5.6,12.4,.449,1.8,5.0,.361,3.7,7.4,.510,.523,2.0,2.6,.792,0.9,4.1,4.9,4.1,1.1,0.6,1.8,2.0,15.0
Nicolas Batum,SG,29,CHO,56,56,31.9,4.4,10.6,.415,1.5,4.5,.339,2.9,6.1,.471,.487,1.6,2.0,.821,0.9,4.0,4.9,5.5,1.1,0.4,2.0,1.2,11.9
Jerryd Bayless,SG,29,PHI,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474,.519,0.9,1.1,.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9
Aron Baynes,C,31,BOS,70,56,17.9,2.4,5.2,.461,0.0,0.2,.000,2.4,5.0,.476,.461,0.8,1.1,.743,1.5,3.7,5.2,1.0,0.3,0.7,1.0,2.4,5.6
Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438,.500,2.5,3.1,.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
Bradley Beal,SG,24,WAS,71,71,36.4,8.6,18.4,.465,2.4,6.5,.375,6.1,12.0,.514,.531,3.7,4.7,.792,0.8,3.7,4.4,4.6,1.2,0.5,2.6,1.9,23.2
