Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Giannis Antetokounmpo,25,MIL,75.0,432.0,500,0.864,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279
Anthony Davis,26,LAL,14.0,200.0,500,0.400,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250
Rudy Gobert,27,UTA,6.0,187.0,500,0.374,68,34.3,15.1,13.5,1.5,0.8,2.0,.693,,.630,10.7,.221
Ben Simmons,23,PHI,1.0,32.0,500,0.064,57,35.4,16.4,7.8,8.0,2.1,0.6,.580,.286,.621,6.9,.165
Bam Adebayo,22,MIA,2.0,17.0,500,0.034,72,33.6,15.9,10.2,5.1,1.1,1.3,.557,.143,.691,8.5,.168
Patrick Beverley,31,LAC,1.0,7.0,500,0.014,51,26.3,7.9,5.2,3.6,1.1,0.5,.431,.388,.660,3.6,.128
Marcus Smart,25,BOS,0.0,7.0,500,0.014,60,32.0,12.9,3.8,4.9,1.7,0.5,.375,.347,.836,4.5,.112
Andre Drummond,26,TOT,1.0,5.0,500,0.010,57,33.0,17.7,15.2,2.7,1.9,1.6,.533,.143,.575,4.2,.108
Kawhi Leonard,28,LAC,0.0,5.0,500,0.010,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226
Brook Lopez,31,MIL,0.0,4.0,500,0.008,68,26.7,12.0,4.6,1.5,0.7,2.4,.435,.314,.836,5.5,.145
Hassan Whiteside,30,POR,0.0,3.0,500,0.006,67,30.0,15.5,13.5,1.2,0.4,2.9,.621,.571,.686,8.5,.204
Jarrett Allen,21,BRK,0.0,1.0,500,0.002,70,26.5,11.1,9.6,1.6,0.6,1.3,.649,.000,.633,8.2,.212
