Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Jumaine Jones,20,8,471,9780,1294,3052,425,1218,312,443,552,1987,408,307,144,388,870,3325,.424,.349,.704,20.8,7.1,4.2,0.9
Lari Ketner,22,2,25,139,13,32,0,0,8,12,12,34,2,4,3,12,20,34,.406,,.667,5.6,1.4,1.4,0.1
Trajan Langdon,23,3,119,1738,220,529,86,217,121,133,29,159,152,56,14,98,179,647,.416,.396,.910,14.6,5.4,1.3,1.3
Quincy Lewis,22,4,159,1853,232,584,37,111,66,93,71,210,96,59,36,98,335,567,.397,.333,.710,11.7,3.6,1.3,0.6
Todd MacCulloch,24,4,223,3439,568,1049,0,0,233,363,340,888,121,61,177,154,478,1369,.541,,.642,15.4,6.1,4.0,0.5
Corey Maggette,20,14,827,23358,4065,8969,463,1431,4605,5599,915,4022,1696,590,139,1874,2338,13198,.453,.324,.822,28.2,16.0,4.9,2.1
Shawn Marion,21,16,1163,40097,7289,15056,791,2390,2331,2877,2732,10101,2198,1759,1233,1750,2535,17700,.484,.331,.810,34.5,15.2,8.7,1.9
Andre Miller,23,17,1304,40268,6035,13104,193,888,4015,4975,1373,4795,8524,1546,227,3121,2882,16278,.461,.217,.807,30.9,12.5,3.7,6.5
Jason Miskiri,24,1,1,3,0,1,0,1,0,0,0,0,1,0,0,0,2,0,.000,.000,,3.0,0.0,0.0,1.0
Lamar Odom,20,14,961,32131,4811,10393,664,2126,2495,3599,1821,8059,3554,848,892,2253,2916,12781,.463,.312,.693,33.4,13.3,8.4,3.7
Scott Padgett,23,8,448,5613,679,1658,240,644,276,375,402,1227,325,182,86,253,681,1874,.410,.373,.736,12.5,4.2,2.7,0.7
Milt Palacio,21,7,470,8421,863,2060,40,170,477,663,159,831,1194,302,58,596,685,2243,.419,.235,.719,17.9,4.8,1.8,2.5
James Posey,23,12,864,23260,2495,6091,1035,2967,1394,1701,755,4061,1413,917,298,981,2330,7419,.410,.349,.820,26.9,8.6,4.7,1.6
Laron Profit,22,4,135,1537,173,413,21,89,74,104,52,209,166,70,25,116,138,441,.419,.236,.712,11.4,3.3,1.5,1.2
Aleksandar Radojevic,23,2,15,152,8,26,0,0,10,16,11,36,7,2,3,20,37,26,.308,,.625,10.1,1.7,2.4,0.5
Ryan Robertson,23,1,1,25,2,6,0,2,1,1,0,0,0,0,0,0,0,5,.333,.000,1.000,25.0,5.0,0.0,0.0
Eddie Robinson,23,5,278,5345,852,1681,8,32,226,306,241,764,252,216,91,215,345,1938,.507,.250,.739,19.2,7.0,2.7,0.9
Michael Ruffin,23,9,414,5966,258,634,0,3,200,436,729,1632,250,199,193,273,942,716,.407,.000,.459,14.4,1.7,3.9,0.6
Wally Szczerbiak,22,10,651,20052,3486,7193,590,1453,1633,1899,671,2602,1532,388,160,970,1380,9195,.485,.406,.860,30.8,14.1,4.0,2.4
Jason Terry,22,19,1410,42034,6914,15585,2282,6010,2771,3278,502,3274,5415,1603,275,2415,2577,18881,.444,.380,.845,29.8,13.4,2.3,3.8
Jamel Thomas,26,2,12,102,14,37,1,6,1,1,5,14,6,4,0,11,8,30,.378,.167,1.000,8.5,2.5,1.2,0.5
Kenny Thomas,22,11,632,17306,2309,4966,59,242,1199,1715,1447,4341,975,527,276,1054,1581,5876,.465,.244,.699,27.4,9.3,6.9,1.5
Mirsad Turkcan,23,1,17,90,14,38,0,6,5,8,13,33,5,3,1,8,14,33,.368,.000,.625,5.3,1.9,1.9,0.3
Wayne Turner,23,1,3,41,1,6,0,0,2,6,1,3,5,0,0,3,4,4,.167,,.333,13.7,1.3,1.0,1.7
Dedric Willoughby,25,1,25,508,61,179,29,98,39,51,11,51,66,23,2,37,32,190,.341,.296,.765,20.3,7.6,2.0,2.6
Metta World Peace,20,17,991,31440,4666,11266,1154,3402,2572,3596,1159,4448,2631,1721,522,1791,2586,13058,.414,.339,.715,31.7,13.2,4.5,2.7
Tim Young,23,1,25,137,13,39,0,0,28,36,13,35,5,2,1,9,18,54,.333,,.778,5.5,2.2,1.4,0.2
