Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Rafer Alston,23,11,671,19392,2450,6391,996,2815,903,1238,247,1891,3202,813,105,1195,1408,6799,.383,.354,.729,28.9,10.1,2.8,4.8
Chucky Atkins,25,11,696,17304,2479,6022,934,2565,971,1258,194,1186,2396,465,36,1018,1284,6863,.412,.364,.772,24.9,9.9,1.7,3.4
William Avery,20,3,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,.330,.255,.714,8.5,2.7,0.7,1.4
Jonathan Bender,19,8,262,3847,509,1221,101,297,334,438,153,582,170,43,169,258,391,1453,.417,.340,.763,14.7,5.5,2.2,0.6
Calvin Booth,23,10,366,4477,472,1047,2,9,244,326,316,1010,151,101,358,180,678,1190,.451,.222,.748,12.2,3.3,2.8,0.4
Lazaro Borrell,27,1,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,.444,.000,.545,9.8,3.6,2.4,0.6
Cal Bowdler,22,3,142,1383,163,403,2,11,96,125,90,272,29,42,45,43,155,424,.404,.182,.768,9.7,3.0,1.9,0.2
Ryan Bowen,24,10,507,6502,544,1192,14,68,217,313,506,1060,250,325,138,168,752,1319,.456,.206,.693,12.8,2.6,2.1,0.5
Ira Bowman,26,3,17,68,7,11,0,1,1,2,1,5,9,3,0,2,3,15,.636,.000,.500,4.0,0.9,0.3,0.5
A.J. Bramlett,23,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,,,7.6,1.0,2.8,0.0
Elton Brand,20,17,1058,34910,6599,13185,2,21,3627,4929,3304,9040,2184,940,1828,2060,3115,16827,.500,.095,.736,33.0,15.9,8.5,2.1
Greg Buckner,23,10,570,10895,1120,2491,239,716,399,527,457,1593,719,454,111,394,1342,2878,.450,.334,.757,19.1,5.0,2.8,1.3
Rodney Buford,22,5,230,4182,630,1530,74,247,138,182,117,598,179,115,31,140,332,1472,.412,.300,.758,18.2,6.4,2.6,0.8
Anthony Carter,24,13,623,12184,1230,3043,116,464,433,613,244,1302,2363,601,115,958,1103,3009,.404,.250,.706,19.6,4.8,2.1,3.8
John Celestand,22,1,16,185,15,45,2,9,5,6,1,11,20,7,0,16,22,37,.333,.222,.833,11.6,2.3,0.7,1.3
Vonteego Cummings,23,3,199,3789,521,1359,109,340,230,317,118,373,534,176,32,259,387,1381,.383,.321,.726,19.0,6.9,1.9,2.7
Baron Davis,20,13,835,28592,4888,11951,1332,4159,2339,3292,762,3183,6025,1530,360,2308,2361,13447,.409,.320,.711,34.2,16.1,3.8,7.2
Derrick Dial,24,4,82,687,103,277,8,42,39,58,45,133,63,21,11,35,51,253,.372,.190,.672,8.4,3.1,1.6,0.8
Obinna Ekezie,24,4,143,1516,165,390,0,1,180,250,146,383,31,38,27,95,254,510,.423,.000,.720,10.6,3.6,2.7,0.2
Evan Eschmeyer,24,4,153,2138,158,341,0,0,105,169,220,601,76,69,95,96,399,421,.463,,.621,14.0,2.8,3.9,0.5
Jeff Foster,23,13,764,15750,1472,2961,7,54,796,1295,2101,5248,703,507,308,613,1921,3747,.497,.130,.615,20.6,4.9,6.9,0.9
Steve Francis,22,9,576,21632,3543,8267,575,1684,2785,3494,960,3215,3473,846,223,2030,1813,10446,.429,.341,.797,37.6,18.1,5.6,6.0
Devean George,22,11,630,11682,1318,3360,427,1246,473,656,546,1975,543,436,230,447,1270,3536,.392,.343,.721,18.5,5.6,3.1,0.9
Dion Glover,21,6,294,6132,914,2222,148,467,431,570,213,897,455,233,65,370,487,2407,.411,.317,.756,20.9,8.2,3.1,1.5
Adrian Griffin,25,9,477,7997,785,1794,50,180,299,392,507,1512,653,436,59,331,879,1919,.438,.278,.763,16.8,4.0,3.2,1.4
Richard Hamilton,21,14,921,29559,5969,13288,530,1530,3240,3805,794,2852,3125,714,131,1977,2329,15708,.449,.346,.852,32.1,17.1,3.1,3.4
Chris Herren,24,2,70,1005,74,220,40,122,36,52,16,73,167,29,2,62,117,224,.336,.328,.692,14.4,3.2,1.0,2.4
Derek Hood,23,1,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.0,0.0,0.5,0.0
Rick Hughes,26,1,21,224,35,72,0,1,12,26,24,49,9,3,1,14,30,82,.486,.000,.462,10.7,3.9,2.3,0.4
Jermaine Jackson,23,5,135,1344,89,222,3,19,81,114,34,145,184,42,9,78,127,262,.401,.158,.711,10.0,1.9,1.1,1.4
Tim James,23,3,43,261,26,79,1,3,15,23,23,46,11,2,9,13,33,68,.329,.333,.652,6.1,1.6,1.1,0.3
Harold Jamison,23,2,37,250,29,63,0,0,14,33,40,60,10,7,2,10,40,72,.460,,.424,6.8,1.9,1.6,0.3
DeMarco Johnson,24,1,5,37,3,9,0,0,0,0,3,7,0,1,0,3,5,6,.333,,,7.4,1.2,1.4,0.0
