Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aron Baynes,C,31,BOS,74,60,1342,182,384,.474,0,12,.000,182,372,.489,.474,57,76,.750,109,282,391,81,18,47,74,184,421
Kent Bazemore,SG,28,ATL,65,65,1789,284,676,.420,108,274,.394,176,402,.438,.500,160,201,.796,25,223,248,228,100,45,157,147,836
Bradley Beal,SG,24,WAS,75,75,2725,631,1368,.461,181,486,.372,450,882,.510,.527,267,338,.790,57,273,330,343,89,34,200,141,1710
Malik Beasley,SG,21,DEN,60,0,579,72,177,.407,27,81,.333,45,96,.469,.483,20,29,.690,14,57,71,31,15,7,24,36,191
Michael Beasley,PF,29,NYK,69,25,1553,377,748,.504,29,74,.392,348,674,.516,.523,116,149,.779,90,303,393,113,31,40,135,137,899
Marco Belinelli,SG,31,TOT,72,1,1722,286,660,.433,126,336,.375,160,324,.494,.529,133,145,.917,18,110,128,127,56,9,76,77,831
Marco Belinelli,SG,31,ATL,52,1,1210,199,484,.411,92,247,.372,107,237,.451,.506,101,109,.927,13,86,99,103,46,3,54,41,591
Marco Belinelli,SG,31,PHI,20,0,512,87,176,.494,34,89,.382,53,87,.609,.591,32,36,.889,5,24,29,24,10,6,22,36,240
Jordan Bell,C,23,GSW,50,13,731,104,165,.630,0,3,.000,104,162,.642,.630,29,42,.690,56,132,188,95,33,53,45,89,237
DeAndre' Bembry,SF,23,ATL,21,0,364,40,101,.396,8,24,.333,32,77,.416,.436,15,25,.600,8,48,56,31,13,10,38,32,103
Dragan Bender,PF,20,PHO,76,31,1882,161,436,.369,103,290,.355,58,146,.397,.487,34,44,.773,34,274,308,122,22,47,105,154,459
Davis Bertans,PF,25,SAS,72,10,1061,156,358,.436,92,247,.372,64,111,.577,.564,40,49,.816,18,133,151,72,26,28,35,90,444
Patrick Beverley,SG,29,LAC,11,11,334,48,119,.403,24,60,.400,24,59,.407,.504,14,17,.824,16,29,45,32,18,5,25,34,134
Khem Birch,C,25,ORL,34,0,416,43,86,.500,0,0,,43,86,.500,.500,20,32,.625,52,73,125,22,11,13,18,43,106
Jabari Bird,SG,23,BOS,7,0,35,1,4,.250,0,2,.000,1,2,.500,.250,3,5,.600,2,2,4,1,1,0,1,2,5
Bismack Biyombo,C,25,ORL,74,23,1367,159,305,.521,0,1,.000,159,304,.523,.521,94,143,.657,128,294,422,57,18,89,79,141,412
Nemanja Bjelica,PF,29,MIN,61,18,1225,161,334,.482,70,164,.427,91,170,.535,.587,34,43,.791,44,205,249,78,41,12,48,128,426
Tarik Black,C,26,HOU,45,1,457,67,112,.598,0,8,.000,67,104,.644,.598,24,53,.453,58,79,137,11,19,25,32,96,158
Antonio Blakeney,SG,21,CHI,19,0,314,53,143,.371,15,52,.288,38,91,.418,.423,30,39,.769,4,29,33,20,7,1,11,19,151
Eric Bledsoe,PG,28,TOT,67,67,2096,412,893,.461,107,324,.330,305,569,.536,.521,228,293,.778,47,209,256,324,135,39,202,165,1159
Eric Bledsoe,PG,28,PHO,3,3,83,16,40,.400,4,13,.308,12,27,.444,.450,11,14,.786,3,4,7,9,4,2,10,6,47
Eric Bledsoe,PG,28,MIL,64,64,2013,396,853,.464,103,311,.331,293,542,.541,.525,217,279,.778,44,205,249,315,131,37,192,159,1112
Vander Blue,SG,25,LAL,5,0,45,1,5,.200,0,2,.000,1,3,.333,.200,1,2,.500,0,1,1,3,1,0,3,2,3
Bogdan Bogdanovic,SG,25,SAC,72,47,1996,315,705,.447,119,302,.394,196,403,.486,.531,97,115,.843,26,178,204,238,67,16,115,154,846
Bojan Bogdanovic,SF,28,IND,75,75,2320,377,797,.473,143,361,.396,234,436,.537,.563,172,198,.869,29,224,253,115,54,6,100,118,1069
Andrew Bogut,C,33,LAL,23,5,216,17,25,.680,0,0,,17,25,.680,.680,2,2,1.000,26,52,78,15,4,13,19,40,36
Joel Bolomboy,PF,24,MIL,6,0,38,3,6,.500,0,1,.000,3,5,.600,.500,3,6,.500,6,4,10,0,2,0,2,3,9
Devin Booker,SG,21,PHO,54,54,1865,455,1054,.432,147,384,.383,308,670,.460,.501,289,329,.878,26,218,244,253,47,14,194,168,1346
Trevor Booker,PF,30,TOT,62,5,1065,162,312,.519,8,28,.286,154,284,.542,.532,59,85,.694,104,187,291,75,26,20,57,111,391
Trevor Booker,PF,30,BRK,18,5,395,77,150,.513,3,12,.250,74,138,.536,.523,24,43,.558,38,81,119,38,8,5,30,43,181
Trevor Booker,PF,30,PHI,33,0,494,61,109,.560,2,7,.286,59,102,.578,.569,32,39,.821,47,75,122,27,16,11,20,51,156
